,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,log10_bf
AC007952.4,0.9758,0.0242,3.6969046112440425,4.9584223e-06,0.00027906382,1e-07,0.25,-6.402499,-6.4566274,6.032088,-19.946297,14.383907,0.008489269,0.26443553,0.019875070982396378,0.19496204278812865,0.07053481,2.9397898,True,0.5678382449195047
LINC01285,0.9744,0.025599999999999956,3.6392291651079196,1.5298145e-06,6.0783404e-05,1e-07,0.25,-5.1644936,-5.0988007,4.218278,-18.813622,8.857296,0.004082173,0.09137635,0.012492901760363436,0.07556935817805356,0.03260178,0.9924842,True,0.561009404322588
HIST2H3D,0.9794,0.02059999999999995,3.8616485882462412,1.2679711e-06,3.8122216e-05,1e-07,0.25,-5.048431,-5.188223,4.048493,-18.45531,7.4803734,0.0020318327,0.073675506,0.005678591709256105,0.06866804692891627,0.016305894,0.8189135,True,0.5867727502600615
NPIPB4,0.9782000000000001,0.02179999999999993,3.803803729817584,1.1660159e-06,3.866548e-05,1e-07,0.25,-4.8467736,-4.968182,2.872277,-13.538769,8.157986,0.0020004981,0.059959028,0.010789324247586603,0.0655624568668045,0.015530135,0.6200756,True,0.5802180999549622
HDAC11-AS1,0.9556,0.044399999999999995,3.0690997312529054,2.732539e-07,8.452849e-06,1e-07,0.25,-4.811754,-5.072565,3.5915246,-14.009074,8.233421,0.000652707,0.016495723,0.001135718341851221,0.01621808143547273,0.004898025,0.18205161,True,0.48701100119575247
HIST1H2BB,0.9754,0.024599999999999955,3.6801008040858587,1.3420726e-06,6.73014e-05,1e-07,0.25,-4.7549734,-5.2119603,3.5311253,-16.203117,8.814758,0.0025055166,0.13278158,0.006814310051107327,0.1149068322981361,0.021986486,1.4507126,True,0.5658597148969088
TNFRSF10D,0.9763999999999999,0.023600000000000065,3.722625213000218,4.7086714e-06,0.00011858399,1e-07,0.25,-4.636607,-4.633814,2.9094937,-13.624266,6.0037518,0.010268381,0.20970914,0.033503691084611036,0.1963423050379561,0.082087114,2.2893836,True,0.570849314468252
PRMT5-AS1,0.9598,0.040200000000000014,3.172857695461819,2.4267553e-07,8.5618685e-06,1e-07,0.25,-4.632751,-4.7831373,3.1889665,-14.813993,5.2127953,0.00041541667,0.019459745,0.001135718341851221,0.018288474810213937,0.0031095417,0.21026586,True,0.5014505941873459
MTRNR2L8,0.9666,0.033399999999999985,3.3652285703727176,8.670209e-05,0.0033610978,1e-07,0.25,-4.4270124,-4.302662,6.5131154,-24.170486,15.508237,0.083129756,0.640255,0.08233957978421357,0.23257418909592686,0.8596533,7.673915,True,0.5270145673783571
AL645728.1,0.9434,0.056599999999999984,2.813481219562552,4.377182e-07,6.9290854e-06,1e-07,0.25,-4.383973,-4.4822016,4.11342,-15.572013,8.400818,0.00091855356,0.015685007,0.0028392958546280523,0.014837819185645262,0.0072557516,0.17694558,True,0.44924402052994616
PATL2,0.9720000000000001,0.027999999999999914,3.5471509474305103,5.7815083e-07,1.3738098e-05,1e-07,0.25,-4.376794,-4.3243694,3.2177627,-14.342936,6.887167,0.002057666,0.022950556,0.007382169222032938,0.023809523809523822,0.015346347,0.24497546,True,0.5498796700858954
NEAT1,0.9706,0.02939999999999998,3.4969194327933892,0.00046675839,0.003547457,1e-07,0.25,-4.3610377,-4.221828,3.553585,-15.418258,9.135536,0.4882097,1.9688419,0.3878478137421922,0.8640441683919795,4.1369004,20.50694,True,0.5436856265177393
MALAT1,0.9726,0.02739999999999998,3.569429529893944,0.0036689537,0.038768888,1e-07,0.25,-4.360348,-4.1605773,2.9755347,-13.362268,7.5999064,1.7220172,4.8874874,0.6757524134014768,0.9882677708764407,15.892278,51.994804,True,0.5525988122543057
HIST1H4B,0.973,0.027000000000000024,3.5845468560888656,2.365687e-06,7.182584e-05,1e-07,0.25,-4.334704,-4.6719704,2.923688,-12.919029,6.384055,0.0066450676,0.14451757,0.014196479273140269,0.12974465148378128,0.06611475,1.5896739,True,0.5544342617345437
UVSSA,0.9802000000000001,0.01979999999999993,3.902074199926583,3.2631986e-06,5.6901616e-05,1e-07,0.25,-4.3017397,-4.236279,2.7353516,-13.276319,5.9206276,0.0067742215,0.093557164,0.028960817717206152,0.10593512767425763,0.05435531,0.9782218,True,0.5912955234787236
UXT-AS1,0.9680000000000001,0.03199999999999992,3.40949588230748,1.8948808e-07,5.1653633e-06,1e-07,0.25,-4.283827,-4.4721975,2.5461516,-11.572638,6.2618313,0.00024620866,0.009989828,0.0005678591709256105,0.010351966873706002,0.0020876343,0.11128258,True,0.5326901702906125
