Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Salivary secretion,5.534218085712321e-05,0.01571717936342299,0,0,3.776370386547281,37.01588878450465,PRKCG;CHRM3;ADCY4;ITPR1;ITPR2;PRKCA;ADRB1;ATP1B2;ADRB2;MUC5B;PRH1;SLC9A1;ADCY9;DMBT1;PLCB2;PRKG1
KEGG_2021_Human,ECM-receptor interaction,0.00040082345439365326,0.05691693052389876,0,0,3.0511168005650218,23.86580354970971,LAMA2;LAMB2;LAMA3;FN1;LAMC2;HSPG2;THBS1;THBS3;ITGB8;COL6A3;ITGA7;ITGAV;ITGA6;COL9A2;AGRN;FREM1
KEGG_2021_Human,Calcium signaling pathway,0.000896347842939465,0.06603823640587292,0,0,2.079417222817755,14.591649112185763,CHRM3;CHRNA7;ADCY4;ITPR1;ATP2A3;ITPR2;ADRB1;CACNA1D;MST1R;ADRB2;CACNA1F;HRH1;PLCG2;PTK2B;PLCG1;PRKCG;NOS2;MST1;PRKCA;TPCN2;GRIN2D;VEGFA;TPCN1;ITPKB;ADCY9;STIM2;PLCB2;FGFR3
KEGG_2021_Human,Nicotine addiction,0.0009301160057165201,0.06603823640587292,0,0,11.155628002745367,77.86852844302544,GABRB3;CHRNA7;GABRE;GRIN2B;GRIN2D
KEGG_2021_Human,Aldosterone synthesis and secretion,0.0013783474059596652,0.07829013265850898,0,0,2.654167307002715,17.482655087351883,PRKCG;ITPR1;ADCY4;ITPR2;PRKCA;CACNA1D;ATP1B2;CACNA1F;NR4A2;NR4A1;ADCY9;PRKD2;DAGLB;PLCB2;LDLR;CREB5
KEGG_2021_Human,Circadian entrainment,0.001736408976577725,0.08219002489134565,0,0,2.6863165169315826,17.074056139164483,PRKCG;ITPR1;ADCY4;PRKCA;CACNA1D;FOS;GRIN2B;GRIN2D;PER2;PER1;ADCY9;RASD1;NOS1AP;PLCB2;PRKG1
KEGG_2021_Human,Phospholipase D signaling pathway,0.0026947750323311694,0.08616160554435597,0,0,2.0987440898345153,12.417094645668412,SHC2;DGKA;PLA2G4C;ADCY4;TSC2;PIK3R3;PRKCA;AGPAT4;KITLG;ADCY9;CYTH4;DGKQ;JMJD7-PLA2G4B;GRM8;KIT;PLCG2;PIP5K1A;PTK2B;PLCG1;PLCB2;RAPGEF3;CYTH1
KEGG_2021_Human,Taste transduction,0.0027556947172666883,0.08616160554435597,0,0,3.6559156603891636,21.54828022230766,KCNK5;CHRM3;GABBR1;SCN9A;SCNN1A;ADCY4;TRPM5;PLCB2;TAS2R4
KEGG_2021_Human,Glycerolipid metabolism,0.0034478966112220346,0.08616160554435597,0,0,2.824464609800363,16.014688668197262,MOGAT3;GK;MOGAT2;DGKA;DGKQ;LIPG;MBOAT1;PNPLA3;GPAT3;LPIN1;LPIN3;AGPAT4
KEGG_2021_Human,Phosphatidylinositol signaling system,0.0034642822868148023,0.08616160554435597,0,0,2.3067736185383243,13.068448781132942,PRKCG;MTMR3;DGKA;ITPR1;ITPR2;PIK3R3;PRKCA;INPP4A;ITPKB;INPP4B;PPIP5K1;DGKQ;PLCG2;PI4KA;PIP5K1A;PLCG1;PLCB2
KEGG_2021_Human,Dilated cardiomyopathy,0.003739538749941214,0.08616160554435597,0,0,2.4411635358421813,13.643157690866637,LAMA2;ATP2A3;ADCY4;ADRB1;CACNA1D;CACNA1F;TNF;CACNB1;CACNG8;ADCY9;TNNT2;ITGB8;ITGA7;ITGAV;ITGA6
KEGG_2021_Human,Serotonergic synapse,0.003739538749941214,0.08616160554435597,0,0,2.4411635358421813,13.643157690866637,PRKCG;GABRB3;DUSP1;PLA2G4C;ITPR1;ITPR2;PRKCA;CACNA1D;CACNA1F;PTGS2;CYP4X1;CYP2D6;JMJD7-PLA2G4B;PLCB2;RAPGEF3
KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",0.003944017155199393,0.08616160554435597,0,0,2.2721685689201054,12.577715201697936,PRKCG;ARHGEF11;EGR1;PDE4D;ITPR1;ADCY4;ITPR2;PRKCA;FOS;LRP6;NR4A2;ADCY9;MAFB;ARHGEF1;PLCB2;CREB5;HBEGF
KEGG_2021_Human,Cholinergic synapse,0.004477101999071449,0.09082121198116366,0,0,2.2385813148788927,12.107992315510977,PRKCG;CHRM3;ACHE;CHRNA7;KCNJ14;ITPR1;ADCY4;ITPR2;PIK3R3;PRKCA;CACNA1D;FOS;CACNA1F;ADCY9;KCNQ4;PLCB2;CREB5
KEGG_2021_Human,Oxytocin signaling pathway,0.005264495492884675,0.09967444799861651,0,0,2.0019563837169816,10.50380461692091,PRKCG;JUN;PLA2G4C;KCNJ14;ITPR1;ADCY4;ITPR2;NFATC2;PRKCA;CACNA1D;NFATC1;FOS;CACNA1F;PTGS2;NFATC4;CACNB1;CACNG8;ADCY9;EEF2K;JMJD7-PLA2G4B;PLCB2
KEGG_2021_Human,Axon guidance,0.0072561101195212354,0.12242879838988249,0,0,1.7934540389972145,8.834395678038723,SEMA3B;SEMA3G;PIK3R3;SEMA3F;EFNA5;RND1;EFNB2;PLCG2;PLXNA2;PLXNA1;PLCG1;SRGAP3;LRIG2;SRGAP1;PLXNA3;EPHA4;SEMA6A;UNC5B;SEMA4C;NFATC2;PRKCA;NFATC4;PLXNB2;PLXNB1;NGEF;EPHA2
KEGG_2021_Human,Inflammatory mediator regulation of TRP channels,0.00732848441066198,0.12242879838988249,0,0,2.236869384934347,10.996419809817775,PRKCG;PTGER4;PLA2G4C;ITPR1;ADCY4;ITPR2;PIK3R3;PRKCA;PLA2G6;HRH1;ADCY9;JMJD7-PLA2G4B;PLCG2;PLCG1;PLCB2
KEGG_2021_Human,Pancreatic secretion,0.008103615299132838,0.1246909070061005,0,0,2.3725581329840426,11.424923159906726,PRKCG;CHRM3;ITPR1;ATP2A3;ADCY4;ITPR2;PRKCA;ATP1B2;SLC4A4;TPCN2;SLC9A1;ADCY9;PLCB2
KEGG_2021_Human,GABAergic synapse,0.009015345245597618,0.1246909070061005,0,0,2.438181818181818,11.48097668422357,GABRB3;PRKCG;GABBR1;ADCY9;ADCY4;PRKCA;CACNA1D;HAP1;CACNA1F;GABRE;SLC38A2;GPHN
KEGG_2021_Human,Thyroid hormone synthesis,0.009015345245597618,0.1246909070061005,0,0,2.438181818181818,11.48097668422357,PRKCG;DUOX1;ADCY9;DUOXA2;ADCY4;ITPR1;ITPR2;PRKCA;ATP1B2;PLCB2;DUOX2;CREB5
KEGG_2021_Human,Cortisol synthesis and secretion,0.009220102278620107,0.1246909070061005,0,0,2.707655063026964,12.689071151741446,NR4A1;ADCY9;ADCY4;ITPR1;ITPR2;CACNA1D;CACNA1F;PLCB2;LDLR;CREB5
KEGG_2021_Human,ABC transporters,0.010104959159231498,0.13044583641917024,0,0,3.1060343280904252,14.271385908390698,ABCA1;ABCC3;ABCA2;ABCC1;ABCA10;ABCB1;ABCA7;ABCD1
KEGG_2021_Human,cAMP signaling pathway,0.011360240236790876,0.13657649190787438,0,0,1.7626940878725006,7.892702008308087,JUN;GABBR1;GIPR;PDE4D;PDE3B;ADCY4;ATP2A3;PIK3R3;ARAP3;NFATC1;ADRB1;CACNA1D;FOS;ATP1B2;ADRB2;CACNA1F;GRIN2B;GRIN2D;SLC9A1;ADCY9;PDE3A;AMH;RAPGEF3;CREB5
KEGG_2021_Human,Renin secretion,0.011564618653598188,0.13657649190787438,0,0,2.457563749138525,10.960254993066247,PTGER4;ACE;PDE3B;ITPR1;PDE3A;ITPR2;ADRB1;CACNA1D;ADRB2;CACNA1F;PLCB2
KEGG_2021_Human,Glutamatergic synapse,0.01202257851301711,0.13657649190787438,0,0,2.158577824347495,9.54300533108133,PRKCG;PLA2G4C;ITPR1;ADCY4;ITPR2;PRKCA;CACNA1D;GRIN2B;GRIN2D;ADCY9;JMJD7-PLA2G4B;GRM8;SLC38A2;PLCB2
KEGG_2021_Human,Ovarian steroidogenesis,0.015380406212797331,0.16800136017055547,0,0,3.124020618556701,13.041726738010519,ADCY9;JMJD7-PLA2G4B;PLA2G4C;HSD17B2;ADCY4;PTGS2;LDLR
