Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Fat digestion and absorption,0.00040113404214023486,0.04813608505682818,0,0,24.134453781512605,188.7607499256788,FABP1;FABP2;PLA2G2A
KEGG_2021_Human,PPAR signaling pathway,0.004775877973182396,0.2865526783909438,0,0,9.541398446170922,50.99092644823338,FABP1;FABP2;FABP3
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,0.012753709872854018,0.3543983617602394,0,0,6.556455309396486,28.598819296887104,CXCL8;CCL4L2;CXCL14
KEGG_2021_Human,Chemokine signaling pathway,0.018134087148277536,0.3543983617602394,0,0,4.205856255545696,16.86532310598314,CXCL8;GNG4;CCL4L2;CXCL14
KEGG_2021_Human,Arachidonic acid metabolism,0.02231075962558364,0.3543983617602394,0,0,9.266795865633075,35.23871696457623,PLA2G2A;PTGDS
KEGG_2021_Human,Cysteine and methionine metabolism,0.02231075962558364,0.3543983617602394,0,0,9.266795865633075,35.23871696457623,LDHB;APIP
KEGG_2021_Human,Pyruvate metabolism,0.02231075962558364,0.3543983617602394,0,0,9.266795865633075,35.23871696457623,LDHB;ADH1C
KEGG_2021_Human,Retrograde endocannabinoid signaling,0.02362655745068263,0.3543983617602394,0,0,5.143937575030012,19.266020893494314,GNG4;NDUFB5;NDUFC2
KEGG_2021_Human,Glycolysis / Gluconeogenesis,0.03575626719090093,0.4767502292120124,0,0,7.092528451261751,23.625423055192105,LDHB;ADH1C
KEGG_2021_Human,Legionellosis,0.04267325219527674,0.47939376540596307,0,0,6.408318425760286,20.213008827659536,EEF1G;CXCL8
KEGG_2021_Human,Ribosome,0.04394442849554662,0.47939376540596307,0,0,3.992997198879552,12.477435169127727,MRPL3;RPS4Y1;RPS10
KEGG_2021_Human,Drug metabolism,0.05157054360301698,0.4912726045806014,0,0,5.742983159582999,17.026823060992992,ADH1C;NME1
KEGG_2021_Human,Non-alcoholic fatty liver disease,0.0536975593395001,0.4912726045806014,0,0,3.669557750107342,10.731209653129191,CXCL8;NDUFB5;NDUFC2
