,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
MTRNR2L8,0.9656,0.034399999999999986,3.3346928250625925,0.00011022208,0.0045705177,1e-07,0.5,-7.3787174,-7.531521,6.1462817,-24.318653,12.942202,0.083129756,1.4651629,0.08233957978421357,0.41935483870967727,0.8596533,11.016635,True,Tumor vs Normal,Tumor,Normal
AC007952.4,0.9602,0.03979999999999995,3.1832744429646964,5.797653e-06,6.989936e-05,1e-07,0.5,-5.9836783,-5.7176313,4.8282766,-17.339638,8.206978,0.008489269,0.038863488,0.019875070982396378,0.0967741935483871,0.07053481,0.29357177,True,Tumor vs Normal,Tumor,Normal
MTRNR2L12,0.9392,0.060799999999999965,2.7374385062754003,0.0012095958,0.0046654167,1e-07,0.5,-5.715212,-5.8485465,5.5958505,-19.753654,8.364698,0.6073201,2.04951,0.3003975014196481,0.7419354838709673,5.899877,20.472374,True,Tumor vs Normal,Tumor,Normal
PTGDR,0.9666,0.033399999999999985,3.3652285703727176,1.8297719e-06,2.6646661e-05,1e-07,0.5,-4.7811756,-4.8175545,2.7576911,-14.919843,3.8137655,0.0024644674,0.081941836,0.0051107325383304945,0.1935483870967742,0.023353906,0.6303677,True,Tumor vs Normal,Tumor,Normal
SLC4A4,0.9630000000000001,0.03699999999999992,3.2591352392678856,3.2166884e-06,4.8437025e-05,1e-07,0.5,-4.5717416,-4.645108,2.8168736,-15.560655,7.4708824,0.0034545432,0.09673558,0.007382169222032938,0.1935483870967742,0.029742312,0.6916094,True,Tumor vs Normal,Tumor,Normal
EDIL3,0.9446,0.055400000000000005,2.8361817937898715,1.0355475e-06,2.1349259e-05,1e-07,0.5,-4.420093,-4.3939342,2.8901083,-15.029428,5.950078,0.0006794395,0.12080807,0.0034071550255536627,0.1935483870967742,0.005183049,1.0097378,True,Tumor vs Normal,Tumor,Normal
ADH1C,0.948,0.052000000000000046,2.903110601914443,8.1366554e-05,0.0006698869,1e-07,0.5,-4.32313,-4.639409,3.3848875,-13.640249,8.511249,0.098585,0.79438305,0.0897217490062465,0.5483870967741933,1.1063845,7.7277613,True,Tumor vs Normal,Tumor,Normal
CNTN4,0.9404,0.059599999999999986,2.7586495854431625,4.592638e-07,9.616324e-06,1e-07,0.5,-4.303078,-4.3389926,2.7739933,-13.193044,4.6033707,0.0012056048,0.027002327,0.0017035775127768314,0.0967741935483871,0.0095579885,0.19955726,True,Tumor vs Normal,Tumor,Normal
SCN9A,0.9386,0.06140000000000001,2.7269794159949496,3.21253e-07,5.112907e-06,1e-07,0.5,-4.250701,-4.3880286,2.650572,-12.4879465,5.336191,0.00014895425,0.0,0.0005678591709256105,0.0,0.0010234491,0.0,True,Tumor vs Normal,Tumor,Normal
UBD,0.9566,0.043399999999999994,3.0929256701788073,1.4892489e-05,6.5782035e-07,1e-07,0.5,4.187558,4.2786255,2.4418604,-4.751951,12.083678,0.030910058,0.0,0.05337876206700742,0.0,0.28573495,0.0,True,Tumor vs Normal,Tumor,Normal
