,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
MTRNR2L12,0.9586,0.04139999999999999,3.1421927747802774,0.00092327135,0.007306773,1e-07,0.5,-9.084823,-10.367977,4.322859,-16.969841,4.2785764,0.3738313,2.6458006,0.16642406598738552,0.9318181818181813,3.5851371,24.020058,True,Tumor vs Normal,Tumor,Normal
MTRNR2L8,0.9718,0.028200000000000003,3.539827699708052,2.2674216e-05,0.0015495516,1e-07,0.5,-8.485998,-8.881242,4.199235,-19.98032,8.329002,0.024914866,0.84938383,0.03881610868510431,0.6136363636363634,0.24053977,7.813796,True,Tumor vs Normal,Tumor,Normal
IGHV5-78,0.9648,0.03520000000000001,3.310874469642843,3.130867e-07,2.2280933e-06,1e-07,0.5,-7.6643806,-8.251026,4.406109,-17.080107,9.158592,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
MIA2,0.9396000000000001,0.0603999999999999,2.7444649929239167,4.309562e-06,3.121699e-05,1e-07,0.5,-7.568346,-8.793603,3.4974067,-13.217948,3.2678928,0.009660657,0.06257163,0.019408054342552175,0.15909090909090912,0.087172374,0.52143043,True,Tumor vs Normal,Tumor,Normal
AC007952.4,0.9586,0.04139999999999999,3.1421927747802774,1.3130565e-05,0.0001444515,1e-07,0.5,-7.4288893,-8.432094,3.7957556,-17.473022,6.3353815,0.01990696,0.24312536,0.02911208151382827,0.3181818181818182,0.19401239,2.477538,True,Tumor vs Normal,Tumor,Normal
PTPRCAP,0.9752,0.024800000000000044,3.671798532024705,2.382115e-06,1.7745919e-05,1e-07,0.5,-7.064068,-7.6768045,3.5450082,-16.596756,5.9563894,0.0040034526,0.02020928,0.008733624454148471,0.045454545454545456,0.03202728,0.18729448,True,Tumor vs Normal,Tumor,Normal
HLA-DRB5,0.9656,0.034399999999999986,3.3346928250625925,0.00026218715,0.0019184982,1e-07,0.5,-6.937192,-7.7838597,4.2050486,-16.211113,9.653124,0.27580562,1.7424258,0.18825812712275689,0.7727272727272724,2.5764189,14.928705,True,Tumor vs Normal,Tumor,Normal
LIME1,0.9556,0.044399999999999995,3.0690997312529054,7.331185e-07,7.319966e-06,1e-07,0.5,-6.9075484,-7.6945734,3.3663588,-14.960079,4.7322626,0.0016847283,0.0,0.005337214944201843,0.0,0.013497923,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV7-9,0.9614,0.03859999999999997,3.2151380303232497,5.538352e-07,3.1266231e-06,1e-07,0.5,-6.895839,-7.6619825,3.6579342,-15.22794,8.42801,0.0029280619,0.029655423,0.0024260067928190197,0.022727272727272728,0.027357273,0.4174293,True,Tumor vs Normal,Tumor,Normal
TRBV12-3,0.959,0.041000000000000036,3.152318774704249,3.5297109e-07,1.6038235e-06,1e-07,0.5,-6.712959,-7.426343,3.5733013,-15.84599,7.6033936,0.0010060144,0.0,0.00048520135856380397,0.0,0.007916612,0.0,True,Tumor vs Normal,Tumor,Normal
TNFSF13,0.9601999999999999,0.03980000000000006,3.1832744429646938,1.3206177e-05,0.0001087024,1e-07,0.5,-6.682222,-7.653846,3.444678,-14.1043415,5.921277,0.023280038,0.23396422,0.03978651140223191,0.3863636363636363,0.21097033,2.0063336,True,Tumor vs Normal,Tumor,Normal
