,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
AC007952.4,0.9760000000000001,0.02399999999999991,3.7054083496444723,2.7955592e-05,0.00034651166,1e-07,0.5,-9.512329,-10.767736,4.938999,-19.19794,7.8187037,0.024495943,0.40008777,0.01951219512195122,0.2644628099173554,0.24876316,4.1743603,True,Tumor vs Normal,Tumor,Normal
REG1A,0.9778,0.022199999999999998,3.7852124210430027,0.000116507515,1.6685625e-06,1e-07,0.5,9.24629,9.543146,4.7186794,-8.888923,24.853876,0.061485946,0.0,0.024390243902439025,0.0,0.58582395,0.0,True,Tumor vs Normal,Tumor,Normal
MTRNR2L12,0.974,0.026000000000000023,3.623314391272682,0.0006245982,0.0051120687,1e-07,0.5,-8.499568,-9.255161,4.980797,-19.786644,7.47182,0.2183286,1.9503986,0.10731707317073173,0.7355371900826431,2.4122176,22.439371,True,Tumor vs Normal,Tumor,Normal
BEST4,0.9908,0.009199999999999986,4.679308136697134,1.1801424e-05,0.0023881576,1e-07,0.5,-7.413141,-7.4462957,3.1579785,-18.515736,6.18223,0.03410861,1.2214764,0.00975609756097561,0.2975206611570247,0.31957728,13.956789,True,Tumor vs Normal,Tumor,Normal
REG1B,0.9484,0.05159999999999998,2.911254498449377,2.0551006e-05,2.1818985e-07,1e-07,0.5,6.7806354,7.0297675,3.9244049,-9.117445,18.926456,0.035878357,0.0,0.01951219512195122,0.0,0.34880546,0.0,True,Tumor vs Normal,Tumor,Normal
RPS4Y1,0.9376,0.06240000000000001,2.7097579938564973,6.0811115e-05,6.518157e-05,1e-07,0.5,-6.6645374,-7.604632,8.276946,-21.698853,13.3814335,0.08084525,0.083770186,0.06341463414634145,0.09917355371900827,0.84663814,0.8522685,True,Tumor vs Normal,Tumor,Normal
UTY,0.9408,0.05920000000000003,2.7658088769647486,2.5590975e-06,3.8874452e-05,1e-07,0.5,-6.6019897,-6.6577897,5.3416924,-17.927532,11.270858,0.007845436,0.09611063,0.00975609756097561,0.08264462809917356,0.073258154,1.0645345,True,Tumor vs Normal,Tumor,Normal
MIA2,0.957,0.04300000000000004,3.1026030536505993,1.1204015e-05,7.633104e-05,1e-07,0.5,-6.502095,-7.7592645,3.3712504,-12.282889,3.8404083,0.01906525,0.13093306,0.01951219512195122,0.11570247933884298,0.1908198,1.3862745,True,Tumor vs Normal,Tumor,Normal
LINC00278,0.9783999999999999,0.021600000000000064,3.813224816940753,2.4577325e-06,4.578785e-05,1e-07,0.5,-6.3891635,-6.58575,3.8455672,-16.3043,8.0772295,0.0,0.12011064,0.0,0.11570247933884298,0.0,1.1886104,True,Tumor vs Normal,Tumor,Normal
MTRNR2L8,0.9776,0.022399999999999975,3.7760391933569983,0.00054480584,0.0002377341,1e-07,0.5,-6.1543274,-6.6237454,4.612374,-19.872421,14.3178215,0.14047724,0.24751371,0.04390243902439024,0.1652892561983471,1.6941648,3.0000427,True,Tumor vs Normal,Tumor,Normal
KDM5D,0.9412,0.05879999999999996,2.7730136425053487,5.4022894e-06,3.7063153e-05,1e-07,0.5,-5.8480525,-6.5699744,5.145337,-15.901893,11.549577,0.015547702,0.042405095,0.014634146341463414,0.04132231404958678,0.15777725,0.42888057,True,Tumor vs Normal,Tumor,Normal
OLFM4,0.9713999999999999,0.02860000000000007,3.5253312727299666,0.00027071996,3.997937e-06,1e-07,0.5,5.8386188,6.008819,3.3656192,-7.842105,15.875817,0.16093591,0.0,0.10731707317073173,0.0,1.5899343,0.0,True,Tumor vs Normal,Tumor,Normal
ADAMDEC1,0.9716,0.02839999999999998,3.532554710140545,5.1766024e-06,9.8766954e-08,1e-07,0.5,5.7302976,5.746134,2.813058,-4.1187496,15.647095,0.0014959027,0.0,0.004878048780487805,0.0,0.013331217,0.0,True,Tumor vs Normal,Tumor,Normal
HDAC11-AS1,0.9828,0.017199999999999993,4.045495685607447,7.515485e-07,1.6600903e-05,1e-07,0.5,-5.726758,-6.14108,2.519566,-11.759565,4.311902,0.0,0.025499672,0.0,0.024793388429752067,0.0,0.28393197,True,Tumor vs Normal,Tumor,Normal
CA7,0.9698,0.030200000000000005,3.469247619476059,7.756426e-06,0.0007655833,1e-07,0.5,-5.673094,-5.4486327,3.5533042,-16.53873,5.364764,0.028114947,0.83074754,0.014634146341463414,0.2975206611570247,0.2726572,9.448136,True,Tumor vs Normal,Tumor,Normal
ATRIP,0.9561999999999999,0.04380000000000006,3.0833330609571883,1.72843e-06,1.0824574e-05,1e-07,0.5,-5.5148625,-6.388199,3.1999063,-11.410277,6.1925545,0.0,0.03203963,0.0,0.03305785123966942,0.0,0.32159442,True,Tumor vs Normal,Tumor,Normal
AL645728.1,0.9558000000000001,0.044199999999999906,3.073823681278529,2.8544864e-07,4.2386264e-06,1e-07,0.5,-5.383698,-5.8417807,3.3108594,-15.274387,6.52964,0.0,0.019005839,0.0,0.01652892561983471,0.0,0.1986238,True,Tumor vs Normal,Tumor,Normal
DIABLO,0.9374,0.06259999999999999,2.706344658305962,4.632405e-06,1.14306076e-07,1e-07,0.5,5.2650557,5.498949,2.9820755,-5.680975,11.398094,0.007256686,0.0,0.00975609756097561,0.0,0.072784245,0.0,True,Tumor vs Normal,Tumor,Normal
TREX1,0.9696,0.030399999999999983,3.4624406882690915,1.8681905e-06,1.4633132e-05,1e-07,0.5,-5.2458043,-5.7921534,2.8330016,-11.174027,5.4383326,0.0,0.01719863,0.0,0.01652892561983471,0.0,0.17064717,True,Tumor vs Normal,Tumor,Normal
DES,0.9473999999999999,0.05260000000000009,2.8910050911871386,3.3394936e-06,8.8977345e-08,1e-07,0.5,5.181672,5.2021723,2.7327845,-4.972883,14.35529,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
CCL13,0.9674,0.03259999999999996,3.390299475604788,6.302366e-06,1.8532845e-07,1e-07,0.5,5.0837197,5.283244,2.4473007,-3.876255,12.06657,0.0072236946,0.0,0.004878048780487805,0.0,0.071728714,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV5-4,0.9618,0.03820000000000001,3.225970761848134,9.7724026e-08,1.3080216e-06,1e-07,0.5,-4.9594593,-5.3196554,2.356328,-11.009115,4.2863235,0.0,0.009449464,0.0,0.008264462809917356,0.0,0.1089988,True,Tumor vs Normal,Tumor,Normal
ACER2,0.97,0.030000000000000027,3.476098366811273,7.306609e-07,8.913451e-06,1e-07,0.5,-4.9562035,-5.271616,2.515687,-11.632917,4.266371,0.0,0.014872156,0.0,0.01652892561983471,0.0,0.14834863,True,Tumor vs Normal,Tumor,Normal
HIST2H3D,0.9424,0.057599999999999985,2.794907082195586,1.0019637e-06,1.0155158e-05,1e-07,0.5,-4.9046655,-5.350468,3.5274806,-12.972137,8.907719,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
PTGDS,0.9424,0.057599999999999985,2.794907082195586,1.3033458e-05,4.2946166e-07,1e-07,0.5,4.8916917,5.033827,3.3285513,-7.3836536,14.256899,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
