,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
MTRNR2L12,0.9658,0.03420000000000001,3.3407308473273742,0.001043735,0.0060286643,1e-07,0.5,-9.306161,-10.534473,4.928616,-18.076,8.190811,0.34845343,2.1721075,0.15198511166253179,0.9090909090909088,3.0582337,20.026875,True,Tumor vs Normal,Tumor,Normal
IGHV5-78,0.9778,0.022199999999999998,3.7852124210430027,3.657233e-07,9.218432e-06,1e-07,0.5,-7.867781,-8.285126,4.103435,-17.879814,7.7320595,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
MTRNR2L8,0.9672,0.03280000000000005,3.3839764893716042,0.00010953541,0.0011512705,1e-07,0.5,-7.42101,-7.8006725,5.0171657,-22.653576,13.705145,0.0465804,0.40189493,0.05831265508684857,0.27272727272727276,0.4061595,3.4819927,True,Tumor vs Normal,Tumor,Normal
AC007952.4,0.9652000000000001,0.03479999999999994,3.322717669974716,1.0643664e-05,9.112802e-05,1e-07,0.5,-6.764225,-7.554802,4.590565,-17.648712,11.480263,0.01624704,0.1600141,0.02481389578163771,0.31818181818181823,0.142309,1.3656315,True,Tumor vs Normal,Tumor,Normal
PTPRCAP,0.9742,0.025800000000000045,3.631241752112877,1.460645e-06,2.0889916e-05,1e-07,0.5,-6.7131267,-7.163929,3.502072,-15.071473,6.9567795,0.0011079764,0.022126386,0.0043424317617866,0.09090909090909091,0.008115143,0.19131877,True,Tumor vs Normal,Tumor,Normal
MIA2,0.9368,0.06320000000000003,2.6961653635774967,4.6954738e-06,2.6708449e-05,1e-07,0.5,-6.626743,-7.853677,3.4484468,-12.176192,4.1224737,0.010394903,0.05891587,0.026054590570719592,0.18181818181818182,0.09361312,0.53626096,True,Tumor vs Normal,Tumor,Normal
TRBV7-9,0.967,0.03300000000000003,3.377690641297818,3.420191e-07,2.91505e-06,1e-07,0.5,-6.5978913,-7.172181,3.361584,-15.203958,8.828654,0.00048652705,0.0,0.0012406947890818859,0.0,0.0043513104,0.0,True,Tumor vs Normal,Tumor,Normal
HLA-DRB5,0.9520000000000001,0.04799999999999993,2.987363826054366,0.00045305968,0.0019904692,1e-07,0.5,-6.3988657,-7.3268356,3.642985,-16.587341,4.22273,0.40020016,2.3093262,0.23325062034739608,0.9999999999999997,3.6341176,21.848204,True,Tumor vs Normal,Tumor,Normal
TRBV12-3,0.9578,0.042200000000000015,3.122218540340339,2.1587636e-07,1.741509e-06,1e-07,0.5,-6.106246,-6.819293,3.112218,-14.687864,6.908926,0.0005929954,0.0,0.0006203473945409429,0.0,0.004671227,0.0,True,Tumor vs Normal,Tumor,Normal
LIME1,0.964,0.03600000000000003,3.2875720887501396,8.687025e-07,7.1729332e-06,1e-07,0.5,-6.0970316,-6.879078,3.2207286,-13.722551,5.6419716,0.00021072637,0.010686628,0.0012406947890818859,0.045454545454545456,0.0016949981,0.08788439,True,Tumor vs Normal,Tumor,Normal
TRBV5-1,0.9666,0.033399999999999985,3.3652285703727176,9.785011e-07,5.137689e-06,1e-07,0.5,-6.0878496,-6.7287292,3.243227,-14.574659,9.376992,0.0037932172,0.055430327,0.0024813895781637717,0.045454545454545456,0.033918105,0.45584637,True,Tumor vs Normal,Tumor,Normal
TRBV20-1,0.9628,0.03720000000000001,3.2535366861990203,6.8551395e-07,4.56601e-06,1e-07,0.5,-5.8233986,-6.4207926,3.500748,-16.459642,8.748192,0.0025681914,0.0,0.0018610421836228288,0.0,0.021652576,0.0,True,Tumor vs Normal,Tumor,Normal
OVCA2,0.9432,0.05679999999999996,2.809741858041939,1.0504591e-05,3.50074e-05,1e-07,0.5,-5.64402,-6.701562,3.35894,-11.863031,3.0790377,0.017230703,0.12665443,0.03970223325062031,0.18181818181818182,0.14794098,1.39928,True,Tumor vs Normal,Tumor,Normal
TRBV6-6,0.9512,0.048799999999999955,2.969993838112496,1.1710592e-07,9.5101825e-07,1e-07,0.5,-5.5212193,-6.091359,2.9748492,-13.783806,5.7904606,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV9,0.9466,0.0534,2.8750656948042224,9.57155e-08,1.0337689e-06,1e-07,0.5,-5.5024405,-5.978837,2.8610313,-13.530071,6.739811,0.0011325871,0.0,0.0012406947890818859,0.0,0.008449796,0.0,True,Tumor vs Normal,Tumor,Normal
IGLV1-40,0.9648,0.03520000000000001,3.310874469642843,8.3965716e-07,9.314277e-06,1e-07,0.5,-5.3794436,-5.7528114,3.0477226,-14.688315,5.288059,0.0007509363,0.0,0.0018610421836228288,0.0,0.0060870955,0.0,True,Tumor vs Normal,Tumor,Normal
