,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
MTRNR2L12,0.966,0.03400000000000003,3.3468030258307184,0.0014232124,0.01329613,1e-07,0.5,-8.516344,-9.763183,4.429954,-17.2002,2.919362,0.46260026,3.117847,0.21908127208480607,1.0000000000000007,3.852993,27.565308,True,Tumor vs Normal,Tumor,Normal
MTRNR2L8,0.9813999999999999,0.01860000000000006,3.965818015491905,0.00042284923,0.0042827684,1e-07,0.5,-8.168763,-8.354105,4.5301046,-20.023151,7.330388,0.12378486,1.2454208,0.08244994110718488,0.4999999999999998,0.9839359,11.489768,True,Tumor vs Normal,Tumor,Normal
AC007952.4,0.9452,0.05479999999999996,2.8477061794568197,1.4177537e-05,0.00010151457,1e-07,0.5,-5.6338487,-6.761417,3.9540296,-16.428726,5.573477,0.018684285,0.25310132,0.03062426383981156,0.2708333333333333,0.16022207,2.317727,True,Tumor vs Normal,Tumor,Normal
PTPRCAP,0.9471999999999999,0.05280000000000007,2.886998894581035,1.1562605e-06,1.2959486e-05,1e-07,0.5,-5.105834,-5.207799,3.6220644,-17.17722,5.6668844,0.00084242935,0.0077916207,0.002355712603062426,0.020833333333333332,0.0063689146,0.062804505,True,Tumor vs Normal,Tumor,Normal
GSTM1,0.9426,0.05740000000000001,2.798597547557051,1.4848062e-05,9.185402e-05,1e-07,0.5,-4.891391,-5.382673,3.876929,-13.721881,6.692116,0.033926427,0.21855721,0.044758539458186135,0.22916666666666669,0.31013852,1.8451247,True,Tumor vs Normal,Tumor,Normal
IGKV1-17,0.9496,0.0504,2.936049480336206,1.2877744e-07,9.57866e-07,1e-07,0.5,-4.149698,-4.351877,2.18166,-9.8961525,3.2413902,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
TREX1,0.9586,0.04139999999999999,3.1421927747802774,8.368629e-07,5.3230574e-06,1e-07,0.5,-3.9544902,-4.201049,2.0698962,-9.310261,3.072918,0.0025667087,0.010905954,0.0035335689045936395,0.020833333333333332,0.021812774,0.11124149,True,Tumor vs Normal,Tumor,Normal
IGKV1-5,0.9468,0.053200000000000025,2.879029303884215,2.9718276e-06,1.6135973e-05,1e-07,0.5,-3.9105484,-4.26558,2.384502,-12.083691,3.869175,0.002811891,0.011406756,0.008244994110718492,0.020833333333333332,0.021176634,0.10795437,True,Tumor vs Normal,Tumor,Normal
IGKV3-11,0.9486,0.0514,2.9153488569717028,2.937515e-06,2.2643275e-05,1e-07,0.5,-3.8003075,-3.887639,2.526809,-10.864079,5.3408937,0.0035853598,0.0,0.004711425206124852,0.0,0.036991607,0.0,True,Tumor vs Normal,Tumor,Normal
IGHV3-33,0.9500000000000001,0.04999999999999993,2.9444387896927777,3.2798874e-07,2.3756684e-06,1e-07,0.5,-3.6297593,-3.8049316,2.0642269,-11.254037,3.8889694,0.00050583837,0.0,0.001177856301531213,0.0,0.0038915349,0.0,True,Tumor vs Normal,Tumor,Normal
IGKV3-15,0.9444,0.05559999999999998,2.8323664346874557,1.3187165e-06,8.198329e-06,1e-07,0.5,-3.607245,-3.758305,2.3207402,-10.305767,5.012763,0.0003584805,0.011406756,0.002355712603062426,0.020833333333333332,0.0025597434,0.10795437,True,Tumor vs Normal,Tumor,Normal
IGLV2-23,0.95,0.050000000000000044,2.9444387896927755,6.7445853e-07,4.6673204e-06,1e-07,0.5,-3.4642477,-3.660262,2.0759137,-9.9458475,5.4605246,0.0009946284,0.0,0.0035335689045936395,0.0,0.0071670925,0.0,True,Tumor vs Normal,Tumor,Normal
SH2D7,0.9678,0.032200000000000006,3.4030587015826104,8.5417963e-07,1.0064459e-05,1e-07,0.5,-3.395323,-3.3133383,1.760815,-10.659422,3.032467,0.00026560744,0.036579564,0.001177856301531213,0.041666666666666664,0.0021326046,0.3526308,True,Tumor vs Normal,Tumor,Normal
WBP1,0.9456,0.054400000000000004,2.8554553195417203,1.1443533e-05,6.004179e-05,1e-07,0.5,-3.389468,-3.7793117,1.8771166,-7.4208384,2.408821,0.028662128,0.1749174,0.062426383981154354,0.25,0.2210107,1.4712216,True,Tumor vs Normal,Tumor,Normal
IGLV2-14,0.959,0.041000000000000036,3.152318774704249,5.1831757e-06,4.7461293e-05,1e-07,0.5,-3.3884056,-3.439495,1.9520371,-9.849408,4.165468,0.004311923,0.04581862,0.008244994110718492,0.020833333333333332,0.036093008,0.4336307,True,Tumor vs Normal,Tumor,Normal
ZBTB16,0.9476,0.0524,2.8950257006709337,2.7548593e-05,0.00019004509,1e-07,0.5,-3.2960289,-3.2497916,2.0962198,-10.895638,4.355919,0.06205267,0.51926196,0.10129564193168421,0.5416666666666665,0.5200599,4.6557693,True,Tumor vs Normal,Tumor,Normal
IGKV1-9,0.9518,0.04820000000000002,2.982995710668006,4.821332e-07,2.533272e-06,1e-07,0.5,-3.2772152,-3.3707266,1.9847491,-9.828493,5.1093903,0.00050015486,0.0,0.002355712603062426,0.0,0.003553181,0.0,True,Tumor vs Normal,Tumor,Normal
ZNF469,0.9401999999999999,0.059800000000000075,2.7550868010454113,1.16983765e-05,8.566294e-07,1e-07,0.5,3.2463393,3.275527,1.9273077,-3.168398,9.130914,0.023397494,0.0,0.062426383981154354,0.0,0.17971255,0.0,True,Tumor vs Normal,Tumor,Normal
IGLV3-1,0.9454,0.05459999999999998,2.8515740630356436,1.2895935e-06,7.2973526e-06,1e-07,0.5,-3.1224835,-3.187955,1.7795599,-8.91976,4.052541,0.0013444744,0.0,0.002355712603062426,0.0,0.011272019,0.0,True,Tumor vs Normal,Tumor,Normal
IGKV4-1,0.9484,0.05159999999999998,2.911254498449377,2.2559018e-06,1.29801865e-05,1e-07,0.5,-3.0575767,-3.2206783,1.7819353,-9.306368,3.694604,0.003227478,0.0,0.008244994110718492,0.0,0.02611747,0.0,True,Tumor vs Normal,Tumor,Normal
IGHV3-21,0.9396,0.06040000000000001,2.744464992923915,5.3794463e-07,2.6340465e-06,1e-07,0.5,-3.0122283,-3.105317,1.8506083,-8.640797,4.8954935,0.001258735,0.0077916207,0.001177856301531213,0.020833333333333332,0.0102710705,0.062804505,True,Tumor vs Normal,Tumor,Normal
NAPSA,0.9418,0.05820000000000003,2.7839074218687356,7.656555e-07,4.863254e-06,1e-07,0.5,-2.9105277,-3.006177,1.863591,-10.909152,5.8636284,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
UBE2Q2L,0.9400000000000001,0.05999999999999994,2.7515351570135946,1.2804195e-06,6.5059617e-06,1e-07,0.5,-2.7628498,-2.7307205,1.6647195,-8.244134,2.919304,0.0018002047,0.019774832,0.0035335689045936395,0.041666666666666664,0.014512124,0.1524191,True,Tumor vs Normal,Tumor,Normal
LINC00957,0.944,0.05600000000000005,2.8247743074321585,6.934545e-07,3.296737e-06,1e-07,0.5,-2.4829128,-2.4694777,1.4763408,-7.8680477,3.2607174,0.00038475875,0.0,0.001177856301531213,0.0,0.0032421332,0.0,True,Tumor vs Normal,Tumor,Normal
