Cell_Type,Normal,Tumor
B Cells,34.833859290885464,65.16614070911454
CD4+ T Cells,31.24963991473181,68.7503600852682
CD8+ T cells,24.28100659077292,75.71899340922708
CMS2,1.7299107142857144,98.27008928571429
CMS3,25.232198142414862,74.76780185758514
Dendritic cells,2.0902612826603324,97.90973871733966
Enteric glia cells,59.183673469387756,40.816326530612244
Follicular helper T cells,52.96096904441454,47.03903095558547
Gamma delta T cells,42.88922155688623,57.11077844311377
Helper 17 T cells,4.627681952040387,95.37231804795961
Mast cells,2.1806853582554515,97.81931464174455
Mature Enterocytes type 2,37.11656441717792,62.88343558282209
NK cells,23.56060606060606,76.43939393939394
Pericytes,5.032822757111598,94.9671772428884
Plasma Cells,17.083333333333332,82.91666666666667
Plasmacytoid Dendritic Cells,3.3707865168539324,96.62921348314607
Regulatory T Cells,9.495776810852316,90.50422318914768
Spp1+,1.346389228886169,98.65361077111383
Stromal 2,5.351170568561873,94.64882943143813
Stromal 3,64.61538461538461,35.38461538461539
Tip-like ECs,4.754098360655737,95.24590163934427
