names,scores,logfoldchanges,pvals,pvals_adj,Cell_Type
JUN,53.895744,2.4721556,0.0,0.0,CD4+ T Cells
DNAJB1,43.407085,1.9233162,0.0,0.0,CD4+ T Cells
HSPA1B,39.030704,2.0489473,0.0,0.0,CD4+ T Cells
HSPA1A,38.71453,2.1808257,0.0,0.0,CD4+ T Cells
HSPA8,36.470257,1.138997,3.2851603874383396e-291,5.941623205730667e-288,CD4+ T Cells
PPP1R15A,34.996414,1.5889806,2.5508716843064533e-268,4.100951377803342e-265,CD4+ T Cells
DUSP1,34.494648,1.5048791,9.649532836603554e-261,1.3961909061281682e-257,CD4+ T Cells
FOS,30.891344,1.4794204,1.5611611233447574e-209,1.737572330282715e-206,CD4+ T Cells
IER2,28.237282,1.4237372,2.039386874503391e-175,1.844243042949348e-172,CD4+ T Cells
NR4A1,28.192451,2.2694514,7.236408943074077e-175,6.159035352784636e-172,CD4+ T Cells
EGR1,27.95583,3.0146027,5.599789482750169e-172,4.2643870539953783e-169,CD4+ T Cells
NFKBIA,27.83021,1.1015862,1.870087708919952e-170,1.3529149530181394e-167,CD4+ T Cells
HSP90AA1,27.575212,0.9488488,2.206773233979185e-167,1.5204667582116584e-164,CD4+ T Cells
GADD45B,26.9428,1.7432708,6.92745757696611e-160,4.176390986713443e-157,CD4+ T Cells
UBC,26.687359,0.82099193,6.599006919819405e-157,3.8192412449146785e-154,CD4+ T Cells
MT-ND4L,25.139145,0.7540794,1.8575094819694125e-139,9.95418692393164e-137,CD4+ T Cells
RPS4Y1,24.91508,1.5675443,5.107470706278736e-137,2.639285487469537e-134,CD4+ T Cells
BTG2,24.689253,1.1512961,1.395127643662123e-134,6.960724784878365e-132,CD4+ T Cells
JUNB,24.315866,0.98311496,1.3321112966748563e-130,6.023224484871406e-128,CD4+ T Cells
H3F3B,24.106083,0.65227073,2.1582650175647627e-128,9.463011072468045e-126,CD4+ T Cells
KLF2,23.935736,1.3231091,1.3009597964590357e-126,5.228774248601608e-124,CD4+ T Cells
DNAJA1,23.839361,0.9660026,1.3056200672313045e-125,5.1056802034512824e-123,CD4+ T Cells
EEF2,23.70297,0.6984485,3.3600751773941625e-124,1.2793928353083195e-121,CD4+ T Cells
SQSTM1,22.631117,1.2584634,2.1411423651475046e-113,7.745047220329812e-111,CD4+ T Cells
ACTB,21.63412,0.60048115,8.576980436906567e-104,2.820462044127298e-101,CD4+ T Cells
CD69,21.510454,0.88851476,1.242826729319027e-102,3.90923042315587e-100,CD4+ T Cells
SAT1,21.49749,0.9494967,1.6433611302088455e-102,5.059104721913146e-100,CD4+ T Cells
ZFP36,21.34611,0.91063166,4.237867079069243e-101,1.2774520576469348e-98,CD4+ T Cells
SLC25A6,21.256445,0.7033829,2.8737649066640865e-100,8.316100886904533e-98,CD4+ T Cells
LAPTM5,21.241909,0.64581186,3.9165026650801093e-100,1.1111348443341981e-97,CD4+ T Cells
SERTAD1,21.228855,1.4010805,5.170677819495149e-100,1.4387411032745252e-97,CD4+ T Cells
FOSB,21.134594,1.0395399,3.824585959364937e-99,1.044111966906628e-96,CD4+ T Cells
UBB,21.110325,0.674465,6.393160443701873e-99,1.7130118233318964e-96,CD4+ T Cells
CD74,20.624943,0.8328085,1.6392494481249068e-94,4.312418229985323e-92,CD4+ T Cells
ACTG1,20.195822,0.54834855,1.0653749918015977e-90,2.752662635067378e-88,CD4+ T Cells
KLF6,20.10635,0.74219495,6.492933746835179e-90,1.6481799716308456e-87,CD4+ T Cells
HSP90AB1,19.830265,0.6333894,1.6317678480936071e-87,4.0017032193332885e-85,CD4+ T Cells
RPLP0,19.820623,0.53993315,1.9764730066308285e-87,4.766264655490242e-85,CD4+ T Cells
GAPDH,19.620773,0.5790898,1.02776796878158e-85,2.3985120548872065e-83,CD4+ T Cells
DDIT4,19.538889,0.8239448,5.128673573862536e-85,1.1778853641304293e-82,CD4+ T Cells
MT-ATP8,19.474543,0.80453974,1.8053229342948063e-84,4.0814402400486805e-82,CD4+ T Cells
MTRNR2L12,19.19612,0.9617626,3.987914416088032e-82,8.742596013087536e-80,CD4+ T Cells
VIM,19.02889,0.57420367,9.831101630557309e-81,2.123077753619906e-78,CD4+ T Cells
CIRBP,18.385378,0.60193783,1.7203859911814237e-75,3.5560378437720026e-73,CD4+ T Cells
DUSP2,18.179413,0.85328287,7.513279784735479e-74,1.5098561834074674e-71,CD4+ T Cells
RHOB,18.12166,2.2688618,2.1500929507976994e-73,4.261602041793413e-71,CD4+ T Cells
CDKN1A,18.059252,1.4915363,6.672160714693492e-73,1.2702564918539491e-70,CD4+ T Cells
HERPUD1,17.516626,0.8931352,1.0698583489993655e-68,1.984587237393823e-66,CD4+ T Cells
CD99,17.126637,0.6188066,9.393077360951382e-66,1.6988554541950694e-63,CD4+ T Cells
CACYBP,16.76863,0.89840233,4.1394894393847304e-63,7.304179597372886e-61,CD4+ T Cells
HSPE1,16.686016,0.6351076,1.656646335615262e-62,2.820001862354968e-60,CD4+ T Cells
TPI1,16.514097,0.71323997,2.9047633048589168e-61,4.830921868736053e-59,CD4+ T Cells
MRPL18,16.353567,1.2943661,4.1024294776947924e-60,6.669444057614152e-58,CD4+ T Cells
DNAJB4,16.250465,1.7681911,2.2167795717801104e-59,3.5638426248984914e-57,CD4+ T Cells
CORO1A,16.183126,0.5356279,6.633805213743242e-59,1.0547750289851754e-56,CD4+ T Cells
RBM3,15.947431,0.68654644,2.96862642301076e-57,4.66881040375464e-55,CD4+ T Cells
AQP3,15.832348,0.9750006,1.8614248347177882e-56,2.865208078035285e-54,CD4+ T Cells
ATF3,15.68261,2.101958,1.9891103048198334e-55,3.0295196842566494e-53,CD4+ T Cells
RHOA,15.227463,0.52761984,2.32438253650251e-52,3.4671640124386405e-50,CD4+ T Cells
CITED2,15.079841,0.8501978,2.1979969824959452e-51,3.1179233666405716e-49,CD4+ T Cells
ATP6V0C,15.073043,0.9109949,2.4363005820020202e-51,3.42241098262012e-49,CD4+ T Cells
HSPH1,15.0663,0.71713966,2.698036170873328e-51,3.753642822727518e-49,CD4+ T Cells
ZFP36L1,14.737779,0.5697245,3.68712403489369e-49,4.985887631857645e-47,CD4+ T Cells
SPOCK2,14.731223,0.5614659,4.062854571623476e-49,5.443096555261118e-47,CD4+ T Cells
BAG3,14.6845665,1.897241,8.095080181285024e-49,1.0647974103910274e-46,CD4+ T Cells
LDHA,14.660014,0.5641558,1.1624798369008991e-48,1.5153081765873072e-46,CD4+ T Cells
HSPB1,14.656197,0.89674693,1.2297033010910483e-48,1.5886229520969981e-46,CD4+ T Cells
TUBA1A,14.580655,0.7868415,3.7292117748598174e-48,4.7331548395128684e-46,CD4+ T Cells
DAZAP2,14.4555025,0.5342544,2.3143464069863685e-47,2.911850275016153e-45,CD4+ T Cells
IRF1,14.42779,0.69116735,3.4599059372586057e-47,4.278750342409809e-45,CD4+ T Cells
SLC2A3,14.233125,0.5884426,5.707317108997766e-46,6.824724896701544e-44,CD4+ T Cells
EIF3L,14.2211275,0.58129394,6.7752752880325015e-46,8.035365421519857e-44,CD4+ T Cells
HSPA6,14.128605,2.9113169,2.5310745295369986e-45,2.97740791608706e-43,CD4+ T Cells
RGS2,14.07393,1.0842894,5.492987473327405e-45,6.409519012223728e-43,CD4+ T Cells
ZFAND2A,14.066135,2.1125255,6.133059371656194e-45,7.099138883879477e-43,CD4+ T Cells
ANKRD37,13.984625,1.5884409,1.9349379925143826e-44,2.2219537947373496e-42,CD4+ T Cells
ERN1,13.5766115,0.81949157,5.51182552982185e-42,6.1822173326350655e-40,CD4+ T Cells
TMEM173,13.438501,0.9488211,3.596487943439987e-41,4.002891081048705e-39,CD4+ T Cells
LSP1,13.332088,0.53892785,1.5062167786068491e-40,1.6386053059896615e-38,CD4+ T Cells
UCP2,13.316685,0.65213484,1.8514817969248266e-40,1.9843770459040973e-38,CD4+ T Cells
R3HDM4,13.312921,1.1191012,1.9471933894577746e-40,2.0656611906351888e-38,CD4+ T Cells
TUBB4B,13.241967,0.6784965,5.02161845942716e-40,5.18984267781797e-38,CD4+ T Cells
PMAIP1,13.218487,1.4558427,6.863063244128066e-40,6.993074794316126e-38,CD4+ T Cells
TNF,13.063444,1.876452,5.326213012643396e-39,5.278423019173787e-37,CD4+ T Cells
HNRNPA0,12.843117,0.567279,9.401170597408645e-38,9.19091468742606e-36,CD4+ T Cells
H2AFX,12.719753,1.2892834,4.5930643802019936e-37,4.4602045984659496e-35,CD4+ T Cells
PKM,12.538807,0.696036,4.578382866692733e-36,4.387061039614381e-34,CD4+ T Cells
CNN2,12.481314,0.62182844,9.441623757018096e-36,8.928813996097701e-34,CD4+ T Cells
CKS2,12.24264,1.1590893,1.8395195730894543e-34,1.7061544040404688e-32,CD4+ T Cells
HSPD1,12.1320505,0.5079059,7.1438291345179835e-34,6.500884512411365e-32,CD4+ T Cells
HCLS1,12.10211,0.52969253,1.0293122533737595e-33,9.308199371290579e-32,CD4+ T Cells
DEF6,12.046392,0.7531566,2.0262542121782526e-33,1.8097451972843913e-31,CD4+ T Cells
HSPA5,12.008006,0.5794782,3.225276483182621e-33,2.8629770205625366e-31,CD4+ T Cells
ICAM3,11.870991,0.5822641,1.6747150554708057e-32,1.4509851579405442e-30,CD4+ T Cells
