names,scores,logfoldchanges,pvals,pvals_adj,Cell_Type,n_tumor,n_normal
TMSB4X,39.059105,0.5521747,0.0,0.0,CD4+ T Cells,11933,5424
S100A4,37.28767,1.505615,2.599989033537294e-304,1.5047696530500444e-301,CD4+ T Cells,11933,5424
IGKC,36.686737,3.8948739,1.1886181036935214e-294,5.732705114113853e-292,CD4+ T Cells,11933,5424
MALAT1,34.693626,0.7772651,9.830291116071793e-264,3.9509578377345217e-261,CD4+ T Cells,11933,5424
RPS26,33.320084,1.1227063,1.9765032827050656e-243,6.650703720339441e-241,CD4+ T Cells,11933,5424
MT-ND4,31.89089,0.8679535,3.571331396598417e-223,1.03347187954765e-220,CD4+ T Cells,11933,5424
JUND,31.785532,2.3753572,1.0258083149519995e-221,2.910278531184408e-219,CD4+ T Cells,11933,5424
S100A6,31.465036,1.1081464,2.6143775559493296e-217,7.005079417968676e-215,CD4+ T Cells,11933,5424
HSPA1A,30.265429,1.9969705,3.269404497494705e-201,8.156036840388083e-199,CD4+ T Cells,11933,5424
SH3BGRL3,28.231203,0.7637561,2.4217278478150824e-175,5.390766189236373e-173,CD4+ T Cells,11933,5424
TRAC,28.076698,1.6963096,1.886472354288566e-173,4.0739355961494427e-171,CD4+ T Cells,11933,5424
CD2,27.754969,0.92471814,1.5177256874312686e-169,3.137138995920432e-167,CD4+ T Cells,11933,5424
S100A11,27.11433,1.109858,6.673243724663891e-162,1.2704626770021295e-159,CD4+ T Cells,11933,5424
RPS10,27.095306,2.1512094,1.118362146532645e-161,2.1015041426208885e-159,CD4+ T Cells,11933,5424
RPS29,27.0841,0.58290213,1.5156753214265792e-161,2.8115777212463045e-159,CD4+ T Cells,11933,5424
RPS17,25.567774,1.9826163,3.483651158212764e-144,5.539005341558294e-142,CD4+ T Cells,11933,5424
IGHA1,25.376345,4.0011096,4.6019907414660624e-142,7.237630873725267e-140,CD4+ T Cells,11933,5424
NEAT1,24.758987,1.3796579,2.4810035663023144e-135,3.778699010613493e-133,CD4+ T Cells,11933,5424
