,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
PRAC1,0.978,0.02200000000000002,3.794466772356098,0.00028482615,1.2674511e-05,1e-07,0.5,5.376369,5.471491,2.879778,-7.728861,14.413092,0.31839097,0.0111371195,0.33130236100533234,0.00946372239747634,3.356044,0.116001956,True,Left vs Right,Left,Right
MTRNR2L8,0.946,0.05400000000000005,2.8632583478732596,4.7917194e-05,0.0063156188,1e-07,0.5,-5.272368,-5.1239386,6.0754676,-23.914448,13.965293,0.06951121,1.113054,0.054836252856054896,0.3798107255520497,0.79682845,13.370833,True,Left vs Right,Left,Right
PNPLA3,0.9446,0.055400000000000005,2.8361817937898715,1.6958398e-06,2.1397971e-05,1e-07,0.5,-3.719216,-3.7266884,2.5931735,-13.252132,7.3343544,0.0011880519,0.031376738,0.007616146230007618,0.032807570977917956,0.009946421,0.32194602,True,Left vs Right,Left,Right
SOBP,0.9526,0.0474,3.0005726591928727,9.2240555e-07,9.751568e-06,1e-07,0.5,-3.599003,-3.6636953,2.3565361,-10.843663,5.649744,0.0011842387,0.014594872,0.0015232292460015233,0.021451104100946368,0.011185667,0.1323596,True,Left vs Right,Left,Right
SLFN13,0.9424,0.057599999999999985,2.794907082195586,1.9449535e-06,1.854556e-05,1e-07,0.5,-3.4694176,-3.5679665,2.5267675,-12.623386,5.758917,0.0034471469,0.02573559,0.007616146230007618,0.03091482649842269,0.033041753,0.22603196,True,Left vs Right,Left,Right
LINC01268,0.9448,0.05520000000000003,2.840010141024949,2.4468113e-06,1.6e-05,1e-07,0.5,-3.4663086,-3.687127,2.5582032,-11.7944145,8.006753,0.00476423,0.025591746,0.008377760853008379,0.03470031545741322,0.045396954,0.2454035,True,Left vs Right,Left,Right
ALDH1L1,0.9442,0.05579999999999996,2.828563970104445,9.881711e-06,6.868461e-05,1e-07,0.5,-3.3756993,-3.2896323,3.2634575,-12.144517,7.5423317,0.017032139,0.09007181,0.06397562833206404,0.10788643533123013,0.15915637,0.92861116,True,Left vs Right,Left,Right
AMH,0.9431999999999999,0.05680000000000007,2.809741858041937,2.625807e-06,2.1126954e-05,1e-07,0.5,-3.250319,-3.2832975,2.2496586,-12.253406,5.95541,0.0017710179,0.028241243,0.012947448591012945,0.03154574132492111,0.0153750945,0.29357296,True,Left vs Right,Left,Right
REG4,0.9632000000000001,0.036799999999999944,3.264762968022639,0.0012125891,0.0006418434,1e-07,0.5,-3.1379275,-4.282439,5.532643,-16.543592,17.714342,0.576972,0.42464548,0.23305407463823186,0.2630914826498443,4.8036013,4.255989,True,Left vs Right,Left,Right
AL354822.1,0.949,0.051000000000000045,2.9235829803445967,1.0735206e-06,5.3786694e-06,1e-07,0.5,-3.1378188,-3.3089266,2.1044273,-10.453603,7.2227736,0.001310611,0.008508761,0.00456968773800457,0.01135646687697161,0.011652373,0.08267244,True,Left vs Right,Left,Right
