,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
XIST,1.0,0.0,18.420680753952368,0.0005397924,5.7227624e-07,1e-07,0.5,10.01827,10.048866,0.76910263,7.0247507,12.230755,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
RPS4Y1,1.0,0.0,18.420680753952368,7.230348e-07,0.00033151676,1e-07,0.5,-8.83527,-8.81541,0.6295832,-11.348995,-6.5690374,0.6809079,0.7992966,0.5,0.7999999999999999,7.414976,5.978958,True,Left vs Right,Left,Right
DDX3Y,1.0,0.0,18.420680753952368,2.5642643e-07,8.1648766e-05,1e-07,0.5,-8.271945,-8.365084,0.8303386,-10.291641,-4.7279835,0.17775752,0.20027737,0.125,0.6666666666666666,1.9303508,1.4388998,True,Left vs Right,Left,Right
UTY,1.0,0.0,18.420680753952368,1.3593429e-07,1.5681922e-05,1e-07,0.5,-6.7641807,-6.7950187,0.86532336,-9.560946,-3.4349976,0.0,0.011371843,0.0,0.06666666666666667,0.0,0.076731704,True,Left vs Right,Left,Right
HLA-DQA2,1.0,0.0,18.420680753952368,4.186188e-05,4.5183478e-07,1e-07,0.5,6.4854865,6.5119143,1.1167737,2.5413399,11.451405,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
EIF1AY,1.0,0.0,18.420680753952368,2.3498554e-07,2.053424e-05,1e-07,0.5,-6.457124,-6.4346914,0.54193175,-8.830493,-4.8283978,0.0,0.04640187,0.0,0.2,0.0,0.36150217,True,Left vs Right,Left,Right
TTTY15,1.0,0.0,18.420680753952368,1.418042e-07,1.1713781e-05,1e-07,0.5,-6.3555655,-6.3543453,0.72625923,-8.894109,-4.2684803,0.0,0.010651365,0.0,0.06666666666666667,0.0,0.07528377,True,Left vs Right,Left,Right
ZFY,1.0,0.0,18.420680753952368,2.0613184e-07,1.2216192e-05,1e-07,0.5,-5.828197,-5.891487,0.80213135,-8.275147,-2.8344307,0.0,0.012547174,0.0,0.06666666666666667,0.0,0.08457825,True,Left vs Right,Left,Right
USP9Y,1.0,0.0,18.420680753952368,3.3032447e-07,1.6015341e-05,1e-07,0.5,-5.5439253,-5.604525,0.9118295,-8.043623,-2.3768063,0.0,0.05264795,0.0,0.2,0.0,0.4076758,True,Left vs Right,Left,Right
KDM5D,1.0,0.0,18.420680753952368,9.010897e-07,3.0372497e-05,1e-07,0.5,-5.046226,-5.087551,0.76455873,-7.213029,-2.266716,0.0,0.06400241,0.0,0.2,0.0,0.45899785,True,Left vs Right,Left,Right
