validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
3626.629638671875,1752572461,,False,1,29dce38c,2025-07-15_10-41-01,9.288079023361206,9.288079023361206,33692,sapien-desktop,192.168.1.136,9.288079023361206,1
3533.623046875,1752572469,,False,2,29dce38c,2025-07-15_10-41-09,8.294133186340332,17.582212209701538,33692,sapien-desktop,192.168.1.136,17.582212209701538,2
3507.32275390625,1752572478,,False,3,29dce38c,2025-07-15_10-41-18,8.290117502212524,25.872329711914062,33692,sapien-desktop,192.168.1.136,25.872329711914062,3
3494.758056640625,1752572486,,False,4,29dce38c,2025-07-15_10-41-26,8.303004264831543,34.175333976745605,33692,sapien-desktop,192.168.1.136,34.175333976745605,4
3492.55224609375,1752572494,,False,5,29dce38c,2025-07-15_10-41-34,8.313957691192627,42.48929166793823,33692,sapien-desktop,192.168.1.136,42.48929166793823,5
3476.38720703125,1752572503,,False,6,29dce38c,2025-07-15_10-41-43,8.321395635604858,50.81068730354309,33692,sapien-desktop,192.168.1.136,50.81068730354309,6
3469.335205078125,1752572511,,False,7,29dce38c,2025-07-15_10-41-51,8.340470790863037,59.15115809440613,33692,sapien-desktop,192.168.1.136,59.15115809440613,7
3467.8408203125,1752572519,,False,8,29dce38c,2025-07-15_10-41-59,8.314626216888428,67.46578431129456,33692,sapien-desktop,192.168.1.136,67.46578431129456,8
3466.929931640625,1752572528,,False,9,29dce38c,2025-07-15_10-42-08,8.326904058456421,75.79268836975098,33692,sapien-desktop,192.168.1.136,75.79268836975098,9
3465.62255859375,1752572536,,False,10,29dce38c,2025-07-15_10-42-16,8.34137225151062,84.1340606212616,33692,sapien-desktop,192.168.1.136,84.1340606212616,10
3463.674072265625,1752572544,,False,11,29dce38c,2025-07-15_10-42-24,8.326405048370361,92.46046566963196,33692,sapien-desktop,192.168.1.136,92.46046566963196,11
3460.91259765625,1752572553,,False,12,29dce38c,2025-07-15_10-42-33,8.325388431549072,100.78585410118103,33692,sapien-desktop,192.168.1.136,100.78585410118103,12
3461.2080078125,1752572561,,False,13,29dce38c,2025-07-15_10-42-41,8.306206464767456,109.09206056594849,33692,sapien-desktop,192.168.1.136,109.09206056594849,13
3460.446533203125,1752572569,,False,14,29dce38c,2025-07-15_10-42-49,8.340078353881836,117.43213891983032,33692,sapien-desktop,192.168.1.136,117.43213891983032,14
3459.02490234375,1752572578,,False,15,29dce38c,2025-07-15_10-42-58,8.354161977767944,125.78630089759827,33692,sapien-desktop,192.168.1.136,125.78630089759827,15
3458.335693359375,1752572586,,False,16,29dce38c,2025-07-15_10-43-06,8.341614961624146,134.1279158592224,33692,sapien-desktop,192.168.1.136,134.1279158592224,16
3458.5029296875,1752572594,,False,17,29dce38c,2025-07-15_10-43-14,8.330431938171387,142.4583477973938,33692,sapien-desktop,192.168.1.136,142.4583477973938,17
3455.596923828125,1752572603,,False,18,29dce38c,2025-07-15_10-43-23,8.339203834533691,150.7975516319275,33692,sapien-desktop,192.168.1.136,150.7975516319275,18
3457.669677734375,1752572611,,False,19,29dce38c,2025-07-15_10-43-31,8.330558061599731,159.12810969352722,33692,sapien-desktop,192.168.1.136,159.12810969352722,19
3456.04443359375,1752572619,,False,20,29dce38c,2025-07-15_10-43-39,8.350679159164429,167.47878885269165,33692,sapien-desktop,192.168.1.136,167.47878885269165,20
