validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
3681.013671875,1752592126,,False,1,80b7adb7,2025-07-15_16-08-46,9.43712329864502,9.43712329864502,51643,sapien-desktop,192.168.1.136,9.43712329864502,1
3603.49365234375,1752592134,,False,2,80b7adb7,2025-07-15_16-08-54,8.77521014213562,18.21233344078064,51643,sapien-desktop,192.168.1.136,18.21233344078064,2
3561.52001953125,1752592143,,False,3,80b7adb7,2025-07-15_16-09-03,8.778861999511719,26.99119544029236,51643,sapien-desktop,192.168.1.136,26.99119544029236,3
3541.5498046875,1752592152,,False,4,80b7adb7,2025-07-15_16-09-12,8.838317155838013,35.82951259613037,51643,sapien-desktop,192.168.1.136,35.82951259613037,4
3535.686279296875,1752592161,,False,5,80b7adb7,2025-07-15_16-09-21,8.852191925048828,44.6817045211792,51643,sapien-desktop,192.168.1.136,44.6817045211792,5
3522.76806640625,1752592170,,False,6,80b7adb7,2025-07-15_16-09-30,8.75001311302185,53.43171763420105,51643,sapien-desktop,192.168.1.136,53.43171763420105,6
3526.357177734375,1752592179,,False,7,80b7adb7,2025-07-15_16-09-39,8.867348432540894,62.29906606674194,51643,sapien-desktop,192.168.1.136,62.29906606674194,7
3518.604736328125,1752592187,,False,8,80b7adb7,2025-07-15_16-09-47,8.90636944770813,71.20543551445007,51643,sapien-desktop,192.168.1.136,71.20543551445007,8
3512.646484375,1752592196,,False,9,80b7adb7,2025-07-15_16-09-56,8.87074589729309,80.07618141174316,51643,sapien-desktop,192.168.1.136,80.07618141174316,9
3512.793212890625,1752592205,,False,10,80b7adb7,2025-07-15_16-10-05,8.846837043762207,88.92301845550537,51643,sapien-desktop,192.168.1.136,88.92301845550537,10
3507.697265625,1752592214,,False,11,80b7adb7,2025-07-15_16-10-14,8.953644037246704,97.87666249275208,51643,sapien-desktop,192.168.1.136,97.87666249275208,11
3507.18701171875,1752592223,,False,12,80b7adb7,2025-07-15_16-10-23,8.980629682540894,106.85729217529297,51643,sapien-desktop,192.168.1.136,106.85729217529297,12
3505.0146484375,1752592232,,False,13,80b7adb7,2025-07-15_16-10-32,8.994050741195679,115.85134291648865,51643,sapien-desktop,192.168.1.136,115.85134291648865,13
3503.103515625,1752592241,,False,14,80b7adb7,2025-07-15_16-10-41,9.088525772094727,124.93986868858337,51643,sapien-desktop,192.168.1.136,124.93986868858337,14
3502.20751953125,1752592250,,False,15,80b7adb7,2025-07-15_16-10-50,8.820154666900635,133.760023355484,51643,sapien-desktop,192.168.1.136,133.760023355484,15
3500.300048828125,1752592259,,True,16,80b7adb7,2025-07-15_16-10-59,8.890695095062256,142.65071845054626,51643,sapien-desktop,192.168.1.136,142.65071845054626,16
