validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
3673.682861328125,1752593635,,False,1,833a08ec,2025-07-15_16-33-55,7.902415990829468,7.902415990829468,61864,sapien-desktop,192.168.1.136,7.902415990829468,1
3600.3388671875,1752593642,,False,2,833a08ec,2025-07-15_16-34-02,6.900120258331299,14.802536249160767,61864,sapien-desktop,192.168.1.136,14.802536249160767,2
3543.99658203125,1752593649,,False,3,833a08ec,2025-07-15_16-34-09,6.914278745651245,21.71681499481201,61864,sapien-desktop,192.168.1.136,21.71681499481201,3
3526.028564453125,1752593656,,False,4,833a08ec,2025-07-15_16-34-16,6.869283437728882,28.586098432540894,61864,sapien-desktop,192.168.1.136,28.586098432540894,4
3515.305908203125,1752593663,,False,5,833a08ec,2025-07-15_16-34-23,6.871309518814087,35.45740795135498,61864,sapien-desktop,192.168.1.136,35.45740795135498,5
3506.06884765625,1752593670,,False,6,833a08ec,2025-07-15_16-34-30,6.8779168128967285,42.33532476425171,61864,sapien-desktop,192.168.1.136,42.33532476425171,6
3500.446044921875,1752593677,,False,7,833a08ec,2025-07-15_16-34-37,6.913557291030884,49.24888205528259,61864,sapien-desktop,192.168.1.136,49.24888205528259,7
3504.597900390625,1752593683,,False,8,833a08ec,2025-07-15_16-34-43,6.8880205154418945,56.13690257072449,61864,sapien-desktop,192.168.1.136,56.13690257072449,8
3497.68994140625,1752593690,,False,9,833a08ec,2025-07-15_16-34-50,6.932668447494507,63.069571018218994,61864,sapien-desktop,192.168.1.136,63.069571018218994,9
3488.9208984375,1752593697,,False,10,833a08ec,2025-07-15_16-34-57,6.923582553863525,69.99315357208252,61864,sapien-desktop,192.168.1.136,69.99315357208252,10
3491.60107421875,1752593704,,False,11,833a08ec,2025-07-15_16-35-04,6.9347453117370605,76.92789888381958,61864,sapien-desktop,192.168.1.136,76.92789888381958,11
3484.17919921875,1752593711,,False,12,833a08ec,2025-07-15_16-35-11,6.940173149108887,83.86807203292847,61864,sapien-desktop,192.168.1.136,83.86807203292847,12
3487.574462890625,1752593718,,False,13,833a08ec,2025-07-15_16-35-18,6.915102243423462,90.78317427635193,61864,sapien-desktop,192.168.1.136,90.78317427635193,13
3483.15087890625,1752593725,,False,14,833a08ec,2025-07-15_16-35-25,6.864368438720703,97.64754271507263,61864,sapien-desktop,192.168.1.136,97.64754271507263,14
3485.16162109375,1752593732,,False,15,833a08ec,2025-07-15_16-35-32,6.8741114139556885,104.52165412902832,61864,sapien-desktop,192.168.1.136,104.52165412902832,15
3484.11474609375,1752593739,,False,16,833a08ec,2025-07-15_16-35-39,6.916931867599487,111.43858599662781,61864,sapien-desktop,192.168.1.136,111.43858599662781,16
3485.60009765625,1752593746,,False,17,833a08ec,2025-07-15_16-35-46,6.907945871353149,118.34653186798096,61864,sapien-desktop,192.168.1.136,118.34653186798096,17
3483.227294921875,1752593753,,False,18,833a08ec,2025-07-15_16-35-53,6.88628363609314,125.2328155040741,61864,sapien-desktop,192.168.1.136,125.2328155040741,18
3481.958984375,1752593759,,False,19,833a08ec,2025-07-15_16-35-59,6.896611452102661,132.12942695617676,61864,sapien-desktop,192.168.1.136,132.12942695617676,19
3480.34375,1752593766,,False,20,833a08ec,2025-07-15_16-36-06,6.8930275440216064,139.02245450019836,61864,sapien-desktop,192.168.1.136,139.02245450019836,20
