,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
MTRNR2L8,0.9502,0.049799999999999955,2.948657314443122,3.372648e-05,0.0013363871,1e-07,0.5,-6.2656507,-6.726075,4.0735397,-17.633059,3.3088665,0.0,0.89517987,0.0,0.4827586206896553,0.0,8.627627,True,Tumor vs Normal,Tumor,Normal
GSTM1,0.9488,0.05120000000000002,2.9194583114251467,1.4820787e-05,7.696557e-05,1e-07,0.5,-5.3208227,-5.3996067,3.6337905,-12.0745325,5.809677,0.022030791,0.12815292,0.05,0.1724137931034483,0.1498303,1.087989,True,Tumor vs Normal,Tumor,Normal
TRBV12-3,0.9388000000000001,0.06119999999999992,2.730455121711806,2.7122056e-07,7.1491027e-06,1e-07,0.5,-4.9215994,-4.9766417,3.2439468,-14.563994,3.2490425,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
TRAV9-2,0.9530000000000001,0.04699999999999993,3.0094670996713897,5.868276e-07,9.209207e-06,1e-07,0.5,-4.6703076,-4.763966,2.6875226,-12.135565,2.6232662,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
GREM1,0.9788,0.021199999999999997,3.83232568840914,1.5939031e-05,6.105641e-07,1e-07,0.5,4.5497403,4.6313376,2.000967,-2.1998692,10.467659,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
EDRF1-AS1,0.97,0.030000000000000027,3.476098366811273,4.7242986e-07,7.838822e-06,1e-07,0.5,-4.4921494,-4.5980396,2.1924186,-11.277707,2.862915,0.0,0.023777192,0.0,0.034482758620689655,0.0,0.18463434,True,Tumor vs Normal,Tumor,Normal
P2RY12,0.9614,0.03859999999999997,3.2151380303232497,4.994557e-06,7.177345e-05,1e-07,0.5,-4.4297495,-4.346424,3.5840158,-12.841526,7.392829,0.016364692,0.08801368,0.05,0.10344827586206896,0.104533665,0.73237705,True,Tumor vs Normal,Tumor,Normal
TRAV26-2,0.9484,0.05159999999999998,2.911254498449377,5.795007e-07,4.9999903e-06,1e-07,0.5,-4.4186773,-4.624918,2.595039,-10.833863,2.4528885,0.0,0.02364827,0.0,0.034482758620689655,0.0,0.2034948,True,Tumor vs Normal,Tumor,Normal
TRBV29-1,0.9356,0.06440000000000001,2.676074257008553,2.9201144e-07,7.0716633e-06,1e-07,0.5,-4.412617,-4.4230323,2.9731097,-13.024418,3.5349674,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
TRAV35,0.9712,0.028800000000000048,3.5181566962377104,3.7062355e-07,4.3496257e-06,1e-07,0.5,-4.2934337,-4.235344,2.1780343,-10.162437,2.0823822,0.0,0.014912232,0.0,0.034482758620689655,0.0,0.13169701,True,Tumor vs Normal,Tumor,Normal
