,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
MTRNR2L12,0.9508,0.04920000000000002,2.961409919253223,0.0008221424,0.0029005862,1e-07,0.5,-8.291315,-9.904936,4.5205183,-16.019981,4.5564737,0.3610195,1.611003,0.16401273885350318,0.7857142857142855,3.470406,16.47578,True,Tumor vs Normal,Tumor,Normal
AC007952.4,0.9501999999999999,0.049800000000000066,2.94865731444312,7.0844026e-06,4.658456e-05,1e-07,0.5,-7.3139234,-8.382109,3.7466412,-14.625813,4.1192656,0.01356587,0.0,0.020700636942675158,0.0,0.12806815,0.0,True,Tumor vs Normal,Tumor,Normal
GSTM1,0.962,0.038000000000000034,3.23142803817647,8.382462e-06,8.217867e-05,1e-07,0.5,-7.2993226,-8.20345,3.1709216,-14.727773,3.2281723,0.018417573,0.24005553,0.01592356687898089,0.14285714285714285,0.2317607,2.1763844,True,Tumor vs Normal,Tumor,Normal
IGHV5-78,0.9476,0.0524,2.8950257006709337,1.8577812e-07,1.0894405e-06,1e-07,0.5,-6.300954,-7.09982,3.7021604,-15.162188,5.9694386,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
PTPRCAP,0.9546,0.045399999999999996,3.0457800897357927,2.7842532e-06,1.5152396e-05,1e-07,0.5,-6.234549,-7.151392,3.230118,-12.596042,3.9536943,0.001187734,0.0,0.0031847133757961785,0.0,0.009662088,0.0,True,Tumor vs Normal,Tumor,Normal
MTRNR2L8,0.961,0.039000000000000035,3.204412516836249,2.9949311e-05,0.0004485928,1e-07,0.5,-6.1485863,-6.343101,4.032127,-19.791372,8.273754,0.035328895,0.29153052,0.03662420382165605,0.14285714285714285,0.34729788,4.481233,True,Tumor vs Normal,Tumor,Normal
IGKV1-17,0.9560000000000001,0.04399999999999993,3.0785680623206915,5.6436846e-07,4.5641823e-06,1e-07,0.5,-5.89152,-6.6516676,2.772043,-11.282838,3.2746277,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV5-1,0.9464,0.05359999999999998,2.871116068586631,2.9560184e-07,4.779602e-07,1e-07,0.5,-5.746719,-6.746933,3.5446174,-13.001064,7.758831,0.00154041,0.0,0.0015923566878980893,0.0,0.012631552,0.0,True,Tumor vs Normal,Tumor,Normal
AL645728.1,0.9568000000000001,0.043199999999999905,3.097753666916355,9.922344e-07,7.784935e-06,1e-07,0.5,-5.6759152,-6.4287767,2.651797,-11.363944,2.3707333,0.0032366058,0.0,0.004777070063694268,0.0,0.027824832,0.0,True,Tumor vs Normal,Tumor,Normal
HLA-DRB5,0.9630000000000001,0.03699999999999992,3.2591352392678856,7.0058272e-06,2.2394941e-05,1e-07,0.5,-5.661126,-6.421357,3.8961034,-14.588783,6.7781525,0.013832817,0.084715575,0.01592356687898089,0.14285714285714285,0.12685914,0.764342,True,Tumor vs Normal,Tumor,Normal
TRBV6-6,0.9442,0.05579999999999996,2.828563970104445,1.851125e-07,7.470339e-07,1e-07,0.5,-5.614931,-6.4804554,3.171162,-11.80279,5.507845,0.0012093385,0.0,0.0015923566878980893,0.0,0.010319379,0.0,True,Tumor vs Normal,Tumor,Normal
IGKV3-20,0.955,0.04500000000000004,3.0550486389594163,5.720726e-06,2.9284138e-05,1e-07,0.5,-5.433854,-6.060461,3.2504132,-12.593028,4.5693064,0.0075873868,0.0,0.009554140127388535,0.0,0.0840738,0.0,True,Tumor vs Normal,Tumor,Normal
IGHV5-51,0.9512,0.048799999999999955,2.969993838112496,1.4510209e-06,8.719019e-06,1e-07,0.5,-5.326256,-6.0109625,2.8319829,-12.785502,4.636242,0.0013543215,0.050920967,0.0015923566878980893,0.07142857142857142,0.010072737,0.46617597,True,Tumor vs Normal,Tumor,Normal
IGHV1-2,0.9606,0.03939999999999999,3.1937920295299222,2.837075e-07,2.9630203e-06,1e-07,0.5,-5.2683005,-5.8073797,2.9028063,-12.163309,5.1726055,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV19,0.949,0.051000000000000045,2.9235829803445967,2.4754758e-07,7.7355395e-07,1e-07,0.5,-5.1392775,-5.8319187,3.0375752,-12.667179,6.064598,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
IGKV3-15,0.9610000000000001,0.038999999999999924,3.2044125168362516,5.415584e-06,1.9441522e-05,1e-07,0.5,-5.0861654,-5.7416725,2.973025,-11.726143,4.861232,0.0066686417,0.050920967,0.006369426751592357,0.07142857142857142,0.08022378,0.46617597,True,Tumor vs Normal,Tumor,Normal
TRBV7-2,0.9571999999999999,0.04280000000000006,3.1074740302487704,4.241126e-07,7.851414e-07,1e-07,0.5,-5.0679436,-6.0039186,3.3604767,-11.600323,7.636507,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
WNT1,0.9474,0.05259999999999998,2.8910050911871408,6.958506e-08,5.844815e-07,1e-07,0.5,-5.0369487,-5.440877,2.64334,-12.920704,5.2657223,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV20-1,0.962,0.038000000000000034,3.23142803817647,8.642057e-07,1.5575744e-06,1e-07,0.5,-5.019717,-5.9426107,3.3486814,-12.695511,6.748542,0.0048046093,0.0,0.0031847133757961785,0.0,0.03851604,0.0,True,Tumor vs Normal,Tumor,Normal
TNFSF13,0.961,0.039000000000000035,3.204412516836249,5.180614e-06,1.3346246e-05,1e-07,0.5,-4.925272,-5.7962575,3.2863648,-12.505891,5.462389,0.0073629147,0.0,0.012738853503184712,0.0,0.062035576,0.0,True,Tumor vs Normal,Tumor,Normal
FKBP1C,0.963,0.03700000000000003,3.2591352392678825,1.3143365e-06,3.4014724e-06,1e-07,0.5,-4.79522,-5.5893755,3.0593603,-12.292385,5.4994936,0.0034620943,0.0,0.0031847133757961785,0.0,0.044103295,0.0,True,Tumor vs Normal,Tumor,Normal
IGKV3-11,0.9526,0.0474,3.0005726591928727,4.1562475e-06,1.7415652e-05,1e-07,0.5,-4.7912292,-5.3756466,2.9866486,-11.537846,5.278699,0.009344079,0.0,0.004777070063694268,0.0,0.120620035,0.0,True,Tumor vs Normal,Tumor,Normal
AC012368.1,0.9443999999999999,0.055600000000000094,2.832366434687454,1.4757734e-07,1.0098632e-06,1e-07,0.5,-4.7494416,-5.0976753,2.6670966,-11.377256,5.406481,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV5-4,0.9590000000000001,0.040999999999999925,3.1523187747042516,4.3801725e-07,1.159945e-06,1e-07,0.5,-4.696949,-5.4338045,3.0738354,-11.822573,5.7988834,0.0024905037,0.0,0.0015923566878980893,0.0,0.023866832,0.0,True,Tumor vs Normal,Tumor,Normal
IGHV1-46,0.9571999999999999,0.04280000000000006,3.1074740302487704,3.9617777e-07,2.2787938e-06,1e-07,0.5,-4.6567235,-5.1623096,2.5097592,-11.071896,4.8279686,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
IGKV1-16,0.9528,0.04720000000000002,3.005010924080578,2.3801967e-06,5.250249e-06,1e-07,0.5,-4.6488175,-5.3617487,2.8894944,-11.455193,7.572549,0.0012383481,0.0,0.0015923566878980893,0.0,0.012809613,0.0,True,Tumor vs Normal,Tumor,Normal
