,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
MTRNR2L8,0.9858,0.01419999999999999,4.240210835583005,7.413771e-05,0.008332785,1e-07,0.5,-10.2052145,-10.228403,4.3645563,-22.404003,7.32742,0.036119796,2.1388462,0.052995391705069096,0.5652173913043477,0.28901455,20.64291,True,Tumor vs Normal,Tumor,Normal
MTRNR2L12,0.9654,0.034599999999999964,3.3286885625038165,0.0012996368,0.009014064,1e-07,0.5,-8.402007,-9.996853,4.3231664,-17.530632,3.1898527,0.4354268,2.5634234,0.18663594470046063,0.9130434782608692,3.4871001,23.316101,True,Tumor vs Normal,Tumor,Normal
AC007952.4,0.965,0.03500000000000003,3.316779764498021,8.740239e-06,0.00011380346,1e-07,0.5,-6.6943,-7.861143,3.7731316,-16.039293,3.5010748,0.013952579,0.17986837,0.02304147465437788,0.13043478260869565,0.115939826,1.6950148,True,Tumor vs Normal,Tumor,Normal
GSTM1,0.957,0.04300000000000004,3.1026030536505993,1.30953385e-05,7.6943514e-05,1e-07,0.5,-5.368818,-6.2384105,3.6333842,-12.587654,5.616128,0.028699232,0.17229056,0.043778801843317956,0.21739130434782608,0.22489682,1.4779485,True,Tumor vs Normal,Tumor,Normal
HLA-DRB5,0.9394,0.06059999999999999,2.740946326146231,5.028829e-06,2.5001043e-05,1e-07,0.5,-5.1352167,-5.4815493,3.8420064,-14.015951,5.8371515,0.0027810237,0.0,0.002304147465437788,0.0,0.026857574,0.0,True,Tumor vs Normal,Tumor,Normal
TNFSF13,0.9434,0.056599999999999984,2.813481219562552,1.8987976e-06,1.47681385e-05,1e-07,0.5,-5.032952,-5.747016,2.9074945,-12.7673025,2.4967499,0.0011045872,0.039775737,0.002304147465437788,0.043478260869565216,0.0085470695,0.3440327,True,Tumor vs Normal,Tumor,Normal
IGKV1-17,0.971,0.029000000000000026,3.5110303037759842,2.7083618e-07,2.8336906e-06,1e-07,0.5,-4.9125957,-5.214217,2.3285017,-10.769669,3.1088295,0.0006931924,0.0,0.002304147465437788,0.0,0.0049714837,0.0,True,Tumor vs Normal,Tumor,Normal
TREX1,0.9684,0.03159999999999996,3.4224877983417037,4.5678186e-07,4.590651e-06,1e-07,0.5,-4.679235,-5.0254087,1.9625711,-9.472765,3.0379047,0.0009029718,0.0,0.002304147465437788,0.0,0.0064197695,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV7-2,0.9408000000000001,0.05919999999999992,2.7658088769647513,1.6743735e-06,6.2102627e-06,1e-07,0.5,-4.2496057,-4.7658434,2.9932334,-11.549068,4.3873806,0.005078344,0.0,0.004608294930875576,0.0,0.038170792,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV12-3,0.9454,0.05459999999999998,2.8515740630356436,2.239341e-07,7.192607e-07,1e-07,0.5,-4.104002,-4.7224607,2.7062867,-10.887119,5.47147,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
