,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
MTRNR2L12,1.0,0.0,18.420680753952368,5.2998535e-06,0.012100673,1e-07,0.5,-11.364323,-11.350452,1.3460109,-16.429394,-7.034684,0.0,3.0002546,0.0,1.0000000000000007,0.0,25.8119,True,Tumor vs Normal,Tumor,Normal
MTRNR2L8,1.0,0.0,18.420680753952368,2.6379473e-06,0.0034347565,1e-07,0.5,-8.124601,-7.4911566,2.597971,-16.554266,-3.4905252,0.0,0.87999797,0.0,0.5000000000000002,0.0,8.070394,True,Tumor vs Normal,Tumor,Normal
HLA-DRB5,0.9998,0.00019999999999997797,8.516943182665639,4.6482216e-07,7.703366e-05,1e-07,0.5,-8.089521,-8.448482,2.416597,-14.697312,0.9290314,0.0,0.062421806,0.0,0.14285714285714285,0.0,0.49921447,True,Tumor vs Normal,Tumor,Normal
AC007952.4,1.0,0.0,18.420680753952368,1.8701112e-07,5.1904863e-05,1e-07,0.5,-8.063536,-8.068035,1.2747799,-12.558904,-3.572483,0.0,0.03130537,0.0,0.07142857142857142,0.0,0.24796647,True,Tumor vs Normal,Tumor,Normal
GSTM1,1.0,0.0,18.420680753952368,3.041486e-07,0.00011852552,1e-07,0.5,-8.035534,-8.465895,1.773312,-11.205315,-2.1761513,0.0,0.32740235,0.0,0.45238095238095255,0.0,2.6802762,True,Tumor vs Normal,Tumor,Normal
OVCA2,1.0,0.0,18.420680753952368,1.2813827e-07,3.3309894e-05,1e-07,0.5,-7.9577928,-7.974417,0.7680851,-10.425832,-5.4626217,0.0,0.0667502,0.0,0.11904761904761904,0.0,0.55212444,True,Tumor vs Normal,Tumor,Normal
ATP6V0C,1.0,0.0,18.420680753952368,1.2721777e-06,0.0003175517,1e-07,0.5,-7.9298797,-7.9575133,0.6702071,-9.800513,-5.539358,0.0,0.40907642,0.0,0.5952380952380956,0.0,3.3066552,True,Tumor vs Normal,Tumor,Normal
PTPRCAP,0.9998,0.00019999999999997797,8.516943182665639,1.3049359e-08,7.1811014e-06,1e-07,0.5,-7.771721,-7.7600174,2.159,-14.53415,-1.979517,0.0,0.040997107,0.0,0.07142857142857142,0.0,0.32000735,True,Tumor vs Normal,Tumor,Normal
MIA2,1.0,0.0,18.420680753952368,1.1492764e-07,2.1125219e-05,1e-07,0.5,-7.508371,-7.533211,0.6256147,-9.461041,-5.105995,0.0,0.006283244,0.0,0.023809523809523808,0.0,0.04513323,True,Tumor vs Normal,Tumor,Normal
TEN1,1.0,0.0,18.420680753952368,1.7705044e-07,2.8860983e-05,1e-07,0.5,-7.297674,-7.3238373,0.633138,-9.199996,-5.2600174,0.0,0.026935369,0.0,0.07142857142857142,0.0,0.20009539,True,Tumor vs Normal,Tumor,Normal
