,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
MTRNR2L12,0.9576,0.04239999999999999,3.1172815665995963,0.0015748389,0.011504198,1e-07,0.5,-7.1194477,-7.7712736,4.448503,-17.626194,4.291407,0.6997525,3.2869952,0.3321858864027528,0.9655172413793099,5.6230083,29.686636,True,Tumor vs Normal,Tumor,Normal
MTRNR2L8,0.9718,0.028200000000000003,3.539827699708052,1.6770176e-05,0.0011082115,1e-07,0.5,-6.777044,-6.86036,3.6054742,-19.548122,3.2358313,0.029814051,0.8382105,0.044750430292598994,0.4827586206896553,0.22758023,7.8250666,True,Tumor vs Normal,Tumor,Normal
HLA-DRB5,0.9506,0.0494,2.9571427480765746,9.8098084e-05,0.0006780265,1e-07,0.5,-5.974279,-5.3748617,4.120922,-16.884956,4.0299177,0.13936098,1.0441674,0.14285714285714296,0.7931034482758619,1.1264406,9.488444,True,Tumor vs Normal,Tumor,Normal
TNFSF13,0.9453999999999999,0.05460000000000009,2.851574063035642,2.4690482e-06,1.7709925e-05,1e-07,0.5,-4.7578254,-4.3093805,3.2308884,-12.634784,2.753665,0.0036258358,0.0,0.0068846815834767644,0.0,0.028513765,0.0,True,Tumor vs Normal,Tumor,Normal
TREX1,0.9775999999999999,0.022400000000000087,3.7760391933569935,1.2256017e-06,1.281092e-05,1e-07,0.5,-4.3023863,-4.311825,1.8692989,-9.600478,1.7361813,0.00336061,0.026509723,0.0068846815834767644,0.034482758620689655,0.023846969,0.2278818,True,Tumor vs Normal,Tumor,Normal
IGKV3-11,0.9480000000000001,0.051999999999999935,2.9031106019144453,1.5818359e-06,1.2382783e-05,1e-07,0.5,-4.029016,-3.8027906,2.8438573,-11.606044,5.7152653,0.00079428934,0.0,0.0017211703958691911,0.0,0.005075322,0.0,True,Tumor vs Normal,Tumor,Normal
IGLV2-23,0.9648,0.03520000000000001,3.310874469642843,1.3710718e-06,1.0731829e-05,1e-07,0.5,-3.7042167,-3.9462461,1.9870449,-8.953823,4.915592,0.0017637822,0.025352214,0.0017211703958691911,0.034482758620689655,0.014940111,0.22151856,True,Tumor vs Normal,Tumor,Normal
IGKV1-17,0.9646,0.03539999999999999,3.305001415376299,1.909916e-07,1.232586e-06,1e-07,0.5,-3.6910262,-3.6313095,1.9690427,-9.291761,2.7531757,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
NAPSA,0.9696,0.030399999999999983,3.4624406882690915,8.3728526e-07,5.997527e-06,1e-07,0.5,-3.4866269,-3.6315556,1.6160469,-9.182465,3.5567455,0.00051402836,0.0,0.0051635111876075735,0.0,0.003325799,0.0,True,Tumor vs Normal,Tumor,Normal
IGLV1-51,0.9458000000000001,0.054199999999999915,2.859350047835408,1.1507409e-06,6.5729314e-06,1e-07,0.5,-3.4219844,-3.4444008,2.0829747,-9.217145,5.6217537,0.0016526859,0.0,0.0034423407917383822,0.0,0.011719545,0.0,True,Tumor vs Normal,Tumor,Normal
HLA-G,0.9494,0.05059999999999998,2.931878442728327,2.8634356e-06,2.1153719e-05,1e-07,0.5,-3.365181,-3.2991757,1.9645456,-9.797767,4.0279903,0.00055565743,0.11894888,0.0017211703958691911,0.13793103448275862,0.0038723256,1.2096263,True,Tumor vs Normal,Tumor,Normal
LINC01013,0.9598,0.040200000000000014,3.172857695461819,4.725923e-06,3.8695758e-05,1e-07,0.5,-3.2133117,-3.108101,1.8790585,-11.438832,3.048687,0.012993438,0.11203305,0.020654044750430298,0.06896551724137931,0.10382393,1.0582571,True,Tumor vs Normal,Tumor,Normal
