Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Cellular Process (GO:0048523),4/537,9.488597818217564e-05,0.0231521786764508,0,0,24.3364602876798,225.4246068049853,BMP4;FABP6;WFS1;TGFBI
GO_Biological_Process_2023,Renal System Development (GO:0072001),2/58,0.00036641752551901487,0.0398289904975447,0,0,88.99107142857143,704.0739609142095,BMP4;WFS1
GO_Biological_Process_2023,Kidney Development (GO:0001822),2/71,0.0005489398561006515,0.0398289904975447,0,0,72.17753623188406,541.8744176501575,BMP4;WFS1
GO_Biological_Process_2023,Negative Regulation Of Programmed Cell Death (GO:0043069),3/381,0.0007450859450717657,0.0398289904975447,0,0,22.235827664399093,160.14267507124117,BMP4;WFS1;DPEP1
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),3/482,0.0014711833201478,0.0398289904975447,0,0,17.45690426483746,113.84848694218353,BMP4;WFS1;DPEP1
GO_Biological_Process_2023,Regulation Of Thymocyte Apoptotic Process (GO:0070243),1/5,0.0024977078641967,0.0398289904975447,0,0,555.1666666666666,3326.7706415121643,BMP4
GO_Biological_Process_2023,Heterocycle Catabolic Process (GO:0046700),1/5,0.0024977078641967,0.0398289904975447,0,0,555.1666666666666,3326.7706415121643,DPEP1
GO_Biological_Process_2023,Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:0002043),1/5,0.0024977078641967,0.0398289904975447,0,0,555.1666666666666,3326.7706415121643,BMP4
GO_Biological_Process_2023,Lymphoid Progenitor Cell Differentiation (GO:0002320),1/6,0.0029965781728721,0.0398289904975447,0,0,444.1111111111111,2580.4117942926405,BMP4
GO_Biological_Process_2023,ER Overload Response (GO:0006983),1/7,0.0034952242970889,0.0398289904975447,0,0,370.0740740740741,2093.271349114512,WFS1
GO_Biological_Process_2023,Glutathione Catabolic Process (GO:0006751),1/7,0.0034952242970889,0.0398289904975447,0,0,370.0740740740741,2093.271349114512,DPEP1
GO_Biological_Process_2023,Cellular Response To Nitric Oxide (GO:0071732),1/7,0.0034952242970889,0.0398289904975447,0,0,370.0740740740741,2093.271349114512,DPEP1
GO_Biological_Process_2023,Cellular Response To Reactive Nitrogen Species (GO:1902170),1/7,0.0034952242970889,0.0398289904975447,0,0,370.0740740740741,2093.271349114512,DPEP1
GO_Biological_Process_2023,Coronary Vasculature Development (GO:0060976),1/7,0.0034952242970889,0.0398289904975447,0,0,370.0740740740741,2093.271349114512,BMP4
GO_Biological_Process_2023,Negative Regulation Of Mitotic Nuclear Division (GO:0045839),1/8,0.0039936462613403,0.0398289904975447,0,0,317.1904761904762,1751.8590547314027,BMP4
GO_Biological_Process_2023,Regulation Of Programmed Cell Death (GO:0043067),2/195,0.0040423952047053,0.0398289904975447,0,0,25.64378238341969,141.32077911012436,BMP4;WFS1
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),3/705,0.0043470216945372,0.0398289904975447,0,0,11.775335775335776,64.03738859492046,BMP4;WFS1;DPEP1
GO_Biological_Process_2023,Mesenchymal To Epithelial Transition (GO:0060231),1/9,0.0044918441075108,0.0398289904975447,0,0,277.52777777777777,1500.1741678966396,BMP4
GO_Biological_Process_2023,Homocysteine Metabolic Process (GO:0050667),1/9,0.0044918441075108,0.0398289904975447,0,0,277.52777777777777,1500.1741678966396,DPEP1
GO_Biological_Process_2023,Endothelial Tube Morphogenesis (GO:0061154),1/9,0.0044918441075108,0.0398289904975447,0,0,277.52777777777777,1500.1741678966396,BMP4
GO_Biological_Process_2023,Lung Epithelium Development (GO:0060428),1/9,0.0044918441075108,0.0398289904975447,0,0,277.52777777777777,1500.1741678966396,BMP4
GO_Biological_Process_2023,Steroid Hormone Mediated Signaling Pathway (GO:0043401),1/10,0.0049898178893478,0.0398289904975447,0,0,246.679012345679,1307.4865498601448,BMP4
GO_Biological_Process_2023,Negative Regulation Of Nuclear Division (GO:0051784),1/10,0.0049898178893478,0.0398289904975447,0,0,246.679012345679,1307.4865498601448,BMP4
GO_Biological_Process_2023,Response To Nitric Oxide (GO:0071731),1/11,0.0054875676690229,0.0398289904975447,0,0,222.0,1155.5699775561973,DPEP1
GO_Biological_Process_2023,Smooth Muscle Cell Differentiation (GO:0051145),1/11,0.0054875676690229,0.0398289904975447,0,0,222.0,1155.5699775561973,BMP4
GO_Biological_Process_2023,Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904752),1/12,0.0059850935124877,0.0398289904975447,0,0,201.8080808080808,1032.9512945731403,BMP4
GO_Biological_Process_2023,Regulation Of T Cell Differentiation In Thymus (GO:0033081),1/12,0.0059850935124877,0.0398289904975447,0,0,201.8080808080808,1032.9512945731403,BMP4
GO_Biological_Process_2023,Atrial Cardiac Muscle Tissue Development (GO:0003228),1/12,0.0059850935124877,0.0398289904975447,0,0,201.8080808080808,1032.9512945731403,BMP4
GO_Biological_Process_2023,Negative Regulation Of Endoplasmic Reticulum Unfolded Protein Response (GO:1900102),1/13,0.006482395492037,0.0398289904975447,0,0,184.9814814814815,932.059746399125,WFS1
GO_Biological_Process_2023,Regulation Of Response To Endoplasmic Reticulum Stress (GO:1905897),1/13,0.006482395492037,0.0398289904975447,0,0,184.9814814814815,932.059746399125,WFS1
GO_Biological_Process_2023,Negative Regulation Of Myoblast Differentiation (GO:0045662),1/13,0.006482395492037,0.0398289904975447,0,0,184.9814814814815,932.059746399125,BMP4
GO_Biological_Process_2023,Renal Water Homeostasis (GO:0003091),1/14,0.0069794736802133,0.0398289904975447,0,0,170.74358974358975,847.7046615380154,WFS1
GO_Biological_Process_2023,Negative Regulation Of Smooth Muscle Cell Migration (GO:0014912),1/14,0.0069794736802133,0.0398289904975447,0,0,170.74358974358975,847.7046615380154,BMP4
GO_Biological_Process_2023,Regulation Of Branching Involved In Ureteric Bud Morphogenesis (GO:0090189),1/14,0.0069794736802133,0.0398289904975447,0,0,170.74358974358975,847.7046615380154,BMP4
GO_Biological_Process_2023,Positive Regulation Of Collagen Biosynthetic Process (GO:0032967),1/15,0.0074763281564485,0.0398289904975447,0,0,158.53968253968253,776.212425317664,BMP4
GO_Biological_Process_2023,Cell Surface Receptor Signaling Pathway Involved In Heart Development (GO:0061311),1/16,0.0079729589968486,0.0398289904975447,0,0,147.96296296296296,714.9125872208035,BMP4
GO_Biological_Process_2023,Positive Regulation Of Collagen Metabolic Process (GO:0010714),1/16,0.0079729589968486,0.0398289904975447,0,0,147.96296296296296,714.9125872208035,BMP4
GO_Biological_Process_2023,Regulation Of Nucleocytoplasmic Transport (GO:0046822),1/16,0.0079729589968486,0.0398289904975447,0,0,147.96296296296296,714.9125872208035,BMP4
GO_Biological_Process_2023,Sulfur Amino Acid Metabolic Process (GO:0000096),1/17,0.0084693662805775,0.0398289904975447,0,0,138.70833333333334,661.8190142974174,DPEP1
GO_Biological_Process_2023,Mesenchyme Development (GO:0060485),1/17,0.0084693662805775,0.0398289904975447,0,0,138.70833333333334,661.8190142974174,BMP4
GO_Biological_Process_2023,Positive Regulation Of SMAD Protein Signal Transduction (GO:0060391),1/17,0.0084693662805775,0.0398289904975447,0,0,138.70833333333334,661.8190142974174,BMP4
GO_Biological_Process_2023,Muscle Tissue Morphogenesis (GO:0060415),1/17,0.0084693662805775,0.0398289904975447,0,0,138.70833333333334,661.8190142974174,BMP4
GO_Biological_Process_2023,Positive Regulation Of Cartilage Development (GO:0061036),1/17,0.0084693662805775,0.0398289904975447,0,0,138.70833333333334,661.8190142974174,BMP4
GO_Biological_Process_2023,Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706),1/17,0.0084693662805775,0.0398289904975447,0,0,138.70833333333334,661.8190142974174,BMP4
