Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Negative Regulation Of Cellular Process (GO:0048523)	4/537	9.488598e-05	2.315218e-02	0	0	2.433646e+01	2.254246e+02	BMP4;FABP6;WFS1;TGFBI
GO_Biological_Process_2023	Renal System Development (GO:0072001)	2/58	3.664175e-04	3.982899e-02	0	0	8.899107e+01	7.040740e+02	BMP4;WFS1
GO_Biological_Process_2023	Kidney Development (GO:0001822)	2/71	5.489399e-04	3.982899e-02	0	0	7.217754e+01	5.418744e+02	BMP4;WFS1
GO_Biological_Process_2023	Negative Regulation Of Programmed Cell Death (GO:0043069)	3/381	7.450859e-04	3.982899e-02	0	0	2.223583e+01	1.601427e+02	BMP4;WFS1;DPEP1
GO_Biological_Process_2023	Negative Regulation Of Apoptotic Process (GO:0043066)	3/482	1.471183e-03	3.982899e-02	0	0	1.745690e+01	1.138485e+02	BMP4;WFS1;DPEP1
GO_Biological_Process_2023	Regulation Of Thymocyte Apoptotic Process (GO:0070243)	1/5	2.497708e-03	3.982899e-02	0	0	5.551667e+02	3.326771e+03	BMP4
GO_Biological_Process_2023	Heterocycle Catabolic Process (GO:0046700)	1/5	2.497708e-03	3.982899e-02	0	0	5.551667e+02	3.326771e+03	DPEP1
GO_Biological_Process_2023	Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:0002043)	1/5	2.497708e-03	3.982899e-02	0	0	5.551667e+02	3.326771e+03	BMP4
GO_Biological_Process_2023	Lymphoid Progenitor Cell Differentiation (GO:0002320)	1/6	2.996578e-03	3.982899e-02	0	0	4.441111e+02	2.580412e+03	BMP4
GO_Biological_Process_2023	ER Overload Response (GO:0006983)	1/7	3.495224e-03	3.982899e-02	0	0	3.700741e+02	2.093271e+03	WFS1
GO_Biological_Process_2023	Glutathione Catabolic Process (GO:0006751)	1/7	3.495224e-03	3.982899e-02	0	0	3.700741e+02	2.093271e+03	DPEP1
GO_Biological_Process_2023	Cellular Response To Nitric Oxide (GO:0071732)	1/7	3.495224e-03	3.982899e-02	0	0	3.700741e+02	2.093271e+03	DPEP1
GO_Biological_Process_2023	Cellular Response To Reactive Nitrogen Species (GO:1902170)	1/7	3.495224e-03	3.982899e-02	0	0	3.700741e+02	2.093271e+03	DPEP1
GO_Biological_Process_2023	Coronary Vasculature Development (GO:0060976)	1/7	3.495224e-03	3.982899e-02	0	0	3.700741e+02	2.093271e+03	BMP4
GO_Biological_Process_2023	Negative Regulation Of Mitotic Nuclear Division (GO:0045839)	1/8	3.993646e-03	3.982899e-02	0	0	3.171905e+02	1.751859e+03	BMP4
GO_Biological_Process_2023	Regulation Of Programmed Cell Death (GO:0043067)	2/195	4.042395e-03	3.982899e-02	0	0	2.564378e+01	1.413208e+02	BMP4;WFS1
GO_Biological_Process_2023	Regulation Of Apoptotic Process (GO:0042981)	3/705	4.347022e-03	3.982899e-02	0	0	1.177534e+01	6.403739e+01	BMP4;WFS1;DPEP1
GO_Biological_Process_2023	Mesenchymal To Epithelial Transition (GO:0060231)	1/9	4.491844e-03	3.982899e-02	0	0	2.775278e+02	1.500174e+03	BMP4
GO_Biological_Process_2023	Homocysteine Metabolic Process (GO:0050667)	1/9	4.491844e-03	3.982899e-02	0	0	2.775278e+02	1.500174e+03	DPEP1
GO_Biological_Process_2023	Endothelial Tube Morphogenesis (GO:0061154)	1/9	4.491844e-03	3.982899e-02	0	0	2.775278e+02	1.500174e+03	BMP4
GO_Biological_Process_2023	Lung Epithelium Development (GO:0060428)	1/9	4.491844e-03	3.982899e-02	0	0	2.775278e+02	1.500174e+03	BMP4
GO_Biological_Process_2023	Steroid Hormone Mediated Signaling Pathway (GO:0043401)	1/10	4.989818e-03	3.982899e-02	0	0	2.466790e+02	1.307487e+03	BMP4
GO_Biological_Process_2023	Negative Regulation Of Nuclear Division (GO:0051784)	1/10	4.989818e-03	3.982899e-02	0	0	2.466790e+02	1.307487e+03	BMP4
GO_Biological_Process_2023	Response To Nitric Oxide (GO:0071731)	1/11	5.487568e-03	3.982899e-02	0	0	2.220000e+02	1.155570e+03	DPEP1
GO_Biological_Process_2023	Smooth Muscle Cell Differentiation (GO:0051145)	1/11	5.487568e-03	3.982899e-02	0	0	2.220000e+02	1.155570e+03	BMP4
GO_Biological_Process_2023	Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904752)	1/12	5.985094e-03	3.982899e-02	0	0	2.018081e+02	1.032951e+03	BMP4
GO_Biological_Process_2023	Regulation Of T Cell Differentiation In Thymus (GO:0033081)	1/12	5.985094e-03	3.982899e-02	0	0	2.018081e+02	1.032951e+03	BMP4
GO_Biological_Process_2023	Atrial Cardiac Muscle Tissue Development (GO:0003228)	1/12	5.985094e-03	3.982899e-02	0	0	2.018081e+02	1.032951e+03	BMP4
GO_Biological_Process_2023	Negative Regulation Of Endoplasmic Reticulum Unfolded Protein Response (GO:1900102)	1/13	6.482395e-03	3.982899e-02	0	0	1.849815e+02	9.320597e+02	WFS1
