Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,B Cell Receptor Signaling Pathway (GO:0050853),3/46,9.06881635847199e-06,0.0030199158473711,0,0,92.73953488372094,1076.768024485912,IGHG3;IGHG1;IGKC
GO_Biological_Process_2023,Induction Of Positive Chemotaxis (GO:0050930),2/10,3.427837406961788e-05,0.0057073492825913,0,0,312.09375,3208.634562990342,CXCL8;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Positive Chemotaxis (GO:0050927),2/16,9.11177629974979e-05,0.0075855537695416,0,0,178.28571428571428,1658.6557887027404,CXCL8;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090050),2/16,9.11177629974979e-05,0.0075855537695416,0,0,178.28571428571428,1658.6557887027404,PTGS2;VEGFA
GO_Biological_Process_2023,Cellular Response To Molecule Of Bacterial Origin (GO:0071219),3/117,0.0001493227455225869,0.0094366168894499,0,0,34.85614035087719,307.0617008363335,CD274;CXCL8;CXCL1
GO_Biological_Process_2023,Cellular Response To Lipopolysaccharide (GO:0071222),3/124,0.0001773210713222144,0.0094366168894499,0,0,32.82809917355372,283.55429898319056,CD274;CXCL8;CXCL1
GO_Biological_Process_2023,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),3/134,0.0002229257989737177,0.0094366168894499,0,0,30.306870229007632,254.8405184310656,IGHG3;IGHG1;IGKC
GO_Biological_Process_2023,Regulation Of Neutrophil Chemotaxis (GO:0090022),2/25,0.0002267055108576553,0.0094366168894499,0,0,108.47282608695652,910.288628412586,CXCL8;TNFAIP6
GO_Biological_Process_2023,Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049),2/30,0.00032784881716921787,0.012130406235261,0,0,89.08035714285714,714.6879621205851,PTGS2;VEGFA
GO_Biological_Process_2023,Response To Lipopolysaccharide (GO:0032496),3/159,0.00036853096049400535,0.0122720809844503,0,0,25.41794871794872,200.9539424487399,CD274;CXCL8;CXCL1
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),5/766,0.0004596715202728056,0.0139155105682585,0,0,9.714444556757304,74.65549097199131,CXCL8;JUND;TNFRSF9;CXCL1;VEGFA
GO_Biological_Process_2023,Retina Homeostasis (GO:0001895),2/39,0.0005558029199639917,0.0149784473758774,0,0,67.38175675675676,505.03278857308806,IGHG3;IGKC
GO_Biological_Process_2023,Negative Regulation Of Cell-Cell Adhesion (GO:0022408),2/40,0.0005847441918510701,0.0149784473758774,0,0,65.60526315789474,488.3876279088855,IL1RN;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536),2/46,0.0007734351437291583,0.0183967073472721,0,0,56.64204545454545,405.82149239611823,PTGS2;VEGFA
GO_Biological_Process_2023,Cellular Response To Lipid (GO:0071396),3/228,0.0010512932800764,0.0232256486746492,0,0,17.561777777777777,120.43400368285464,CD274;CXCL8;CXCL1
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),3/236,0.0011611676472575,0.0232256486746492,0,0,16.951931330472103,114.56673229819124,CXCL8;TNFAIP6;CXCL1
GO_Biological_Process_2023,Chemokine-Mediated Signaling Pathway (GO:0070098),2/57,0.0011856937761832,0.0232256486746492,0,0,45.28863636363637,305.12889096639515,CXCL8;CXCL1
GO_Biological_Process_2023,Cellular Response To Chemokine (GO:1990869),2/59,0.0012697762309429,0.0234908602724442,0,0,43.69517543859649,291.39939300135444,CXCL8;CXCL1
GO_Biological_Process_2023,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),2/65,0.0015386974380497,0.0269676972037131,0,0,39.5218253968254,255.97571122223425,CXCL8;CXCL1
GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),2/70,0.0017817677909702,0.028027362991035,0,0,36.606617647058826,231.7253538483752,CXCL8;CXCL1
GO_Biological_Process_2023,Cellular Response To Hypoxia (GO:0071456),2/72,0.0018837899979258,0.028027362991035,0,0,35.55714285714286,223.10221103497707,PTGS2;VEGFA
GO_Biological_Process_2023,Cellular Response To Decreased Oxygen Levels (GO:0036294),2/73,0.0019358238702516,0.028027362991035,0,0,35.054577464788736,218.9937370166489,PTGS2;VEGFA
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),2/73,0.0019358238702516,0.028027362991035,0,0,35.054577464788736,218.9937370166489,CXCL8;CXCL1
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),2/77,0.0021507514812381,0.029841676802179,0,0,33.178333333333335,203.7792653395557,CXCL8;CXCL1
GO_Biological_Process_2023,Antimicrobial Humoral Response (GO:0019730),2/100,0.003594237117374,0.0391013131888605,0,0,25.362244897959183,142.7494556250508,CXCL8;CXCL1
GO_Biological_Process_2023,Positive Regulation Of Vasculature Development (GO:1904018),2/104,0.0038807726279611,0.0391013131888605,0,0,24.362745098039216,135.25516392567505,CXCL8;VEGFA
GO_Biological_Process_2023,Regulation Of Retinal Ganglion Cell Axon Guidance (GO:0090259),1/5,0.0044922927083929,0.0391013131888605,0,0,293.79411764705884,1588.072397289777,VEGFA
GO_Biological_Process_2023,Regulation Of Histone Deacetylase Activity (GO:1901725),1/5,0.0044922927083929,0.0391013131888605,0,0,293.79411764705884,1588.072397289777,VEGFA
GO_Biological_Process_2023,Vascular Endothelial Growth Factor Receptor-2 Signaling Pathway (GO:0036324),1/5,0.0044922927083929,0.0391013131888605,0,0,293.79411764705884,1588.072397289777,VEGFA
GO_Biological_Process_2023,Venous Blood Vessel Morphogenesis (GO:0048845),1/5,0.0044922927083929,0.0391013131888605,0,0,293.79411764705884,1588.072397289777,VEGFA
GO_Biological_Process_2023,Regulation Of Interleukin-1-Mediated Signaling Pathway (GO:2000659),1/5,0.0044922927083929,0.0391013131888605,0,0,293.79411764705884,1588.072397289777,IL1RN
GO_Biological_Process_2023,Regulation Of Mast Cell Chemotaxis (GO:0060753),1/5,0.0044922927083929,0.0391013131888605,0,0,293.79411764705884,1588.072397289777,VEGFA
GO_Biological_Process_2023,Regulation Of Nitric Oxide Mediated Signal Transduction (GO:0010749),1/5,0.0044922927083929,0.0391013131888605,0,0,293.79411764705884,1588.072397289777,VEGFA
GO_Biological_Process_2023,Positive Regulation Of Fever Generation (GO:0031622),1/5,0.0044922927083929,0.0391013131888605,0,0,293.79411764705884,1588.072397289777,PTGS2
GO_Biological_Process_2023,Positive Regulation Of Angiogenesis (GO:0045766),2/119,0.005046763352945,0.0391013131888605,0,0,21.2232905982906,112.25015718571794,CXCL8;VEGFA
GO_Biological_Process_2023,Regulation Of Prostaglandin Biosynthetic Process (GO:0031392),1/6,0.0053884659389882,0.0391013131888605,0,0,235.0235294117647,1227.644124299904,PTGS2
GO_Biological_Process_2023,Regulation Of Entry Of Bacterium Into Host Cell (GO:2000535),1/6,0.0053884659389882,0.0391013131888605,0,0,235.0235294117647,1227.644124299904,CXCL8
GO_Biological_Process_2023,Vascular Associated Smooth Muscle Cell Development (GO:0097084),1/6,0.0053884659389882,0.0391013131888605,0,0,235.0235294117647,1227.644124299904,VEGFA
GO_Biological_Process_2023,Vascular Wound Healing (GO:0061042),1/6,0.0053884659389882,0.0391013131888605,0,0,235.0235294117647,1227.644124299904,VEGFA
GO_Biological_Process_2023,Regulation Of Axon Guidance (GO:1902667),1/6,0.0053884659389882,0.0391013131888605,0,0,235.0235294117647,1227.644124299904,VEGFA
GO_Biological_Process_2023,Regulation Of Blood-Brain Barrier Permeability (GO:1905603),1/6,0.0053884659389882,0.0391013131888605,0,0,235.0235294117647,1227.644124299904,VEGFA
GO_Biological_Process_2023,Positive Regulation Of Trophoblast Cell Migration (GO:1901165),1/6,0.0053884659389882,0.0391013131888605,0,0,235.0235294117647,1227.644124299904,VEGFA
GO_Biological_Process_2023,Positive Regulation Of Deacetylase Activity (GO:0090045),1/6,0.0053884659389882,0.0391013131888605,0,0,235.0235294117647,1227.644124299904,VEGFA
GO_Biological_Process_2023,Positive Regulation Of Unsaturated Fatty Acid Biosynthetic Process (GO:2001280),1/6,0.0053884659389882,0.0391013131888605,0,0,235.0235294117647,1227.644124299904,PTGS2
GO_Biological_Process_2023,Regulation Of Cell Adhesion Molecule Production (GO:0060353),1/6,0.0053884659389882,0.0391013131888605,0,0,235.0235294117647,1227.644124299904,CXCL8
GO_Biological_Process_2023,Cellular Response To Oxygen-Containing Compound (GO:1901701),3/406,0.0054013826026654,0.0391013131888605,0,0,9.716625310173695,50.73147552261577,CD274;CXCL8;CXCL1
GO_Biological_Process_2023,Regulation Of Transcription From RNA Polymerase II Promoter In Response To Hypoxia (GO:0061418),1/7,0.0062838777740325,0.0398408343982766,0,0,195.843137254902,992.8792720611536,VEGFA
GO_Biological_Process_2023,Regulation Of Lymphocyte Apoptotic Process (GO:0070228),1/7,0.0062838777740325,0.0398408343982766,0,0,195.843137254902,992.8792720611536,CD274
GO_Biological_Process_2023,Coronary Vasculature Morphogenesis (GO:0060977),1/7,0.0062838777740325,0.0398408343982766,0,0,195.843137254902,992.8792720611536,VEGFA
GO_Biological_Process_2023,Positive Regulation Of Cell Migration By Vascular Endothelial Growth Factor Signaling Pathway (GO:0038089),1/7,0.0062838777740325,0.0398408343982766,0,0,195.843137254902,992.8792720611536,VEGFA
GO_Biological_Process_2023,Positive Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900748),1/7,0.0062838777740325,0.0398408343982766,0,0,195.843137254902,992.8792720611536,VEGFA
GO_Biological_Process_2023,Regulation Of Positive Chemotaxis (GO:0050926),1/7,0.0062838777740325,0.0398408343982766,0,0,195.843137254902,992.8792720611536,VEGFA
GO_Biological_Process_2023,Nervous System Development (GO:0007399),3/433,0.0064564171151397,0.0398408343982766,0,0,9.093953488372094,45.85790411708202,MARCKS;CXCL1;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Protein Kinase C Signaling (GO:0090037),1/8,0.0071785287204102,0.0398408343982766,0,0,167.85714285714286,828.6537822644398,VEGFA
GO_Biological_Process_2023,Commissural Neuron Axon Guidance (GO:0071679),1/8,0.0071785287204102,0.0398408343982766,0,0,167.85714285714286,828.6537822644398,VEGFA
GO_Biological_Process_2023,Regulation Of RNA Biosynthetic Process (GO:2001141),1/8,0.0071785287204102,0.0398408343982766,0,0,167.85714285714286,828.6537822644398,CXCL8
GO_Biological_Process_2023,Cyclooxygenase Pathway (GO:0019371),1/8,0.0071785287204102,0.0398408343982766,0,0,167.85714285714286,828.6537822644398,PTGS2
GO_Biological_Process_2023,Positive Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903589),1/8,0.0071785287204102,0.0398408343982766,0,0,167.85714285714286,828.6537822644398,VEGFA
GO_Biological_Process_2023,Lactation (GO:0007595),1/8,0.0071785287204102,0.0398408343982766,0,0,167.85714285714286,828.6537822644398,VEGFA
GO_Biological_Process_2023,Endothelial Cell Chemotaxis (GO:0035767),1/8,0.0071785287204102,0.0398408343982766,0,0,167.85714285714286,828.6537822644398,VEGFA
GO_Biological_Process_2023,Regulation Of Cell Adhesion (GO:0030155),2/144,0.0073031991717748,0.0398682840032954,0,0,17.464788732394368,85.91702890574375,CXCL8;VEGFA
GO_Biological_Process_2023,Camera-Type Eye Morphogenesis (GO:0048593),1/9,0.0080724193100501,0.0407290247007075,0,0,146.86764705882354,707.7995527019895,VEGFA
GO_Biological_Process_2023,Negative Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034115),1/9,0.0080724193100501,0.0407290247007075,0,0,146.86764705882354,707.7995527019895,IL1RN
GO_Biological_Process_2023,Positive Regulation Of T Cell Apoptotic Process (GO:0070234),1/9,0.0080724193100501,0.0407290247007075,0,0,146.86764705882354,707.7995527019895,CD274
GO_Biological_Process_2023,Negative Regulation Of Cell-Cell Adhesion Mediated By Cadherin (GO:2000048),1/9,0.0080724193100501,0.0407290247007075,0,0,146.86764705882354,707.7995527019895,VEGFA
GO_Biological_Process_2023,Regulation Of Cell-Cell Adhesion Involved In Gastrulation (GO:0070587),1/9,0.0080724193100501,0.0407290247007075,0,0,146.86764705882354,707.7995527019895,IL1RN
GO_Biological_Process_2023,Cellular Response To Growth Factor Stimulus (GO:0071363),2/155,0.0084164685042253,0.0408976463162283,0,0,16.200163398692812,77.39733293925609,CXCL8;VEGFA
GO_Biological_Process_2023,Surfactant Homeostasis (GO:0043129),1/10,0.0089655500933473,0.0408976463162283,0,0,130.54248366013073,615.425022203049,VEGFA
GO_Biological_Process_2023,Monocyte Differentiation (GO:0030224),1/10,0.0089655500933473,0.0408976463162283,0,0,130.54248366013073,615.425022203049,VEGFA
GO_Biological_Process_2023,Response To Corticosteroid (GO:0031960),1/10,0.0089655500933473,0.0408976463162283,0,0,130.54248366013073,615.425022203049,IL1RN
GO_Biological_Process_2023,Angiogenesis Involved In Wound Healing (GO:0060055),1/10,0.0089655500933473,0.0408976463162283,0,0,130.54248366013073,615.425022203049,VEGFA
GO_Biological_Process_2023,Negative Regulation Of Activated T Cell Proliferation (GO:0046007),1/10,0.0089655500933473,0.0408976463162283,0,0,130.54248366013073,615.425022203049,CD274
GO_Biological_Process_2023,Positive Regulation Of Transforming Growth Factor Beta Production (GO:0071636),1/10,0.0089655500933473,0.0408976463162283,0,0,130.54248366013073,615.425022203049,PTGS2
GO_Biological_Process_2023,"Negative Regulation Of CD4-positive, Alpha-Beta T Cell Activation (GO:2000515)",1/11,0.0098579216348164,0.0420857423640242,0,0,117.48235294117649,542.7073703814344,CD274
GO_Biological_Process_2023,Regulation Of T Cell Apoptotic Process (GO:0070232),1/11,0.0098579216348164,0.0420857423640242,0,0,117.48235294117649,542.7073703814344,CD274
GO_Biological_Process_2023,Positive Regulation Of Branching Involved In Ureteric Bud Morphogenesis (GO:0090190),1/11,0.0098579216348164,0.0420857423640242,0,0,117.48235294117649,542.7073703814344,VEGFA
GO_Biological_Process_2023,Negative Regulation Of Vascular Permeability (GO:0043116),1/11,0.0098579216348164,0.0420857423640242,0,0,117.48235294117649,542.7073703814344,VEGFA
GO_Biological_Process_2023,Positive Regulation Of Vascular Permeability (GO:0043117),1/11,0.0098579216348164,0.0420857423640242,0,0,117.48235294117649,542.7073703814344,VEGFA
GO_Biological_Process_2023,Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),2/174,0.0105073343352426,0.0425780818727195,0,0,14.396802325581396,65.58724972161193,CXCL8;PTGS2
GO_Biological_Process_2023,Eye Photoreceptor Cell Differentiation (GO:0001754),1/12,0.0107495345067081,0.0425780818727195,0,0,106.79679144385028,484.0984098875249,VEGFA
GO_Biological_Process_2023,Granulocyte Activation (GO:0036230),1/12,0.0107495345067081,0.0425780818727195,0,0,106.79679144385028,484.0984098875249,CXCL8
GO_Biological_Process_2023,Positive Regulation Of Histone Deacetylation (GO:0031065),1/13,0.011640389286531,0.0425780818727195,0,0,97.8921568627451,435.94063546940737,VEGFA
GO_Biological_Process_2023,Eye Photoreceptor Cell Development (GO:0042462),1/13,0.011640389286531,0.0425780818727195,0,0,97.8921568627451,435.94063546940737,VEGFA
GO_Biological_Process_2023,Regulation Of Trophoblast Cell Migration (GO:1901163),1/13,0.011640389286531,0.0425780818727195,0,0,97.8921568627451,435.94063546940737,VEGFA
GO_Biological_Process_2023,Regulation Of Leukocyte Migration (GO:0002685),1/13,0.011640389286531,0.0425780818727195,0,0,97.8921568627451,435.94063546940737,VEGFA
GO_Biological_Process_2023,Positive Regulation Of Brown Fat Cell Differentiation (GO:0090336),1/13,0.011640389286531,0.0425780818727195,0,0,97.8921568627451,435.94063546940737,PTGS2
GO_Biological_Process_2023,Body Fluid Secretion (GO:0007589),1/13,0.011640389286531,0.0425780818727195,0,0,97.8921568627451,435.94063546940737,VEGFA
GO_Biological_Process_2023,Branching Involved In Blood Vessel Morphogenesis (GO:0001569),1/13,0.011640389286531,0.0425780818727195,0,0,97.8921568627451,435.94063546940737,VEGFA
GO_Biological_Process_2023,Negative Regulation Of Macromolecule Metabolic Process (GO:0010605),2/186,0.0119348433476956,0.0425780818727195,0,0,13.449728260869565,59.55933945612225,CXCL8;VEGFA
GO_Biological_Process_2023,Prostanoid Biosynthetic Process (GO:0046457),1/14,0.0125304865571366,0.0425780818727195,0,0,90.3574660633484,395.7287161899813,PTGS2
GO_Biological_Process_2023,Cardiac Cell Development (GO:0055006),1/14,0.0125304865571366,0.0425780818727195,0,0,90.3574660633484,395.7287161899813,VEGFA
GO_Biological_Process_2023,Photoreceptor Cell Development (GO:0042461),1/14,0.0125304865571366,0.0425780818727195,0,0,90.3574660633484,395.7287161899813,VEGFA
