Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	B Cell Receptor Signaling Pathway (GO:0050853)	3/46	9.068816e-06	3.019916e-03	0	0	9.273953e+01	1.076768e+03	IGHG3;IGHG1;IGKC
GO_Biological_Process_2023	Induction Of Positive Chemotaxis (GO:0050930)	2/10	3.427837e-05	5.707349e-03	0	0	3.120938e+02	3.208635e+03	CXCL8;VEGFA
GO_Biological_Process_2023	Positive Regulation Of Positive Chemotaxis (GO:0050927)	2/16	9.111776e-05	7.585554e-03	0	0	1.782857e+02	1.658656e+03	CXCL8;VEGFA
GO_Biological_Process_2023	Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090050)	2/16	9.111776e-05	7.585554e-03	0	0	1.782857e+02	1.658656e+03	PTGS2;VEGFA
GO_Biological_Process_2023	Cellular Response To Molecule Of Bacterial Origin (GO:0071219)	3/117	1.493227e-04	9.436617e-03	0	0	3.485614e+01	3.070617e+02	CD274;CXCL8;CXCL1
GO_Biological_Process_2023	Cellular Response To Lipopolysaccharide (GO:0071222)	3/124	1.773211e-04	9.436617e-03	0	0	3.282810e+01	2.835543e+02	CD274;CXCL8;CXCL1
GO_Biological_Process_2023	Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	3/134	2.229258e-04	9.436617e-03	0	0	3.030687e+01	2.548405e+02	IGHG3;IGHG1;IGKC
GO_Biological_Process_2023	Regulation Of Neutrophil Chemotaxis (GO:0090022)	2/25	2.267055e-04	9.436617e-03	0	0	1.084728e+02	9.102886e+02	CXCL8;TNFAIP6
GO_Biological_Process_2023	Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049)	2/30	3.278488e-04	1.213041e-02	0	0	8.908036e+01	7.146880e+02	PTGS2;VEGFA
GO_Biological_Process_2023	Response To Lipopolysaccharide (GO:0032496)	3/159	3.685310e-04	1.227208e-02	0	0	2.541795e+01	2.009539e+02	CD274;CXCL8;CXCL1
GO_Biological_Process_2023	Regulation Of Cell Population Proliferation (GO:0042127)	5/766	4.596715e-04	1.391551e-02	0	0	9.714445e+00	7.465549e+01	CXCL8;JUND;TNFRSF9;CXCL1;VEGFA
GO_Biological_Process_2023	Retina Homeostasis (GO:0001895)	2/39	5.558029e-04	1.497845e-02	0	0	6.738176e+01	5.050328e+02	IGHG3;IGKC
GO_Biological_Process_2023	Negative Regulation Of Cell-Cell Adhesion (GO:0022408)	2/40	5.847442e-04	1.497845e-02	0	0	6.560526e+01	4.883876e+02	IL1RN;VEGFA
GO_Biological_Process_2023	Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536)	2/46	7.734351e-04	1.839671e-02	0	0	5.664205e+01	4.058215e+02	PTGS2;VEGFA
GO_Biological_Process_2023	Cellular Response To Lipid (GO:0071396)	3/228	1.051293e-03	2.322565e-02	0	0	1.756178e+01	1.204340e+02	CD274;CXCL8;CXCL1
GO_Biological_Process_2023	Inflammatory Response (GO:0006954)	3/236	1.161168e-03	2.322565e-02	0	0	1.695193e+01	1.145667e+02	CXCL8;TNFAIP6;CXCL1
GO_Biological_Process_2023	Chemokine-Mediated Signaling Pathway (GO:0070098)	2/57	1.185694e-03	2.322565e-02	0	0	4.528864e+01	3.051289e+02	CXCL8;CXCL1
GO_Biological_Process_2023	Cellular Response To Chemokine (GO:1990869)	2/59	1.269776e-03	2.349086e-02	0	0	4.369518e+01	2.913994e+02	CXCL8;CXCL1
GO_Biological_Process_2023	Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)	2/65	1.538697e-03	2.696770e-02	0	0	3.952183e+01	2.559757e+02	CXCL8;CXCL1
GO_Biological_Process_2023	Neutrophil Chemotaxis (GO:0030593)	2/70	1.781768e-03	2.802736e-02	0	0	3.660662e+01	2.317254e+02	CXCL8;CXCL1
GO_Biological_Process_2023	Cellular Response To Hypoxia (GO:0071456)	2/72	1.883790e-03	2.802736e-02	0	0	3.555714e+01	2.231022e+02	PTGS2;VEGFA
