Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	IL-17 signaling pathway	4/94	1.331119e-06	9.584053e-05	0	0	6.314921e+01	8.543766e+02	CXCL8;JUND;CXCL1;PTGS2
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	4/193	2.313594e-05	8.328939e-04	0	0	2.992139e+01	3.193846e+02	CXCL8;CXCL1;PTGS2;VEGFA
KEGG_2021_Human	Rheumatoid arthritis	3/93	7.550238e-05	1.735825e-03	0	0	4.420444e+01	4.195597e+02	CXCL8;CXCL1;VEGFA
KEGG_2021_Human	NF-kappa B signaling pathway	3/104	1.053008e-04	1.735825e-03	0	0	3.936832e+01	3.605622e+02	CXCL8;CXCL1;PTGS2
KEGG_2021_Human	Cytokine-cytokine receptor interaction	4/295	1.205434e-04	1.735825e-03	0	0	1.933333e+01	1.744543e+02	IL1RN;CXCL8;TNFRSF9;CXCL1
KEGG_2021_Human	Bladder cancer	2/41	6.144038e-04	7.372845e-03	0	0	6.391987e+01	4.726784e+02	CXCL8;VEGFA
KEGG_2021_Human	Human cytomegalovirus infection	3/225	1.011867e-03	1.015821e-02	0	0	1.780180e+01	1.227605e+02	CXCL8;PTGS2;VEGFA
KEGG_2021_Human	Legionellosis	2/57	1.185694e-03	1.015821e-02	0	0	4.528864e+01	3.051289e+02	CXCL8;CXCL1
KEGG_2021_Human	VEGF signaling pathway	2/59	1.269776e-03	1.015821e-02	0	0	4.369518e+01	2.913994e+02	PTGS2;VEGFA
KEGG_2021_Human	Epithelial cell signaling in Helicobacter pylori infection	2/70	1.781768e-03	1.282873e-02	0	0	3.660662e+01	2.317254e+02	CXCL8;CXCL1
KEGG_2021_Human	MicroRNAs in cancer	3/310	2.532099e-03	1.657374e-02	0	0	1.281759e+01	7.663261e+01	MARCKS;PTGS2;VEGFA
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	2/100	3.594237e-03	1.921479e-02	0	0	2.536224e+01	1.427495e+02	CXCL8;VEGFA
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	2/100	3.594237e-03	1.921479e-02	0	0	2.536224e+01	1.427495e+02	CXCL8;CXCL1
KEGG_2021_Human	Amoebiasis	2/102	3.736209e-03	1.921479e-02	0	0	2.485250e+01	1.389176e+02	CXCL8;CXCL1
KEGG_2021_Human	TNF signaling pathway	2/112	4.484780e-03	2.152694e-02	0	0	2.258182e+01	1.221014e+02	CXCL1;PTGS2
KEGG_2021_Human	Pathways in cancer	3/531	1.128278e-02	4.798646e-02	0	0	7.368939e+00	3.304584e+01	CXCL8;PTGS2;VEGFA
KEGG_2021_Human	NOD-like receptor signaling pathway	2/181	1.133014e-02	4.798646e-02	0	0	1.382891e+01	6.195752e+01	CXCL8;CXCL1
KEGG_2021_Human	Chemokine signaling pathway	2/192	1.267898e-02	5.071594e-02	0	0	1.302105e+01	5.687348e+01	CXCL8;CXCL1
KEGG_2021_Human	Lipid and atherosclerosis	2/215	1.571470e-02	5.955046e-02	0	0	1.160153e+01	4.818297e+01	CXCL8;CXCL1
KEGG_2021_Human	Chemical carcinogenesis	2/239	1.918257e-02	6.905727e-02	0	0	1.041403e+01	4.117450e+01	PTGS2;VEGFA
KEGG_2021_Human	Shigellosis	2/246	2.024993e-02	6.942832e-02	0	0	1.011168e+01	3.943155e+01	CXCL8;U2AF1
KEGG_2021_Human	MAPK signaling pathway	2/294	2.821689e-02	9.234618e-02	0	0	8.428938e+00	3.007306e+01	JUND;VEGFA
KEGG_2021_Human	Human papillomavirus infection	2/331	3.508711e-02	1.098379e-01	0	0	7.466945e+00	2.501368e+01	PTGS2;VEGFA
KEGG_2021_Human	Proteasome	1/46	4.061719e-02	1.198320e-01	0	0	2.606144e+01	8.348948e+01	PSMA2
KEGG_2021_Human	Alzheimer disease	2/369	4.275365e-02	1.198320e-01	0	0	6.680858e+00	2.106007e+01	PSMA2;PTGS2
KEGG_2021_Human	Malaria	1/50	4.407449e-02	1.198320e-01	0	0	2.392917e+01	7.470386e+01	CXCL8
KEGG_2021_Human	Ovarian steroidogenesis	1/51	4.493698e-02	1.198320e-01	0	0	2.344941e+01	7.275166e+01	PTGS2
KEGG_2021_Human	Regulation of lipolysis in adipocytes	1/55	4.837959e-02	1.244046e-01	0	0	2.170806e+01	6.574671e+01	PTGS2
KEGG_2021_Human	Arachidonic acid metabolism	1/61	5.352153e-02	1.328810e-01	0	0	1.953137e+01	5.718144e+01	PTGS2
KEGG_2021_Human	Renal cell carcinoma	1/69	6.033664e-02	1.380454e-01	0	0	1.722664e+01	4.836924e+01	VEGFA
KEGG_2021_Human	RIG-I-like receptor signaling pathway	1/70	6.118526e-02	1.380454e-01	0	0	1.697613e+01	4.742874e+01	CXCL8
KEGG_2021_Human	Pancreatic cancer	1/76	6.626182e-02	1.380454e-01	0	0	1.561333e+01	4.237680e+01	VEGFA
KEGG_2021_Human	Pertussis	1/76	6.626182e-02	1.380454e-01	0	0	1.561333e+01	4.237680e+01	CXCL8
