Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Chemokine-Mediated Signaling Pathway (GO:0070098)	8/57	7.829885e-12	3.675650e-09	0	0	6.013303e+01	1.537786e+03	CXCL10;FOXC1;CXCL8;CCL20;CCL19;CXCL3;CCL18;CXCL2
GO_Biological_Process_2023	Cellular Response To Chemokine (GO:1990869)	8/59	1.045704e-11	3.675650e-09	0	0	5.776906e+01	1.460618e+03	CXCL10;FOXC1;CXCL8;CCL20;CCL19;CXCL3;CCL18;CXCL2
GO_Biological_Process_2023	Neutrophil Chemotaxis (GO:0030593)	7/70	1.996020e-09	4.677339e-07	0	0	4.015152e+01	8.043196e+02	CXCL10;CXCL8;CCL20;CCL19;CXCL3;CCL18;CXCL2
GO_Biological_Process_2023	Granulocyte Chemotaxis (GO:0071621)	7/73	2.693411e-09	4.733670e-07	0	0	3.832066e+01	7.561608e+02	CXCL10;CXCL8;CCL20;CCL19;CXCL3;CCL18;CXCL2
GO_Biological_Process_2023	Neutrophil Migration (GO:1990266)	7/77	3.937169e-09	5.535659e-07	0	0	3.612364e+01	6.990937e+02	CXCL10;CXCL8;CCL20;CCL19;CXCL3;CCL18;CXCL2
GO_Biological_Process_2023	Cytokine-Mediated Signaling Pathway (GO:0019221)	9/257	9.302453e-08	1.089937e-05	0	0	1.348220e+01	2.182822e+02	CXCL10;FOXC1;CXCL8;CCL20;CCL19;CXCL3;CCL18;CXCL2;DUOX2
GO_Biological_Process_2023	Heat Acclimation (GO:0010286)	3/5	2.824078e-07	2.481659e-05	0	0	5.068475e+02	7.643216e+03	HSPA6;HSPA1B;HSPA1A
GO_Biological_Process_2023	Cellular Heat Acclimation (GO:0070370)	3/5	2.824078e-07	2.481659e-05	0	0	5.068475e+02	7.643216e+03	HSPA6;HSPA1B;HSPA1A
GO_Biological_Process_2023	Cellular Response To Lipid (GO:0071396)	8/228	5.022361e-07	3.923022e-05	0	0	1.327811e+01	1.925884e+02	CXCL10;CD274;CXCL8;RAMP3;CXCL3;CXCL2;HSPA1B;HSPA1A
GO_Biological_Process_2023	Inflammatory Response (GO:0006954)	8/236	6.519258e-07	4.583038e-05	0	0	1.280702e+01	1.824146e+02	CXCL10;CXCL8;CCL20;PTGER3;CCL19;CXCL3;CCL18;CXCL2
GO_Biological_Process_2023	Regulation Of Inclusion Body Assembly (GO:0090083)	3/10	3.351689e-06	2.142034e-04	0	0	1.447772e+02	1.825069e+03	DNAJA4;HSPA1B;HSPA1A
GO_Biological_Process_2023	Lymphocyte Chemotaxis (GO:0048247)	4/44	1.035469e-05	6.066121e-04	0	0	3.430690e+01	3.937770e+02	CXCL10;CCL20;CCL19;CCL18
GO_Biological_Process_2023	Cellular Response To Molecule Of Bacterial Origin (GO:0071219)	5/117	3.117627e-05	1.685917e-03	0	0	1.552788e+01	1.611150e+02	CXCL10;CD274;CXCL8;CXCL3;CXCL2
GO_Biological_Process_2023	Cellular Response To Lipopolysaccharide (GO:0071222)	5/124	4.120464e-05	2.069061e-03	0	0	1.460932e+01	1.475097e+02	CXCL10;CD274;CXCL8;CXCL3;CXCL2
GO_Biological_Process_2023	Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)	4/65	4.919124e-05	2.305429e-03	0	0	2.247258e+01	2.229234e+02	CXCL10;CXCL8;CXCL3;CXCL2
GO_Biological_Process_2023	Positive Regulation Of Cytokine Production (GO:0001819)	7/320	5.815235e-05	2.555069e-03	0	0	7.979959e+00	7.782411e+01	LACC1;CD274;CCL19;SULF1;PTGS2;HSPA1B;HSPA1A
GO_Biological_Process_2023	Chaperone Cofactor-Dependent Protein Refolding (GO:0051085)	3/27	7.868532e-05	3.253869e-03	0	0	4.219068e+01	3.987042e+02	HSPA6;HSPA1B;HSPA1A
GO_Biological_Process_2023	Positive Regulation Of Fever Generation (GO:0031622)	2/5	9.398472e-05	3.670626e-03	0	0	2.215000e+02	2.053832e+03	PTGER3;PTGS2
GO_Biological_Process_2023	Cellular Response To Interleukin-1 (GO:0071347)	4/81	1.164885e-04	4.300397e-03	0	0	1.778863e+01	1.611244e+02	CXCL8;CCL20;CCL19;CCL18
GO_Biological_Process_2023	'De Novo' Post-Translational Protein Folding (GO:0051084)	3/32	1.319638e-04	4.300397e-03	0	0	3.490766e+01	3.118295e+02	HSPA6;HSPA1B;HSPA1A
GO_Biological_Process_2023	Response To Lipopolysaccharide (GO:0032496)	5/159	1.338733e-04	4.300397e-03	0	0	1.126908e+01	1.005046e+02	CXCL10;CD274;CXCL8;CXCL3;CXCL2
GO_Biological_Process_2023	Response To Interleukin-1 (GO:0070555)	4/85	1.404623e-04	4.300397e-03	0	0	1.690677e+01	1.499727e+02	CXCL8;CCL20;CCL19;CCL18
GO_Biological_Process_2023	Regulation Of Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway (GO:0070432)	2/6	1.406958e-04	4.300397e-03	0	0	1.661167e+02	1.473274e+03	HSPA1B;HSPA1A
GO_Biological_Process_2023	Positive Regulation Of Microtubule Nucleation (GO:0090063)	2/7	1.965810e-04	5.758184e-03	0	0	1.328867e+02	1.134113e+03	HSPA1B;HSPA1A
GO_Biological_Process_2023	Cellular Response To Heat (GO:0034605)	3/40	2.582635e-04	6.841317e-03	0	0	2.734906e+01	2.259451e+02	HSPA6;HSPA1B;HSPA1A
GO_Biological_Process_2023	Positive Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:1903265)	2/8	2.615848e-04	6.841317e-03	0	0	1.107333e+02	9.134118e+02	HSPA1B;HSPA1A
GO_Biological_Process_2023	Antimicrobial Humoral Response (GO:0019730)	4/100	2.627533e-04	6.841317e-03	0	0	1.425431e+01	1.175167e+02	CXCL10;CXCL8;CXCL3;CXCL2
