Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	B Cell Receptor Signaling Pathway (GO:0050853)	4/46	2.515475e-07	4.477545e-05	0	0	9.492381e+01	1.442427e+03	IGHG1;IGKC;IGLC3;IGHA1
GO_Biological_Process_2023	Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	4/134	1.844760e-05	1.641836e-03	0	0	3.053231e+01	3.328198e+02	IGHG1;IGKC;IGLC3;IGHA1
GO_Biological_Process_2023	Cytoplasmic Translation (GO:0002181)	3/93	1.835281e-04	1.088933e-02	0	0	3.156508e+01	2.715589e+02	RPS17;RPS29;RPS10
GO_Biological_Process_2023	Peptide Biosynthetic Process (GO:0043043)	3/158	8.667042e-04	3.543081e-02	0	0	1.826820e+01	1.288057e+02	RPS17;RPS29;RPS10
GO_Biological_Process_2023	Retina Homeostasis (GO:0001895)	2/39	9.952475e-04	3.543081e-02	0	0	4.899017e+01	3.386455e+02	IGKC;IGHA1
GO_Biological_Process_2023	Macromolecule Biosynthetic Process (GO:0009059)	3/183	1.323905e-03	3.927585e-02	0	0	1.571111e+01	1.041202e+02	RPS17;RPS29;RPS10
GO_Biological_Process_2023	Translation (GO:0006412)	3/234	2.668803e-03	6.786386e-02	0	0	1.221088e+01	7.236323e+01	RPS17;RPS29;RPS10
GO_Biological_Process_2023	Gene Expression (GO:0010467)	3/296	5.159234e-03	8.853990e-02	0	0	9.596782e+00	5.054594e+01	RPS17;RPS29;RPS10
GO_Biological_Process_2023	Antimicrobial Humoral Response (GO:0019730)	2/100	6.358547e-03	8.853990e-02	0	0	1.843970e+01	9.326719e+01	REG1A;IGHA1
GO_Biological_Process_2023	Atrioventricular Valve Formation (GO:0003190)	1/6	7.179245e-03	8.853990e-02	0	0	1.736609e+02	8.572875e+02	ZFPM1
GO_Biological_Process_2023	Negative Regulation Of CD8-positive, Alpha-Beta T Cell Activation (GO:2001186)	1/7	8.370979e-03	8.853990e-02	0	0	1.447101e+02	6.921464e+02	DAPL1
GO_Biological_Process_2023	Negative Regulation Of SMAD Protein Signal Transduction (GO:0060392)	1/7	8.370979e-03	8.853990e-02	0	0	1.447101e+02	6.921464e+02	FAM89B
GO_Biological_Process_2023	Positive Regulation Of Respiratory Burst (GO:0060267)	1/8	9.561343e-03	8.853990e-02	0	0	1.240311e+02	5.767478e+02	IGHA1
GO_Biological_Process_2023	Retrograde Transport, Vesicle Recycling Within Golgi (GO:0000301)	1/8	9.561343e-03	8.853990e-02	0	0	1.240311e+02	5.767478e+02	COG8
GO_Biological_Process_2023	Isoprenoid Biosynthetic Process (GO:0008299)	1/8	9.561343e-03	8.853990e-02	0	0	1.240311e+02	5.767478e+02	GGPS1
GO_Biological_Process_2023	Regulation Of CD8-positive, Alpha-Beta T Cell Activation (GO:2001185)	1/9	1.075034e-02	8.853990e-02	0	0	1.085217e+02	4.919093e+02	DAPL1
GO_Biological_Process_2023	Mitral Valve Morphogenesis (GO:0003183)	1/9	1.075034e-02	8.853990e-02	0	0	1.085217e+02	4.919093e+02	ZFPM1
GO_Biological_Process_2023	Positive Regulation Of Bone Resorption (GO:0045780)	1/10	1.193796e-02	8.853990e-02	0	0	9.645894e+01	4.271232e+02	TMEM64
GO_Biological_Process_2023	Regulation Of Respiratory Burst (GO:0060263)	1/10	1.193796e-02	8.853990e-02	0	0	9.645894e+01	4.271232e+02	IGHA1
GO_Biological_Process_2023	Negative Regulation Of Alpha-Beta T Cell Activation (GO:0046636)	1/10	1.193796e-02	8.853990e-02	0	0	9.645894e+01	4.271232e+02	DAPL1
GO_Biological_Process_2023	Positive Regulation Of Cellular Senescence (GO:2000774)	1/10	1.193796e-02	8.853990e-02	0	0	9.645894e+01	4.271232e+02	EEF1E1
GO_Biological_Process_2023	Atrial Septum Morphogenesis (GO:0060413)	1/10	1.193796e-02	8.853990e-02	0	0	9.645894e+01	4.271232e+02	ZFPM1
GO_Biological_Process_2023	rRNA Base Methylation (GO:0070475)	1/10	1.193796e-02	8.853990e-02	0	0	9.645894e+01	4.271232e+02	FDXACB1
GO_Biological_Process_2023	T-helper Cell Lineage Commitment (GO:0002295)	1/10	1.193796e-02	8.853990e-02	0	0	9.645894e+01	4.271232e+02	ZFPM1
GO_Biological_Process_2023	Glomerular Filtration (GO:0003094)	1/13	1.549266e-02	9.518517e-02	0	0	7.233333e+01	3.014412e+02	IGHA1
GO_Biological_Process_2023	Atrial Septum Development (GO:0003283)	1/13	1.549266e-02	9.518517e-02	0	0	7.233333e+01	3.014412e+02	ZFPM1
GO_Biological_Process_2023	Atrioventricular Valve Development (GO:0003171)	1/13	1.549266e-02	9.518517e-02	0	0	7.233333e+01	3.014412e+02	ZFPM1
GO_Biological_Process_2023	Embryonic Hemopoiesis (GO:0035162)	1/13	1.549266e-02	9.518517e-02	0	0	7.233333e+01	3.014412e+02	ZFPM1
GO_Biological_Process_2023	Positive Regulation Of Telomere Maintenance In Response To DNA Damage (GO:1904507)	1/14	1.667483e-02	9.518517e-02	0	0	6.676589e+01	2.733299e+02	INO80B
GO_Biological_Process_2023	Renal Filtration (GO:0097205)	1/15	1.785564e-02	9.518517e-02	0	0	6.199379e+01	2.495520e+02	IGHA1
GO_Biological_Process_2023	Regulation Of Telomere Maintenance In Response To DNA Damage (GO:1904505)	1/15	1.785564e-02	9.518517e-02	0	0	6.199379e+01	2.495520e+02	INO80B
GO_Biological_Process_2023	Positive Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0043517)	1/15	1.785564e-02	9.518517e-02	0	0	6.199379e+01	2.495520e+02	EEF1E1
GO_Biological_Process_2023	Regulation Of DNA Strand Elongation (GO:0060382)	1/16	1.903509e-02	9.518517e-02	0	0	5.785797e+01	2.292027e+02	INO80B
GO_Biological_Process_2023	DNA-templated Transcription Termination (GO:0006353)	1/16	1.903509e-02	9.518517e-02	0	0	5.785797e+01	2.292027e+02	SMN1
GO_Biological_Process_2023	Muscle Tissue Morphogenesis (GO:0060415)	1/17	2.021319e-02	9.518517e-02	0	0	5.423913e+01	2.116096e+02	ZFPM1
GO_Biological_Process_2023	Megakaryocyte Differentiation (GO:0030219)	1/17	2.021319e-02	9.518517e-02	0	0	5.423913e+01	2.116096e+02	ZFPM1
GO_Biological_Process_2023	Cardiac Atrium Morphogenesis (GO:0003209)	1/18	2.138993e-02	9.518517e-02	0	0	5.104604e+01	1.962636e+02	ZFPM1
GO_Biological_Process_2023	Establishment Of Vesicle Localization (GO:0051650)	1/18	2.138993e-02	9.518517e-02	0	0	5.104604e+01	1.962636e+02	F8A1
GO_Biological_Process_2023	T-helper Cell Differentiation (GO:0042093)	1/18	2.138993e-02	9.518517e-02	0	0	5.104604e+01	1.962636e+02	ZFPM1
GO_Biological_Process_2023	Positive Regulation Of Osteoclast Differentiation (GO:0045672)	1/18	2.138993e-02	9.518517e-02	0	0	5.104604e+01	1.962636e+02	TMEM64
GO_Biological_Process_2023	Atrioventricular Valve Morphogenesis (GO:0003181)	1/19	2.256531e-02	9.796647e-02	0	0	4.820773e+01	1.827720e+02	ZFPM1
GO_Biological_Process_2023	Positive Regulation Of Signal Transduction By P53 Class Mediator (GO:1901798)	1/21	2.491202e-02	1.038417e-01	0	0	4.338261e+01	1.601861e+02	EEF1E1
GO_Biological_Process_2023	Cytoskeleton-Dependent Intracellular Transport (GO:0030705)	1/22	2.608336e-02	1.038417e-01	0	0	4.131470e+01	1.506523e+02	F8A1
GO_Biological_Process_2023	rRNA Methylation (GO:0031167)	1/22	2.608336e-02	1.038417e-01	0	0	4.131470e+01	1.506523e+02	FDXACB1
GO_Biological_Process_2023	mRNA Splicing, Via Spliceosome (GO:0000398)	2/211	2.625210e-02	1.038417e-01	0	0	8.598086e+00	3.129711e+01	U2AF1;SMN1
GO_Biological_Process_2023	Regulation Of Interleukin-4 Production (GO:0032673)	1/23	2.725334e-02	1.054586e-01	0	0	3.943478e+01	1.420669e+02	ZFPM1
GO_Biological_Process_2023	Negative Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903051)	1/25	2.958927e-02	1.120615e-01	0	0	3.614493e+01	1.272426e+02	F8A1
GO_Biological_Process_2023	Regulation Of SMAD Protein Signal Transduction (GO:0060390)	1/27	3.191982e-02	1.154664e-01	0	0	3.336120e+01	1.149136e+02	FAM89B
GO_Biological_Process_2023	Ventricular Septum Morphogenesis (GO:0060412)	1/27	3.191982e-02	1.154664e-01	0	0	3.336120e+01	1.149136e+02	ZFPM1
GO_Biological_Process_2023	Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0043516)	1/28	3.308308e-02	1.154664e-01	0	0	3.212399e+01	1.095021e+02	EEF1E1
GO_Biological_Process_2023	Regulation Of Bone Resorption (GO:0045124)	1/28	3.308308e-02	1.154664e-01	0	0	3.212399e+01	1.095021e+02	TMEM64
GO_Biological_Process_2023	RNA Biosynthetic Process (GO:0032774)	1/29	3.424500e-02	1.172233e-01	0	0	3.097516e+01	1.045168e+02	SMN1
GO_Biological_Process_2023	Negative Regulation Of Myeloid Leukocyte Differentiation (GO:0002762)	1/30	3.540559e-02	1.189093e-01	0	0	2.990555e+01	9.991101e+01	ZFPM1
GO_Biological_Process_2023	Cardiac Muscle Tissue Morphogenesis (GO:0055008)	1/31	3.656484e-02	1.205285e-01	0	0	2.890725e+01	9.564449e+01	ZFPM1
