Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,B Cell Receptor Signaling Pathway (GO:0050853),4/46,2.51547457085977e-07,4.477544736130391e-05,0,0,94.92380952380952,1442.4274834555008,IGHG1;IGKC;IGLC3;IGHA1
GO_Biological_Process_2023,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),4/134,1.844759552346451e-05,0.0016418360015883,0,0,30.532307692307693,332.8197563291956,IGHG1;IGKC;IGLC3;IGHA1
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),3/93,0.00018352808462724924,0.0108893330212167,0,0,31.565079365079367,271.5588869264088,RPS17;RPS29;RPS10
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),3/158,0.0008667042398670053,0.0354308095493737,0,0,18.26820276497696,128.80567733787137,RPS17;RPS29;RPS10
GO_Biological_Process_2023,Retina Homeostasis (GO:0001895),2/39,0.0009952474592520714,0.0354308095493737,0,0,48.99017199017199,338.6455019929658,IGKC;IGHA1
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),3/183,0.0013239052132196,0.0392758546588504,0,0,15.71111111111111,104.12019503521132,RPS17;RPS29;RPS10
GO_Biological_Process_2023,Translation (GO:0006412),3/234,0.0026688033782536,0.0678638573327368,0,0,12.210884353741497,72.36322801729848,RPS17;RPS29;RPS10
GO_Biological_Process_2023,Gene Expression (GO:0010467),3/296,0.0051592342847743,0.0885399046233717,0,0,9.596782057532913,50.545935410148566,RPS17;RPS29;RPS10
GO_Biological_Process_2023,Antimicrobial Humoral Response (GO:0019730),2/100,0.0063585473607634,0.0885399046233717,0,0,18.43970315398887,93.26719485343038,REG1A;IGHA1
GO_Biological_Process_2023,Atrioventricular Valve Formation (GO:0003190),1/6,0.0071792448741713,0.0885399046233717,0,0,173.66086956521738,857.2874884567655,ZFPM1
GO_Biological_Process_2023,"Negative Regulation Of CD8-positive, Alpha-Beta T Cell Activation (GO:2001186)",1/7,0.0083709789916443,0.0885399046233717,0,0,144.71014492753622,692.1463710595567,DAPL1
GO_Biological_Process_2023,Negative Regulation Of SMAD Protein Signal Transduction (GO:0060392),1/7,0.0083709789916443,0.0885399046233717,0,0,144.71014492753622,692.1463710595567,FAM89B
GO_Biological_Process_2023,Positive Regulation Of Respiratory Burst (GO:0060267),1/8,0.0095613427178271,0.0885399046233717,0,0,124.03105590062113,576.7477724354015,IGHA1
GO_Biological_Process_2023,"Retrograde Transport, Vesicle Recycling Within Golgi (GO:0000301)",1/8,0.0095613427178271,0.0885399046233717,0,0,124.03105590062113,576.7477724354015,COG8
GO_Biological_Process_2023,Isoprenoid Biosynthetic Process (GO:0008299),1/8,0.0095613427178271,0.0885399046233717,0,0,124.03105590062113,576.7477724354015,GGPS1
GO_Biological_Process_2023,"Regulation Of CD8-positive, Alpha-Beta T Cell Activation (GO:2001185)",1/9,0.0107503374648081,0.0885399046233717,0,0,108.52173913043478,491.9093069362492,DAPL1
GO_Biological_Process_2023,Mitral Valve Morphogenesis (GO:0003183),1/9,0.0107503374648081,0.0885399046233717,0,0,108.52173913043478,491.9093069362492,ZFPM1
GO_Biological_Process_2023,Positive Regulation Of Bone Resorption (GO:0045780),1/10,0.0119379646683197,0.0885399046233717,0,0,96.45893719806764,427.1232267263204,TMEM64
GO_Biological_Process_2023,Regulation Of Respiratory Burst (GO:0060263),1/10,0.0119379646683197,0.0885399046233717,0,0,96.45893719806764,427.1232267263204,IGHA1
GO_Biological_Process_2023,Negative Regulation Of Alpha-Beta T Cell Activation (GO:0046636),1/10,0.0119379646683197,0.0885399046233717,0,0,96.45893719806764,427.1232267263204,DAPL1
GO_Biological_Process_2023,Positive Regulation Of Cellular Senescence (GO:2000774),1/10,0.0119379646683197,0.0885399046233717,0,0,96.45893719806764,427.1232267263204,EEF1E1
GO_Biological_Process_2023,Atrial Septum Morphogenesis (GO:0060413),1/10,0.0119379646683197,0.0885399046233717,0,0,96.45893719806764,427.1232267263204,ZFPM1
GO_Biological_Process_2023,rRNA Base Methylation (GO:0070475),1/10,0.0119379646683197,0.0885399046233717,0,0,96.45893719806764,427.1232267263204,FDXACB1
GO_Biological_Process_2023,T-helper Cell Lineage Commitment (GO:0002295),1/10,0.0119379646683197,0.0885399046233717,0,0,96.45893719806764,427.1232267263204,ZFPM1
GO_Biological_Process_2023,Glomerular Filtration (GO:0003094),1/13,0.0154926555661662,0.0951851714019275,0,0,72.33333333333333,301.441152263015,IGHA1
GO_Biological_Process_2023,Atrial Septum Development (GO:0003283),1/13,0.0154926555661662,0.0951851714019275,0,0,72.33333333333333,301.441152263015,ZFPM1
GO_Biological_Process_2023,Atrioventricular Valve Development (GO:0003171),1/13,0.0154926555661662,0.0951851714019275,0,0,72.33333333333333,301.441152263015,ZFPM1
GO_Biological_Process_2023,Embryonic Hemopoiesis (GO:0035162),1/13,0.0154926555661662,0.0951851714019275,0,0,72.33333333333333,301.441152263015,ZFPM1
GO_Biological_Process_2023,Positive Regulation Of Telomere Maintenance In Response To DNA Damage (GO:1904507),1/14,0.0166748271779813,0.0951851714019275,0,0,66.76588628762542,273.3298608380045,INO80B
GO_Biological_Process_2023,Renal Filtration (GO:0097205),1/15,0.0178556385652366,0.0951851714019275,0,0,61.993788819875775,249.55202523941097,IGHA1
GO_Biological_Process_2023,Regulation Of Telomere Maintenance In Response To DNA Damage (GO:1904505),1/15,0.0178556385652366,0.0951851714019275,0,0,61.993788819875775,249.55202523941097,INO80B
GO_Biological_Process_2023,"Positive Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0043517)",1/15,0.0178556385652366,0.0951851714019275,0,0,61.993788819875775,249.55202523941097,EEF1E1
GO_Biological_Process_2023,Regulation Of DNA Strand Elongation (GO:0060382),1/16,0.0190350912060612,0.0951851714019275,0,0,57.85797101449276,229.20267994354347,INO80B
GO_Biological_Process_2023,DNA-templated Transcription Termination (GO:0006353),1/16,0.0190350912060612,0.0951851714019275,0,0,57.85797101449276,229.20267994354347,SMN1
GO_Biological_Process_2023,Muscle Tissue Morphogenesis (GO:0060415),1/17,0.0202131865779684,0.0951851714019275,0,0,54.23913043478261,211.60963296162683,ZFPM1
GO_Biological_Process_2023,Megakaryocyte Differentiation (GO:0030219),1/17,0.0202131865779684,0.0951851714019275,0,0,54.23913043478261,211.60963296162683,ZFPM1
GO_Biological_Process_2023,Cardiac Atrium Morphogenesis (GO:0003209),1/18,0.0213899261577365,0.0951851714019275,0,0,51.0460358056266,196.26359569838613,ZFPM1
GO_Biological_Process_2023,Establishment Of Vesicle Localization (GO:0051650),1/18,0.0213899261577365,0.0951851714019275,0,0,51.0460358056266,196.26359569838613,F8A1
GO_Biological_Process_2023,T-helper Cell Differentiation (GO:0042093),1/18,0.0213899261577365,0.0951851714019275,0,0,51.0460358056266,196.26359569838613,ZFPM1
GO_Biological_Process_2023,Positive Regulation Of Osteoclast Differentiation (GO:0045672),1/18,0.0213899261577365,0.0951851714019275,0,0,51.0460358056266,196.26359569838613,TMEM64
GO_Biological_Process_2023,Atrioventricular Valve Morphogenesis (GO:0003181),1/19,0.0225653114296027,0.0979664740114459,0,0,48.20772946859904,182.7719626724847,ZFPM1
GO_Biological_Process_2023,Positive Regulation Of Signal Transduction By P53 Class Mediator (GO:1901798),1/21,0.0249120249496479,0.1038416555230355,0,0,43.38260869565217,160.18614661402282,EEF1E1
GO_Biological_Process_2023,Cytoskeleton-Dependent Intracellular Transport (GO:0030705),1/22,0.0260833561592032,0.1038416555230355,0,0,41.31469979296066,150.65231192236567,F8A1
GO_Biological_Process_2023,rRNA Methylation (GO:0031167),1/22,0.0260833561592032,0.1038416555230355,0,0,41.31469979296066,150.65231192236567,FDXACB1
GO_Biological_Process_2023,"mRNA Splicing, Via Spliceosome (GO:0000398)",2/211,0.0262521039243629,0.1038416555230355,0,0,8.598086124401913,31.29711211077132,U2AF1;SMN1
GO_Biological_Process_2023,Regulation Of Interleukin-4 Production (GO:0032673),1/23,0.0272533389718204,0.1054585725431312,0,0,39.43478260869565,142.06692893534887,ZFPM1
GO_Biological_Process_2023,Negative Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903051),1/25,0.0295892653137072,0.1120614728902104,0,0,36.14492753623188,127.2425658336615,F8A1
GO_Biological_Process_2023,Regulation Of SMAD Protein Signal Transduction (GO:0060390),1/27,0.0319198157870248,0.1154664317410758,0,0,33.36120401337793,114.91361059553886,FAM89B
GO_Biological_Process_2023,Ventricular Septum Morphogenesis (GO:0060412),1/27,0.0319198157870248,0.1154664317410758,0,0,33.36120401337793,114.91361059553886,ZFPM1
GO_Biological_Process_2023,"Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0043516)",1/28,0.0330830787572745,0.1154664317410758,0,0,32.12399355877617,109.5021279575476,EEF1E1
GO_Biological_Process_2023,Regulation Of Bone Resorption (GO:0045124),1/28,0.0330830787572745,0.1154664317410758,0,0,32.12399355877617,109.5021279575476,TMEM64
GO_Biological_Process_2023,RNA Biosynthetic Process (GO:0032774),1/29,0.0342450021823671,0.1172232767011799,0,0,30.975155279503102,104.51682262493934,SMN1
GO_Biological_Process_2023,Negative Regulation Of Myeloid Leukocyte Differentiation (GO:0002762),1/30,0.035405587532064,0.1189093317114605,0,0,29.90554722638681,99.91101302805887,ZFPM1
GO_Biological_Process_2023,Cardiac Muscle Tissue Morphogenesis (GO:0055008),1/31,0.036564836271725,0.1205285343771678,0,0,28.9072463768116,95.64448851318151,ZFPM1
GO_Biological_Process_2023,Negative Regulation Of Osteoblast Differentiation (GO:0045668),1/32,0.0377227498799882,0.1220845359752346,0,0,27.97335203366059,91.6824353057917,TMEM64
GO_Biological_Process_2023,intra-Golgi Vesicle-Mediated Transport (GO:0006891),1/33,0.0388793298193351,0.1235807269257436,0,0,27.097826086956523,87.994568412846,COG8
