Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Antimicrobial Humoral Response (GO:0019730)	8/100	6.954142e-10	3.331034e-07	0	0	3.256276e+01	6.866350e+02	IGHM;CCL13;REG1B;REG1A;RNASE6;IGHA1;S100A9;JCHAIN
GO_Biological_Process_2023	B Cell Receptor Signaling Pathway (GO:0050853)	6/46	5.326995e-09	1.275815e-06	0	0	5.427000e+01	1.033869e+03	IGHG3;IGHM;IGHG1;IGKC;IGLC3;IGHA1
GO_Biological_Process_2023	Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)	5/65	1.602495e-06	2.558651e-04	0	0	2.958185e+01	3.947386e+02	CCL13;REG1B;REG1A;RNASE6;S100A9
GO_Biological_Process_2023	Defense Response To Bacterium (GO:0042742)	7/204	2.835593e-06	3.177844e-04	0	0	1.299060e+01	1.659323e+02	IGHM;NOS2;RNASE6;LCN2;IGHA1;S100A9;JCHAIN
GO_Biological_Process_2023	Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	6/134	3.317165e-06	3.177844e-04	0	0	1.688437e+01	2.130200e+02	IGHG3;IGHM;IGHG1;IGKC;IGLC3;IGHA1
GO_Biological_Process_2023	Retina Homeostasis (GO:0001895)	4/39	5.945808e-06	4.746737e-04	0	0	3.990777e+01	4.802032e+02	IGHG3;IGKC;IGHA1;JCHAIN
GO_Biological_Process_2023	Antibacterial Humoral Response (GO:0019731)	4/49	1.497139e-05	1.024471e-03	0	0	3.102378e+01	3.446547e+02	IGHM;RNASE6;IGHA1;JCHAIN
GO_Biological_Process_2023	Cellular Response To Type II Interferon (GO:0071346)	4/66	4.899430e-05	2.933534e-03	0	0	2.249802e+01	2.232660e+02	CCL13;CCL20;CCL18;AIF1
GO_Biological_Process_2023	Neutrophil Chemotaxis (GO:0030593)	4/70	6.176571e-05	3.287308e-03	0	0	2.113025e+01	2.047978e+02	CCL13;CCL20;CCL18;S100A9
GO_Biological_Process_2023	Granulocyte Chemotaxis (GO:0071621)	4/73	7.282249e-05	3.488197e-03	0	0	2.020849e+01	1.925361e+02	CCL13;CCL20;CCL18;S100A9
GO_Biological_Process_2023	Inflammatory Response (GO:0006954)	6/236	8.178646e-05	3.561429e-03	0	0	9.348142e+00	8.797910e+01	CCL13;NOS2;CCL20;CCL18;S100A9;AIF1
GO_Biological_Process_2023	Neutrophil Migration (GO:1990266)	4/77	8.972251e-05	3.581424e-03	0	0	1.909733e+01	1.779640e+02	CCL13;CCL20;CCL18;S100A9
GO_Biological_Process_2023	Response To Type II Interferon (GO:0034341)	4/80	1.041465e-04	3.837400e-03	0	0	1.834072e+01	1.681791e+02	CCL13;CCL20;CCL18;AIF1
GO_Biological_Process_2023	Response To Peptide (GO:1901652)	3/38	2.110512e-04	7.220966e-03	0	0	2.941478e+01	2.489493e+02	MMP12;REG1B;REG1A
GO_Biological_Process_2023	Positive Regulation Of Respiratory Burst (GO:0060267)	2/8	2.531972e-04	7.832955e-03	0	0	1.126158e+02	9.326101e+02	IGHA1;JCHAIN
GO_Biological_Process_2023	Lymphocyte Migration (GO:0072676)	3/41	2.649616e-04	7.832955e-03	0	0	2.708848e+01	2.230987e+02	CCL13;CCL20;CCL18
GO_Biological_Process_2023	Monocyte Chemotaxis (GO:0002548)	3/42	2.847252e-04	7.832955e-03	0	0	2.639257e+01	2.154686e+02	CCL13;CCL20;CCL18
GO_Biological_Process_2023	Peptidyl-Cysteine Modification (GO:0018198)	2/9	3.249004e-04	7.832955e-03	0	0	9.652300e+01	7.752720e+02	NOS2;S100A9
GO_Biological_Process_2023	Regulation Of Cellular Extravasation (GO:0002691)	2/9	3.249004e-04	7.832955e-03	0	0	9.652300e+01	7.752720e+02	PLVAP;OLFM4
GO_Biological_Process_2023	Lymphocyte Chemotaxis (GO:0048247)	3/44	3.270545e-04	7.832955e-03	0	0	2.510261e+01	2.014581e+02	CCL13;CCL20;CCL18
GO_Biological_Process_2023	Regulation Of Respiratory Burst (GO:0060263)	2/10	4.053286e-04	9.245351e-03	0	0	8.445339e+01	6.596496e+02	IGHA1;JCHAIN
GO_Biological_Process_2023	Cellular Response To Tumor Necrosis Factor (GO:0071356)	4/119	4.785855e-04	1.042011e-02	0	0	1.209703e+01	9.247783e+01	CCL13;PLVAP;CCL20;CCL18
GO_Biological_Process_2023	Glomerular Filtration (GO:0003094)	2/13	6.984425e-04	1.402068e-02	0	0	6.141140e+01	4.462556e+02	IGHA1;JCHAIN
GO_Biological_Process_2023	Chemokine-Mediated Signaling Pathway (GO:0070098)	3/57	7.024978e-04	1.402068e-02	0	0	1.904693e+01	1.382973e+02	CCL13;CCL20;CCL18
GO_Biological_Process_2023	Cellular Response To Chemokine (GO:1990869)	3/59	7.771309e-04	1.488983e-02	0	0	1.836484e+01	1.314905e+02	CCL13;CCL20;CCL18
GO_Biological_Process_2023	Astrocyte Development (GO:0014002)	2/15	9.365269e-04	1.661468e-02	0	0	5.195828e+01	3.623223e+02	C1QA;S100A9
GO_Biological_Process_2023	Renal Filtration (GO:0097205)	2/15	9.365269e-04	1.661468e-02	0	0	5.195828e+01	3.623223e+02	IGHA1;JCHAIN
GO_Biological_Process_2023	Positive Regulation Of Lymphocyte Migration (GO:2000403)	2/16	1.068218e-03	1.827416e-02	0	0	4.824455e+01	3.300778e+02	CCL20;AIF1
GO_Biological_Process_2023	Response To Molecule Of Bacterial Origin (GO:0002237)	3/69	1.225682e-03	2.024488e-02	0	0	1.557445e+01	1.044151e+02	NOS2;CD24;S100A9
GO_Biological_Process_2023	Defense Response To Gram-negative Bacterium (GO:0050829)	3/75	1.559298e-03	2.489679e-02	0	0	1.427227e+01	9.224910e+01	IGHM;NOS2;RNASE6
GO_Biological_Process_2023	Microglial Cell Activation (GO:0001774)	2/20	1.678125e-03	2.517607e-02	0	0	3.751601e+01	2.397302e+02	C1QA;AIF1
GO_Biological_Process_2023	Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030512)	3/77	1.681909e-03	2.517607e-02	0	0	1.388514e+01	8.869583e+01	FAM89B;PEG10;SAP30
GO_Biological_Process_2023	Cellular Response To Interleukin-1 (GO:0071347)	3/81	1.944856e-03	2.822988e-02	0	0	1.317042e+01	8.221726e+01	CCL13;CCL20;CCL18
GO_Biological_Process_2023	Regulation Of T Cell Migration (GO:2000404)	2/23	2.221453e-03	3.048783e-02	0	0	3.215174e+01	1.964340e+02	CCL20;AIF1
GO_Biological_Process_2023	Response To Interleukin-1 (GO:0070555)	3/85	2.232091e-03	3.048783e-02	0	0	1.252544e+01	7.646552e+01	CCL13;CCL20;CCL18
GO_Biological_Process_2023	Macromolecule Biosynthetic Process (GO:0009059)	4/183	2.357496e-03	3.048783e-02	0	0	7.746741e+00	4.686899e+01	EIF5AL1;RPS17;EIF5A2;RPS10
GO_Biological_Process_2023	Eosinophil Chemotaxis (GO:0048245)	2/24	2.418659e-03	3.048783e-02	0	0	3.068875e+01	1.848857e+02	CCL13;CCL18
GO_Biological_Process_2023	Eosinophil Migration (GO:0072677)	2/24	2.418659e-03	3.048783e-02	0	0	3.068875e+01	1.848857e+02	CCL13;CCL18
GO_Biological_Process_2023	Positive Regulation Of T Cell Migration (GO:2000406)	2/25	2.623832e-03	3.222603e-02	0	0	2.935298e+01	1.744483e+02	CCL20;AIF1
GO_Biological_Process_2023	Positive Regulation Of Leukocyte Migration (GO:0002687)	2/31	4.019444e-03	4.813284e-02	0	0	2.327294e+01	1.283878e+02	PLVAP;AIF1
GO_Biological_Process_2023	Positive Regulation Of Metabolic Process (GO:0009893)	3/108	4.390565e-03	5.007335e-02	0	0	9.770443e+00	5.303687e+01	LCN2;IGHA1;JCHAIN
GO_Biological_Process_2023	Response To Tumor Necrosis Factor (GO:0034612)	3/108	4.390565e-03	5.007335e-02	0	0	9.770443e+00	5.303687e+01	CCL13;CCL20;CCL18
GO_Biological_Process_2023	Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090101)	3/111	4.739640e-03	5.159744e-02	0	0	9.497605e+00	5.082923e+01	FAM89B;PEG10;SAP30
GO_Biological_Process_2023	Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015)	3/111	4.739640e-03	5.159744e-02	0	0	9.497605e+00	5.082923e+01	FAM89B;PEG10;SAP30
GO_Biological_Process_2023	Macrophage Activation (GO:0042116)	2/35	5.103080e-03	5.431945e-02	0	0	2.044787e+01	1.079220e+02	C1QA;AIF1
GO_Biological_Process_2023	Translation (GO:0006412)	4/234	5.658564e-03	5.892288e-02	0	0	6.013425e+00	3.111698e+01	EIF5AL1;RPS17;EIF5A2;RPS10
GO_Biological_Process_2023	Translational Elongation (GO:0006414)	2/42	7.284161e-03	7.423645e-02	0	0	1.686356e+01	8.300333e+01	EIF5AL1;EIF5A2
GO_Biological_Process_2023	Cytokine-Mediated Signaling Pathway (GO:0019221)	4/257	7.836385e-03	7.793127e-02	0	0	5.460370e+00	2.647721e+01	CCL13;PLVAP;CCL20;CCL18
GO_Biological_Process_2023	Extracellular Matrix Disassembly (GO:0022617)	2/44	7.972092e-03	7.793127e-02	0	0	1.605892e+01	7.759362e+01	MMP12;MMP1
GO_Biological_Process_2023	Cellular Component Disassembly (GO:0022411)	2/46	8.688144e-03	8.323242e-02	0	0	1.532743e+01	7.274084e+01	MMP12;MMP1
GO_Biological_Process_2023	Pyruvate Metabolic Process (GO:0006090)	2/50	1.020319e-02	9.582994e-02	0	0	1.404732e+01	6.440772e+01	ME1;ALDOB
GO_Biological_Process_2023	Response To Peptide Hormone (GO:0043434)	2/55	1.224889e-02	1.067792e-01	0	0	1.271890e+01	5.599267e+01	REG1B;REG1A
GO_Biological_Process_2023	Cellular Response To Cytokine Stimulus (GO:0071345)	4/308	1.447428e-02	1.067792e-01	0	0	4.532548e+00	1.919707e+01	CCL13;CCL20;CCL18;AIF1
GO_Biological_Process_2023	Positive Regulation Of MAPK Cascade (GO:0043410)	4/310	1.478943e-02	1.067792e-01	0	0	4.502465e+00	1.897268e+01	CCL13;CCL20;CD24;CCL18
GO_Biological_Process_2023	Regulation Of Circadian Sleep/Wake Cycle (GO:0042749)	1/5	1.515863e-02	1.067792e-01	0	0	8.306250e+01	3.479642e+02	PTGDS
GO_Biological_Process_2023	Regulation Of Circadian Sleep/Wake Cycle, Sleep (GO:0045187)	1/5	1.515863e-02	1.067792e-01	0	0	8.306250e+01	3.479642e+02	PTGDS
GO_Biological_Process_2023	Negative Regulation Of Histone Acetylation (GO:0035067)	1/5	1.515863e-02	1.067792e-01	0	0	8.306250e+01	3.479642e+02	SET
GO_Biological_Process_2023	Positive Regulation Of Killing Of Cells Of Another Organism (GO:0051712)	1/5	1.515863e-02	1.067792e-01	0	0	8.306250e+01	3.479642e+02	NOS2
