Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	IL-17 signaling pathway	4/94	1.945216e-04	1.614529e-02	0	0	1.547680e+01	1.322488e+02	MMP1;CCL20;LCN2;S100A9
KEGG_2021_Human	Coronavirus disease	5/232	7.054423e-04	2.927586e-02	0	0	7.753304e+00	5.626329e+01	C1QA;RPS17;MMP1;RPS10;C2
KEGG_2021_Human	Pertussis	3/76	1.619875e-03	4.481655e-02	0	0	1.407605e+01	9.044434e+01	C1QA;NOS2;C2
KEGG_2021_Human	Rheumatoid arthritis	3/93	2.882392e-03	4.894146e-02	0	0	1.140747e+01	6.672384e+01	MMP1;CCL20;HLA-DQA1
KEGG_2021_Human	Staphylococcus aureus infection	3/95	3.061278e-03	4.894146e-02	0	0	1.115836e+01	6.459488e+01	C1QA;HLA-DQA1;C2
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	3/100	3.537937e-03	4.894146e-02	0	0	1.058052e+01	5.971869e+01	CCL13;CCL20;CCL18
KEGG_2021_Human	Systemic lupus erythematosus	3/135	8.137631e-03	9.648905e-02	0	0	7.761364e+00	3.734191e+01	C1QA;HLA-DQA1;C2
KEGG_2021_Human	Chemokine signaling pathway	3/192	2.086252e-02	1.919410e-01	0	0	5.405036e+00	2.091641e+01	CCL13;CCL20;CCL18
KEGG_2021_Human	PPAR signaling pathway	2/74	2.147163e-02	1.919410e-01	0	0	9.353578e+00	3.592731e+01	MMP1;ME1
KEGG_2021_Human	Leishmaniasis	2/77	2.312543e-02	1.919410e-01	0	0	8.978079e+00	3.381883e+01	NOS2;HLA-DQA1
KEGG_2021_Human	Complement and coagulation cascades	2/85	2.778169e-02	2.096255e-01	0	0	8.109455e+00	2.905924e+01	C1QA;C2
KEGG_2021_Human	Hypertrophic cardiomyopathy	2/90	3.086711e-02	2.134975e-01	0	0	7.646764e+00	2.659594e+01	DES;TNNI3
KEGG_2021_Human	Dilated cardiomyopathy	2/96	3.473987e-02	2.146438e-01	0	0	7.156509e+00	2.404492e+01	DES;TNNI3
KEGG_2021_Human	Hematopoietic cell lineage	2/99	3.674363e-02	2.146438e-01	0	0	6.934125e+00	2.290890e+01	CD24;HLA-DQA1
KEGG_2021_Human	Chagas disease	2/102	3.879105e-02	2.146438e-01	0	0	6.725085e+00	2.185360e+01	C1QA;NOS2
KEGG_2021_Human	HIF-1 signaling pathway	2/109	4.373290e-02	2.241936e-01	0	0	6.282908e+00	1.966333e+01	NOS2;ALDOB
KEGG_2021_Human	Toxoplasmosis	2/112	4.591916e-02	2.241936e-01	0	0	6.110632e+00	1.882608e+01	NOS2;HLA-DQA1
KEGG_2021_Human	Prion disease	3/273	5.074845e-02	2.340068e-01	0	0	3.768008e+00	1.123196e+01	C1QA;NDUFB8;PSMA2
KEGG_2021_Human	Relaxin signaling pathway	2/129	5.903228e-02	2.453291e-01	0	0	5.288136e+00	1.496368e+01	NOS2;MMP1
KEGG_2021_Human	Cytokine-cytokine receptor interaction	3/295	6.118549e-02	2.453291e-01	0	0	3.480220e+00	9.723195e+00	CCL13;CCL20;CCL18
KEGG_2021_Human	Arginine biosynthesis	1/22	6.502698e-02	2.453291e-01	0	0	1.580794e+01	4.320235e+01	NOS2
KEGG_2021_Human	Terpenoid backbone biosynthesis	1/22	6.502698e-02	2.453291e-01	0	0	1.580794e+01	4.320235e+01	GGPS1
KEGG_2021_Human	Vitamin digestion and absorption	1/24	7.072801e-02	2.552359e-01	0	0	1.443188e+01	3.822881e+01	RBP2
KEGG_2021_Human	Ribosome	2/158	8.391029e-02	2.737106e-01	0	0	4.298783e+00	1.065241e+01	RPS17;RPS10
