Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Membrane Protein Proteolysis (GO:0033619)	2/34	8.886174e-04	9.917331e-02	0	0	5.193229e+01	3.648682e+02	MMP7;PARL
GO_Biological_Process_2023	Macromolecule Biosynthetic Process (GO:0009059)	3/183	1.677993e-03	9.917331e-02	0	0	1.434348e+01	9.165708e+01	INHBA;RPS4Y1;RPS10
GO_Biological_Process_2023	Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060393)	2/61	2.836922e-03	9.917331e-02	0	0	2.812853e+01	1.649748e+02	PMEPA1;INHBA
GO_Biological_Process_2023	Positive Regulation Of Cell Motility (GO:2000147)	3/221	2.868549e-03	9.917331e-02	0	0	1.182050e+01	6.919662e+01	MMP7;FAM89B;TWIST1
GO_Biological_Process_2023	Negative Regulation Of Intracellular Signal Transduction (GO:1902532)	3/231	3.249730e-03	9.917331e-02	0	0	1.129634e+01	6.471880e+01	FAM89B;WWC1;TWIST1
GO_Biological_Process_2023	Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030512)	2/77	4.478508e-03	9.917331e-02	0	0	2.211000e+01	1.195812e+02	FAM89B;PMEPA1
GO_Biological_Process_2023	Positive Regulation Of Cell Migration (GO:0030335)	3/272	5.131975e-03	9.917331e-02	0	0	9.554711e+00	5.037497e+01	MMP7;FAM89B;TWIST1
GO_Biological_Process_2023	Regulation Of Protein Targeting (GO:1903533)	1/5	6.483689e-03	9.917331e-02	0	0	1.997000e+02	1.006182e+03	PARL
GO_Biological_Process_2023	Negative Regulation Of Histone Acetylation (GO:0035067)	1/5	6.483689e-03	9.917331e-02	0	0	1.997000e+02	1.006182e+03	TWIST1
GO_Biological_Process_2023	Regulation Of Protein Metabolic Process (GO:0051246)	2/96	6.874730e-03	9.917331e-02	0	0	1.762411e+01	8.776637e+01	INHBA;PARL
