Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Membrane Protein Proteolysis (GO:0033619),2/34,0.0008886174067263165,0.0991733085372161,0,0,51.93229166666666,364.8681683209649,MMP7;PARL
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),3/183,0.0016779926722964,0.0991733085372161,0,0,14.343478260869563,91.65707855628396,INHBA;RPS4Y1;RPS10
GO_Biological_Process_2023,Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060393),2/61,0.0028369216422226,0.0991733085372161,0,0,28.12853107344633,164.97484015733718,PMEPA1;INHBA
GO_Biological_Process_2023,Positive Regulation Of Cell Motility (GO:2000147),3/221,0.0028685489751589,0.0991733085372161,0,0,11.820502592740327,69.19661886688903,MMP7;FAM89B;TWIST1
GO_Biological_Process_2023,Negative Regulation Of Intracellular Signal Transduction (GO:1902532),3/231,0.0032497300347509,0.0991733085372161,0,0,11.29633867276888,64.7187954662091,FAM89B;WWC1;TWIST1
GO_Biological_Process_2023,Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030512),2/77,0.0044785083289091,0.0991733085372161,0,0,22.11,119.58116668405684,FAM89B;PMEPA1
GO_Biological_Process_2023,Positive Regulation Of Cell Migration (GO:0030335),3/272,0.0051319748997559,0.0991733085372161,0,0,9.554711491837724,50.37496833847366,MMP7;FAM89B;TWIST1
GO_Biological_Process_2023,Regulation Of Protein Targeting (GO:1903533),1/5,0.0064836893697988,0.0991733085372161,0,0,199.7,1006.1815770136444,PARL
GO_Biological_Process_2023,Negative Regulation Of Histone Acetylation (GO:0035067),1/5,0.0064836893697988,0.0991733085372161,0,0,199.7,1006.1815770136444,TWIST1
GO_Biological_Process_2023,Regulation Of Protein Metabolic Process (GO:0051246),2/96,0.0068747303967701,0.0991733085372161,0,0,17.624113475177303,87.76637294514885,INHBA;PARL
GO_Biological_Process_2023,Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway (GO:0070431),1/6,0.007775574144635,0.0991733085372161,0,0,159.752,775.8783981291459,LACC1
GO_Biological_Process_2023,Maintenance Of Lens Transparency (GO:0036438),1/6,0.007775574144635,0.0991733085372161,0,0,159.752,775.8783981291459,CHMP4A
GO_Biological_Process_2023,Membrane Invagination (GO:0010324),1/6,0.007775574144635,0.0991733085372161,0,0,159.752,775.8783981291459,CHMP4A
GO_Biological_Process_2023,Negative Regulation Of Lymphocyte Differentiation (GO:0045620),1/6,0.007775574144635,0.0991733085372161,0,0,159.752,775.8783981291459,INHBA
GO_Biological_Process_2023,Regulation Of Establishment Of Protein Localization To Mitochondrion (GO:1903747),1/7,0.0090658443341152,0.0991733085372161,0,0,133.12,626.0954814439701,PARL
GO_Biological_Process_2023,Negative Regulation Of Peptidyl-Lysine Acetylation (GO:2000757),1/7,0.0090658443341152,0.0991733085372161,0,0,133.12,626.0954814439701,TWIST1
GO_Biological_Process_2023,Negative Regulation Of SMAD Protein Signal Transduction (GO:0060392),1/7,0.0090658443341152,0.0991733085372161,0,0,133.12,626.0954814439701,FAM89B
GO_Biological_Process_2023,Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015),2/111,0.0090948740601186,0.0991733085372161,0,0,15.187308868501528,71.38102469636651,FAM89B;PMEPA1
GO_Biological_Process_2023,Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090101),2/111,0.0090948740601186,0.0991733085372161,0,0,15.187308868501528,71.38102469636651,FAM89B;PMEPA1
GO_Biological_Process_2023,Positive Regulation Of Monocyte Chemotactic Protein-1 Production (GO:0071639),1/8,0.0103545017362565,0.0991733085372161,0,0,114.09714285714286,521.4620402892078,TWIST1
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription Initiation (GO:2000142),1/8,0.0103545017362565,0.0991733085372161,0,0,114.09714285714286,521.4620402892078,TWIST1
GO_Biological_Process_2023,Negative Regulation Of Transporter Activity (GO:0032410),1/8,0.0103545017362565,0.0991733085372161,0,0,114.09714285714286,521.4620402892078,TWIST1
GO_Biological_Process_2023,Nicotinamide Nucleotide Biosynthetic Process (GO:0019359),1/8,0.0103545017362565,0.0991733085372161,0,0,114.09714285714286,521.4620402892078,QPRT
GO_Biological_Process_2023,Regulation Of Organ Growth (GO:0046620),1/8,0.0103545017362565,0.0991733085372161,0,0,114.09714285714286,521.4620402892078,WWC1
GO_Biological_Process_2023,Positive Regulation Of Fatty Acid Beta-Oxidation (GO:0032000),1/8,0.0103545017362565,0.0991733085372161,0,0,114.09714285714286,521.4620402892078,TWIST1
GO_Biological_Process_2023,Negative Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014067),1/9,0.0116415481869311,0.0991733085372161,0,0,99.83,444.5604442545611,TWIST1
GO_Biological_Process_2023,Vesicle Fusion With Vacuole (GO:0051469),1/9,0.0116415481869311,0.0991733085372161,0,0,99.83,444.5604442545611,CHMP4A
GO_Biological_Process_2023,Multivesicular Body-Lysosome Fusion (GO:0061763),1/9,0.0116415481869311,0.0991733085372161,0,0,99.83,444.5604442545611,CHMP4A
