Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	B Cell Receptor Signaling Pathway (GO:0050853)	3/46	1.700526e-05	2.703837e-03	0	0	7.320073e+01	8.038896e+02	IGHG1;IGKC;IGHA1
GO_Biological_Process_2023	Antimicrobial Humoral Response (GO:0019730)	3/100	1.743100e-04	1.385764e-02	0	0	3.236191e+01	2.800818e+02	CCL13;CXCL1;IGHA1
GO_Biological_Process_2023	Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	3/134	4.125514e-04	2.119407e-02	0	0	2.392166e+01	1.864250e+02	IGHG1;IGKC;IGHA1
GO_Biological_Process_2023	Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)	2/34	6.342972e-04	2.119407e-02	0	0	6.233125e+01	4.589446e+02	NDUFB8;NDUFC2
GO_Biological_Process_2023	Peptide Biosynthetic Process (GO:0043043)	3/158	6.671283e-04	2.119407e-02	0	0	2.019321e+01	1.476634e+02	RPS17;MRPL12;RPS10
GO_Biological_Process_2023	Retina Homeostasis (GO:0001895)	2/39	8.350316e-04	2.119407e-02	0	0	5.389459e+01	3.820071e+02	IGKC;IGHA1
GO_Biological_Process_2023	Macromolecule Biosynthetic Process (GO:0009059)	3/183	1.020944e-03	2.119407e-02	0	0	1.736667e+01	1.196047e+02	RPS17;MRPL12;RPS10
GO_Biological_Process_2023	NADH Dehydrogenase Complex Assembly (GO:0010257)	2/53	1.538469e-03	2.119407e-02	0	0	3.907255e+01	2.530716e+02	NDUFB8;NDUFC2
GO_Biological_Process_2023	Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	2/53	1.538469e-03	2.119407e-02	0	0	3.907255e+01	2.530716e+02	NDUFB8;NDUFC2
GO_Biological_Process_2023	Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981)	2/53	1.538469e-03	2.119407e-02	0	0	3.907255e+01	2.530716e+02	NDUFB8;NDUFC2
GO_Biological_Process_2023	Chemokine-Mediated Signaling Pathway (GO:0070098)	2/57	1.777120e-03	2.119407e-02	0	0	3.622364e+01	2.293956e+02	CCL13;CXCL1
GO_Biological_Process_2023	Aerobic Respiration (GO:0009060)	2/59	1.902639e-03	2.119407e-02	0	0	3.494912e+01	2.189393e+02	NDUFB8;NDUFC2
GO_Biological_Process_2023	Cellular Response To Chemokine (GO:1990869)	2/59	1.902639e-03	2.119407e-02	0	0	3.494912e+01	2.189393e+02	CCL13;CXCL1
GO_Biological_Process_2023	Proton Motive Force-Driven ATP Synthesis (GO:0015986)	2/60	1.966939e-03	2.119407e-02	0	0	3.434483e+01	2.140121e+02	NDUFB8;NDUFC2
GO_Biological_Process_2023	Translation (GO:0006412)	3/234	2.065866e-03	2.119407e-02	0	0	1.349761e+01	8.344499e+01	RPS17;MRPL12;RPS10
GO_Biological_Process_2023	Oxidative Phosphorylation (GO:0006119)	2/63	2.165975e-03	2.119407e-02	0	0	3.265082e+01	2.003090e+02	NDUFB8;NDUFC2
GO_Biological_Process_2023	Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)	2/65	2.303759e-03	2.119407e-02	0	0	3.161111e+01	1.919810e+02	CCL13;CXCL1
GO_Biological_Process_2023	Aerobic Electron Transport Chain (GO:0019646)	2/68	2.518032e-03	2.119407e-02	0	0	3.016970e+01	1.805438e+02	NDUFB8;NDUFC2
GO_Biological_Process_2023	Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	2/70	2.665921e-03	2.119407e-02	0	0	2.927941e+01	1.735451e+02	NDUFB8;NDUFC2
GO_Biological_Process_2023	Neutrophil Chemotaxis (GO:0030593)	2/70	2.665921e-03	2.119407e-02	0	0	2.927941e+01	1.735451e+02	CCL13;CXCL1
GO_Biological_Process_2023	Granulocyte Chemotaxis (GO:0071621)	2/73	2.895273e-03	2.192135e-02	0	0	2.803803e+01	1.638732e+02	CCL13;CXCL1
GO_Biological_Process_2023	Neutrophil Migration (GO:1990266)	2/77	3.215023e-03	2.323585e-02	0	0	2.653733e+01	1.523222e+02	CCL13;CXCL1
GO_Biological_Process_2023	Cellular Respiration (GO:0045333)	2/85	3.901842e-03	2.657929e-02	0	0	2.396988e+01	1.329443e+02	NDUFB8;NDUFC2
GO_Biological_Process_2023	Gene Expression (GO:0010467)	3/296	4.011968e-03	2.657929e-02	0	0	1.060805e+01	5.854023e+01	RPS17;MRPL12;RPS10
GO_Biological_Process_2023	Mitochondrial Respiratory Chain Complex Assembly (GO:0033108)	2/90	4.362764e-03	2.774718e-02	0	0	2.260227e+01	1.228354e+02	NDUFB8;NDUFC2
GO_Biological_Process_2023	Cytoplasmic Translation (GO:0002181)	2/93	4.650876e-03	2.844190e-02	0	0	2.185385e+01	1.173704e+02	RPS17;RPS10
GO_Biological_Process_2023	Regulation Of Protein Targeting (GO:1903533)	1/5	5.488389e-03	3.232052e-02	0	0	2.377857e+02	1.237703e+03	PARL
GO_Biological_Process_2023	Atrioventricular Valve Formation (GO:0003190)	1/6	6.582617e-03	3.737986e-02	0	0	1.902190e+02	9.555317e+02	ZFPM1
GO_Biological_Process_2023	Regulation Of Establishment Of Protein Localization To Mitochondrion (GO:1903747)	1/7	7.675696e-03	4.208399e-02	0	0	1.585079e+02	7.718855e+02	PARL
GO_Biological_Process_2023	Vitamin K Metabolic Process (GO:0042373)	1/8	8.767628e-03	4.496945e-02	0	0	1.358571e+02	6.435130e+02	VKORC1
GO_Biological_Process_2023	Positive Regulation Of Respiratory Burst (GO:0060267)	1/8	8.767628e-03	4.496945e-02	0	0	1.358571e+02	6.435130e+02	IGHA1
GO_Biological_Process_2023	Quinone Metabolic Process (GO:1901661)	1/9	9.858413e-03	4.749962e-02	0	0	1.188690e+02	5.491073e+02	VKORC1
GO_Biological_Process_2023	Mitral Valve Morphogenesis (GO:0003183)	1/9	9.858413e-03	4.749962e-02	0	0	1.188690e+02	5.491073e+02	ZFPM1
GO_Biological_Process_2023	Regulation Of Respiratory Burst (GO:0060263)	1/10	1.094805e-02	4.835390e-02	0	0	1.056561e+02	4.769943e+02	IGHA1
