Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Hippo signaling pathway	26/163	2.332434e-08	6.600789e-06	0	0	4.068914e+00	7.150615e+01	YAP1;BMPR2;WWC1;PARD6G;SAV1;GLI2;PPP1CB;PPP2CB;RASSF2;DVL1;WNT4;FZD1;WWTR1;FZD2;TGFB3;WNT5A;AXIN1;FZD8;CSNK1E;AXIN2;WTIP;TGFBR1;SMAD7;DLG2;DLG4;CTNNB1
KEGG_2021_Human	Pathways in cancer	49/531	2.238748e-06	3.167829e-04	0	0	2.197079e+00	2.858310e+01	CXCL8;PTEN;GLI1;FGF2;GLI2;CASP3;EP300;PRKACA;IFNAR2;ARHGEF11;HGF;WNT5A;AXIN1;AXIN2;TGFBR1;RUNX1;ADCY9;COL4A4;PLCB1;SOS1;NOTCH3;PTGER3;PIK3R2;PTGS2;ADCY7;RASGRP1;MAPK9;RXRA;GNA11;DVL1;GNA12;HES5;RUNX1T1;WNT4;FZD1;JAG2;FZD2;EGLN2;TGFB3;FZD8;VEGFC;VEGFA;RAD51;GNAQ;GSTA1;FGF18;GNB1;GNAS;CTNNB1
KEGG_2021_Human	Wnt signaling pathway	22/166	6.652649e-06	5.404905e-04	0	0	3.259603e+00	3.885609e+01	TLE4;FZD1;FZD2;MMP7;RYK;CSNK2A2;WNT5A;AXIN1;FZD8;CSNK1E;AXIN2;NLK;PRICKLE4;MAPK9;TBL1XR1;CSNK2B;DVL1;EP300;CTNNB1;PRKACA;PLCB1;WNT4
KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	20/143	7.639442e-06	5.404905e-04	0	0	3.465242e+00	4.082812e+01	ACVR1;FZD1;FZD2;BMPR2;WNT5A;LIF;AXIN1;FZD8;PIK3R2;AXIN2;BMI1;FGF2;ACVR2A;KAT6A;DVL1;CTNNB1;TCF3;JARID2;SKIL;WNT4
KEGG_2021_Human	Notch signaling pathway	11/59	6.141066e-05	3.475843e-03	0	0	4.854051e+00	4.707423e+01	LFNG;TLE4;JAG2;KAT2B;NOTCH3;ATXN1;DVL1;EP300;RFNG;DTX4;HES5
KEGG_2021_Human	MAPK signaling pathway	29/294	8.081264e-05	3.811663e-03	0	0	2.338359e+00	2.203524e+01	CACNA1C;NLK;FGF2;RASGRP1;ELK4;RPS6KA3;MAPK9;RRAS;IRAK1;CASP3;GNA12;PRKACA;MAP4K4;MEF2C;JUND;MAP3K1;IL1R1;TGFB3;INSR;HGF;VEGFC;TGFBR1;DUSP7;VEGFA;EFNA3;FGF18;RAPGEF2;SOS1;HSPA1B
KEGG_2021_Human	Basal cell carcinoma	11/63	1.144723e-04	3.990653e-03	0	0	4.479721e+00	4.065427e+01	FZD1;FZD2;WNT5A;DVL1;AXIN1;FZD8;CTNNB1;AXIN2;GLI1;GLI2;WNT4
KEGG_2021_Human	Human papillomavirus infection	31/331	1.218938e-04	3.990653e-03	0	0	2.208912e+00	1.990751e+01	NOTCH3;PTEN;PARD6G;PIK3R2;RFNG;PTGS2;LFNG;PPP2CB;CASP3;DVL1;EP300;ITGB6;PRKACA;HES5;WNT4;FZD1;IFNAR2;FZD2;WNT5A;AXIN1;FZD8;PPP2R3B;AXIN2;PPP2R5C;VEGFA;DLG2;COL4A4;GNAS;CTNNB1;ATM;SOS1
KEGG_2021_Human	Breast cancer	18/147	1.269112e-04	3.990653e-03	0	0	2.966055e+00	2.661151e+01	FZD1;JAG2;NOTCH3;SHC2;FZD2;WNT5A;PTEN;AXIN1;FZD8;PIK3R2;AXIN2;FGF2;DVL1;FGF18;CTNNB1;SOS1;HES5;WNT4
KEGG_2021_Human	Gastric cancer	18/149	1.509340e-04	4.271432e-03	0	0	2.920463e+00	2.569619e+01	FZD1;SHC2;FZD2;TGFB3;HGF;WNT5A;AXIN1;FZD8;PIK3R2;AXIN2;FGF2;TGFBR1;RXRA;DVL1;FGF18;CTNNB1;SOS1;WNT4
