Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),146/1922,2.805892812661648e-10,9.063033784897124e-07,0,0,1.8630046931748503,40.97516582562576,WWC1;SCX;UBP1;JADE3;PRDM1;IKZF2;FGF2;IKZF4;ELK3;ELK4;RPS6KA3;SOX18;BASP1;SALL4;EP300;KMT5A;PITX1;ACVR1;MEF2C;WNT5A;DYRK1A;RFX1;POU3F1;MED6;SAP30;RUNX1;EID2;MAF;TBL1XR1;KAT6A;DGKQ;HOXB3;HOXB5;INO80B;SET;TSHZ3;TWIST1;MRPL12;NPAS2;GLIS2;ATXN1;ATXN7;NACC2;DVL1;HOXC4;ZNF787;ZBED6;PATZ1;ZNF268;ZBTB7A;WNT4;HEXIM1;ZBTB18;FZD1;WWTR1;EGR3;FZD2;JUND;FOXF2;PHF10;CBX4;SMURF2;TGFB3;CBX3;INSR;PBX3;IRF2BP2;NR2F2;POU6F1;SMAD7;TADA2B;HNRNPD;CREBRF;MAP3K10;MDM4;TCF4;TCF3;ZNF653;ZNF652;MXD4;TENM1;BNC2;BHLHE41;SUMO4;TCF20;GLI1;GLI2;MED13;SIX4;NKRF;TRPS1;ZNF280C;SPIN1;ARHGEF11;ZHX2;BATF3;KLF13;FOXD1;ATMIN;MSL2;AXIN1;ZFP91;COMMD7;TGFBR1;MSL1;MED22;KAT2B;AEBP2;TFEC;WAC;ZNF117;PLCB1;SOS1;YAP1;FOXC2;NFAT5;FOXC1;CEBPB;NFIX;FOXK1;HOXD11;HOXD10;ZBTB41;PURB;PURA;RXRA;SAP30L;ZNF626;METTL4;MSX1;HES5;RUNX1T1;MBD3;FBXL19;MBD2;ARID3A;WTIP;SOD2;GATAD2A;TBX2;RYBP;CTNNB1;CDK2AP1;ZNF697;TRIM33;LIMS1
GO_Biological_Process_2023,Regulation Of Transcription By RNA Polymerase II (GO:0006357),150/2028,1.00115720831604e-09,1.4910132885616482e-06,0,0,1.8088952412981336,37.48412489823282,WWC1;SCX;UBP1;JADE3;PRDM1;IKZF2;GABPB1;FGF2;IKZF4;ELK3;ELK4;RPS6KA3;SOX18;SALL4;NFATC2IP;EP300;KMT5A;PITX1;IER5;ACVR1;MEF2C;HGF;ZBTB37;LMO2;WNT5A;ZBTB34;DICER1;RFX1;POU3F1;MED6;SAP30;RUNX1;MAF;TBL1XR1;DGKQ;HOXB3;ZFPM1;HOXB5;TSHZ3;TWIST1;PIK3R2;BHLHE22;NPAS2;GLIS2;ATXN1;ATXN7;NACC2;DVL1;HOXC4;ZNF787;ZBED6;PATZ1;ZNF268;ZBTB7A;HEXIM1;ZBTB18;WWTR1;EGR3;JUND;FOXF2;PHF10;CBX4;SMURF2;TGFB3;CBX3;PBX3;NR2F1;LIF;IRF2BP2;NR2F2;NR2F6;POU6F1;SMAD7;TADA2B;DAB2;AGO1;CREBRF;MDM4;TCF4;ATM;TCF3;ZNF653;ZNF652;MXD4;ZNF254;BMPR2;BHLHE41;TCF20;BMI1;GLI1;MYSM1;GLI2;IRF2BPL;FLCN;MED13;SIX4;NKRF;TRPS1;DACT1;ZHX2;RBM14;BATF3;KLF13;FOXD1;ATMIN;TET2;ZFP91;GREM1;KAT2B;AEBP2;TET3;TFEC;SOS1;TLR4;RHOQ;YAP1;FOXC2;NFAT5;FOXC1;CEBPB;NFIX;FOXK1;HOXD11;HOXD10;ZBTB41;PURB;PURA;RXRA;SAP30L;ZNF469;MSX1;SAMD1;HES5;MBD3;PRRX1;FBXL19;MBD2;ARID3A;SOD2;MEIS2;ACVR2A;GATAD2A;TBX2;VEGFA;CTNNB1;CDK2AP1;HDGF;ZNF697;SSBP3;TRIM33
GO_Biological_Process_2023,Negative Regulation Of DNA-templated Transcription (GO:0045892),90/1025,1.3848420636795492e-09,1.4910132885616482e-06,0,0,2.1311464718925266,43.47044320684208,ZNF254;WWC1;BHLHE41;SUMO4;PRDM1;BMI1;IKZF4;ELK3;GLI2;IRF2BPL;ELK4;FLCN;SIX4;NKRF;SOX18;BASP1;TRPS1;EP300;KMT5A;DACT1;MEF2C;ZHX2;BATF3;FOXD1;ZBTB37;WNT5A;ZBTB34;DICER1;COMMD7;SAP30;RUNX1;EID2;MAF;WDR82;TBL1XR1;KAT6A;TFEC;PLCB1;ZFPM1;YAP1;FOXC2;FOXC1;CEBPB;SET;NFIX;TSHZ3;TWIST1;FOXK1;GLIS2;PURA;ATXN1;RXRA;NACC2;SAP30L;ZNF469;SAMD1;ZBED6;PATZ1;ZNF268;ZBTB7A;HES5;RUNX1T1;WNT4;HEXIM1;MBD3;ZBTB18;JUND;CBX4;SMURF2;CBX3;MBD2;NR2F1;IRF2BP2;NR2F2;MEIS2;GATAD2A;NR2F6;TBX2;VEGFA;POU6F1;SMAD7;DAB2;MAP3K10;CTNNB1;MDM4;HDGF;TCF3;TRIM33;LIMS1;MXD4
GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription (GO:0045893),101/1243,8.054834861990591e-09,6.5042791510574026e-06,0,0,1.9621075509969927,36.56778532464776,SCX;UBP1;GABPB1;FGF2;ELK3;ELK4;RPS6KA3;SOX18;NFATC2IP;EP300;IER5;ACVR1;MEF2C;HGF;LMO2;WNT5A;DYRK1A;POU3F1;MED6;RUNX1;TBL1XR1;KAT6A;HOXB3;ZFPM1;INO80B;TWIST1;PIK3R2;BHLHE22;MRPL12;NPAS2;GLIS2;ATXN7;DVL1;HOXC4;ZNF268;WNT4;ZBTB18;FZD1;WWTR1;FZD2;JUND;FOXF2;TGFB3;NR2F1;LIF;NR2F2;TADA2B;DAB2;AGO1;HNRNPD;CREBRF;TCF4;ATM;TCF3;BMPR2;TCF20;GLI1;MYSM1;GLI2;IRF2BPL;FLCN;MED13;SIX4;NKRF;SPIN1;ARHGEF11;RBM14;ATMIN;MSL2;TET2;AXIN1;TGFBR1;MSL1;GREM1;MED22;KAT2B;TET3;TFEC;WAC;PLCB1;TLR4;RHOQ;YAP1;FOXC2;NFAT5;FOXC1;CEBPB;NFIX;FOXK1;RXRA;HES5;MBD3;PRRX1;MBD2;MEIS2;ACVR2A;GATAD2A;VEGFA;RYBP;CTNNB1;SSBP3
GO_Biological_Process_2023,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),69/763,4.128649618565564e-08,2.6671076535933545e-05,0,0,2.1747884876999044,36.97734224490549,ZNF254;WWC1;BHLHE41;PRDM1;BMI1;GLI2;IRF2BPL;ELK4;FLCN;SOX18;TRPS1;EP300;KMT5A;DACT1;MEF2C;BATF3;ZHX2;ZBTB37;ZBTB34;DICER1;SAP30;RUNX1;MAF;TBL1XR1;TFEC;ZFPM1;YAP1;FOXC2;CEBPB;FOXC1;NFIX;TWIST1;GLIS2;PURA;ATXN1;RXRA;NACC2;SAP30L;ZNF469;SAMD1;PATZ1;ZBED6;ZBTB7A;ZNF268;HES5;HEXIM1;MBD3;ZBTB18;JUND;CBX4;SMURF2;CBX3;MBD2;NR2F1;IRF2BP2;NR2F2;MEIS2;NR2F6;POU6F1;GATAD2A;TBX2;VEGFA;SMAD7;DAB2;MDM4;HDGF;TCF3;TRIM33;MXD4
GO_Biological_Process_2023,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),54/557,1.4188531642076786e-07,7.638159533984669e-05,0,0,2.331102172014641,36.75739421630465,SCX;GLI1;FGF2;GLI2;MED13;SIX4;SOX18;SPIN1;EP300;ACVR1;ARHGEF11;MEF2C;ATMIN;WNT5A;DYRK1A;MSL2;AXIN1;POU3F1;TGFBR1;MSL1;RUNX1;KAT2B;MED22;TBL1XR1;KAT6A;WAC;PLCB1;YAP1;INO80B;FOXC2;CEBPB;FOXC1;FOXK1;MRPL12;NPAS2;GLIS2;RXRA;ATXN7;HES5;WNT4;FZD1;MBD3;FZD2;FOXF2;TGFB3;MBD2;NR2F2;GATAD2A;TADA2B;RYBP;HNRNPD;CTNNB1;TCF4;TCF3
GO_Biological_Process_2023,Positive Regulation Of Cell Differentiation (GO:0045597),33/283,7.379370668154062e-07,0.00034050524654482314,0,0,2.835667046750285,40.037937975585,YAP1;FOXC1;CEBPB;BMPR2;TWIST1;RPS6KA3;BLOC1S5;MAPK9;GJA1;BLOC1S6;RRAS;GCNT2;ZNF268;WNT4;ACVR1;MSR1;WWTR1;MEF2C;PHF10;TGFB3;HGF;PLA2G2A;AXIN2;TGFBR1;ACVR2A;SLC6A6;DAB2;RAPGEF2;CTNNB1;TCF4;TCF3;PLCB1;DDR2
GO_Biological_Process_2023,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),75/938,1.4142484944706766e-06,0.0005710028296425357,0,0,1.897051782876888,25.55122403002988,BMPR2;SCX;UBP1;TCF20;GABPB1;GLI1;MYSM1;FGF2;ELK3;GLI2;IRF2BPL;ELK4;FLCN;RPS6KA3;MED13;NKRF;SOX18;NFATC2IP;EP300;IER5;ACVR1;MEF2C;RBM14;ATMIN;HGF;LMO2;WNT5A;TET2;MED6;RUNX1;GREM1;MED22;KAT2B;TBL1XR1;TET3;TFEC;HOXB3;ZFPM1;TLR4;RHOQ;YAP1;FOXC2;NFAT5;FOXC1;CEBPB;NFIX;TWIST1;PIK3R2;BHLHE22;GLIS2;RXRA;DVL1;HOXC4;ZNF268;ZBTB18;WWTR1;JUND;PRRX1;FOXF2;TAF13;TGFB3;NR2F1;LIF;NR2F2;MEIS2;ACVR2A;VEGFA;DAB2;AGO1;CREBRF;CTNNB1;TCF4;ATM;TCF3;SSBP3
GO_Biological_Process_2023,Circulatory System Development (GO:0072359),20/132,2.186291220388827e-06,0.0007475133706489875,0,0,3.807784911717496,49.62801815505009,FOXC2;MEF2C;MKKS;FOXC1;FBXW7;NXN;PTEN;CACNA1C;TGFBR1;PRICKLE4;POU6F1;GLI2;KAT2B;GJA1;COL3A1;SOX18;DVL1;APLNR;DZIP1;ZFPM1
GO_Biological_Process_2023,Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),44/456,2.3142828812662157e-06,0.0007475133706489875,0,0,2.303392452745577,29.889766444599704,SET;TSHZ3;BHLHE41;SUMO4;TWIST1;FOXK1;IKZF4;ELK3;GLIS2;ATXN1;SIX4;SOX18;NKRF;BASP1;NACC2;KMT5A;PATZ1;ZBED6;ZBTB7A;RUNX1T1;WNT4;HEXIM1;MBD3;ZBTB18;ZHX2;FOXD1;CBX4;SMURF2;CBX3;MBD2;WNT5A;NR2F2;COMMD7;GATAD2A;TBX2;EID2;KAT6A;MAP3K10;CTNNB1;MDM4;PLCB1;ZNF653;TRIM33;LIMS1
GO_Biological_Process_2023,Positive Regulation Of Developmental Process (GO:0051094),28/233,2.7917514882894844e-06,0.0008197597551977304,0,0,2.924506387921022,37.40104832605597,CEBPB;BMPR2;FMR1;SCX;VLDLR;RPS6KA3;GJA1;BASP1;SAP30L;DVL1;LLPH;ZNF268;TAPT1;ACVR1;FOXD1;PHF10;SMURF2;INSR;WNT5A;VEGFA;SAP30;SLC6A6;DLG4;CTNNB1;SPIRE1;PLCB1;SHANK3;B4GALT5
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),42/434,3.637767583526806e-06,0.0009791657745659651,0,0,2.308015141540487,28.90590559879244,FAM89B;PTEN;STC1;TWIST1;ADARB1;SEMA3F;FGF2;ROBO1;FLCN;CLN3;SAP30L;GNA12;GCNT2;MGAT3;HAS2;PLXNA1;PLXNC1;ZNF268;ARPIN;PLXNA3;MAP4K4;ACVR1;NTNG2;TCAF1;MMP7;INSR;RCC2;HGF;SULF1;SOD2;MAPK15;TGFBR1;SAP30;VEGFA;SMAD7;DAB2;RAP2A;RUFY3;FGF18;CDH11;SPRY2;ATM
GO_Biological_Process_2023,Heart Development (GO:0007507),22/171,1.077544494452426e-05,0.0026772836285241,0,0,3.149389322208114,36.02347290078555,FOXC2;MEF2C;MKKS;FOXC1;BMPR2;INSR;PTEN;CACNA1C;TGFBR1;PRICKLE4;POU6F1;GLI2;TBX2;VEGFA;KAT2B;GJA1;COL3A1;SOX18;DVL1;APLNR;DZIP1;ZFPM1
GO_Biological_Process_2023,Sprouting Angiogenesis (GO:0002040),11/52,1.7726714516683585e-05,0.0040898062777777,0,0,5.684880219213761,62.1950782198744,GREM1;ESM1;EGR3;YJEFN3;ADGRA2;OTULIN;VEGFC;NRARP;FGF2;ROBO1;VEGFA
GO_Biological_Process_2023,Regulation Of Epithelial To Mesenchymal Transition (GO:0010717),14/83,2.087693489903432e-05,0.004495499981592,0,0,4.307291666666667,46.419103399198775,WWTR1;FOXC1;TGFB3;PTEN;TWIST1;AXIN2;TGFBR1;SMAD7;GREM1;SPRED2;DAB2;GCNT2;CTNNB1;SPRY2
GO_Biological_Process_2023,Cellular Response To Growth Factor Stimulus (GO:0071363),20/155,2.562007015194103e-05,0.005172051661923,0,0,3.1552226383687056,33.35743818388522,ACVR1;MEF2C;FOXC1;EGR3;BMPR2;CXCL8;HGF;WNT5A;PTPN12;TGFBR1;ACVR2A;SMAD7;VEGFA;GAS1;RAPGEF2;HAS2;CTNNB1;SPRY2;WNT4;LIMS1
GO_Biological_Process_2023,Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032434),16/109,3.326736946684379e-05,0.0063208001987003,0,0,3.655817757571384,37.69489392272761,GSK3A;FOXF2;AXIN1;RNF19B;CSNK1E;AXIN2;SMAD7;DAB2;RYBP;DVL1;RNF217;GNA12;WAC;N4BP1;HSPA1B;SOCS5
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),59/766,5.614026940576464e-05,0.0100740594544788,0,0,1.802683256406889,17.644045732658114,TENM1;BMPR2;CXCL8;CELF1;REG1A;PTEN;SCX;ADARB1;GLI1;FGF2;CXCL5;ESM1;SIX4;SPEG;IER5;BOK;AXIN2;PPP2R5C;TGFBR1;RUNX1;GREM1;KAT2B;EID2;CSNK2B;RAPGEF2;SOS1;EEF1E1;FXN;YAP1;CUL3;C1ORF56;PDS5B;SAV1;NUAK1;NACC2;GCNT2;HAS2;ZNF268;SH2B3;HES5;JAG2;WWTR1;CGREF1;JUND;TGFB3;INSR;LIF;VEGFC;NAP1L1;SOD2;MAPK15;MEIS2;VEGFA;CNOT6;FGF18;CTNNB1;MDM4;HSPA1B;LIMS1
GO_Biological_Process_2023,Chordate Embryonic Development (GO:0043009),11/59,6.141065522630877e-05,0.0104398113884724,0,0,4.854050797182055,47.07423125607339,FLCN;SIX4;INTU;TGFB3;WNT5A;DVL1;SULF1;TGFBR1;HES5;DACT1;VEGFA
