Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Subtelomeric Heterochromatin Formation (GO:0031509)	1/5	9.996772e-04	1.498960e-02	0	0	1.666000e+03	1.150886e+04	EZH2
GO_Biological_Process_2023	Negative Regulation Of Retinoic Acid Receptor Signaling Pathway (GO:0048387)	1/6	1.199524e-03	1.498960e-02	0	0	1.332733e+03	8.963738e+03	EZH2
GO_Biological_Process_2023	UDP-N-acetylglucosamine Biosynthetic Process (GO:0006048)	1/8	1.599128e-03	1.498960e-02	0	0	9.518571e+02	6.128339e+03	GNPNAT1
GO_Biological_Process_2023	Constitutive Heterochromatin Formation (GO:0140719)	1/8	1.599128e-03	1.498960e-02	0	0	9.518571e+02	6.128339e+03	EZH2
GO_Biological_Process_2023	Amino Sugar Biosynthetic Process (GO:0046349)	1/9	1.798886e-03	1.498960e-02	0	0	8.328333e+02	5.263996e+03	GNPNAT1
GO_Biological_Process_2023	UDP-N-acetylglucosamine Metabolic Process (GO:0006047)	1/10	1.998613e-03	1.498960e-02	0	0	7.402593e+02	4.600935e+03	GNPNAT1
GO_Biological_Process_2023	Regulation Of Retinoic Acid Receptor Signaling Pathway (GO:0048385)	1/12	2.397979e-03	1.541558e-02	0	0	6.056061e+02	3.653700e+03	EZH2
GO_Biological_Process_2023	Nucleotide-Sugar Biosynthetic Process (GO:0009226)	1/15	2.996803e-03	1.685702e-02	0	0	4.757619e+02	2.764276e+03	GNPNAT1
GO_Biological_Process_2023	Positive Regulation Of Cell Cycle Phase Transition (GO:1901989)	1/17	3.395869e-03	1.697935e-02	0	0	4.162500e+02	2.366463e+03	EZH2
GO_Biological_Process_2023	Regulation Of Extracellular Matrix Organization (GO:1903053)	1/23	4.592351e-03	2.066558e-02	0	0	3.026364e+02	1.629201e+03	ZNF469
GO_Biological_Process_2023	Heterochromatin Formation (GO:0031507)	1/32	6.385056e-03	2.612068e-02	0	0	2.146774e+02	1.084936e+03	EZH2
GO_Biological_Process_2023	Heterochromatin Organization (GO:0070828)	1/39	7.777708e-03	2.663106e-02	0	0	1.750702e+02	8.502272e+02	EZH2
