Cell_Type,Term,Gene_set,Adjusted_P_value,Combined_Score,Genes,Overlap
CMS3,Negative Regulation Of Cellular Process (GO:0048523),GO_Biological_Process_2023,0.0231521786764508,225.4246068049853,BMP4;FABP6;WFS1;TGFBI,4/537
CMS3,Regulation Of Branching Involved In Ureteric Bud Morphogenesis (GO:0090189),GO_Biological_Process_2023,0.0398289904975447,847.7046615380154,BMP4,1/14
CMS3,Positive Regulation Of Collagen Biosynthetic Process (GO:0032967),GO_Biological_Process_2023,0.0398289904975447,776.212425317664,BMP4,1/15
CMS3,Cell Surface Receptor Signaling Pathway Involved In Heart Development (GO:0061311),GO_Biological_Process_2023,0.0398289904975447,714.9125872208035,BMP4,1/16
CMS3,Positive Regulation Of Collagen Metabolic Process (GO:0010714),GO_Biological_Process_2023,0.0398289904975447,714.9125872208035,BMP4,1/16
CMS3,Regulation Of Nucleocytoplasmic Transport (GO:0046822),GO_Biological_Process_2023,0.0398289904975447,714.9125872208035,BMP4,1/16
CMS3,Sulfur Amino Acid Metabolic Process (GO:0000096),GO_Biological_Process_2023,0.0398289904975447,661.8190142974174,DPEP1,1/17
CMS3,Mesenchyme Development (GO:0060485),GO_Biological_Process_2023,0.0398289904975447,661.8190142974174,BMP4,1/17
CMS3,Positive Regulation Of SMAD Protein Signal Transduction (GO:0060391),GO_Biological_Process_2023,0.0398289904975447,661.8190142974174,BMP4,1/17
CMS3,Muscle Tissue Morphogenesis (GO:0060415),GO_Biological_Process_2023,0.0398289904975447,661.8190142974174,BMP4,1/17
Tip-like ECs,Subtelomeric Heterochromatin Formation (GO:0031509),GO_Biological_Process_2023,0.0149896003256745,11508.858100931304,EZH2,1/5
Tip-like ECs,Negative Regulation Of Retinoic Acid Receptor Signaling Pathway (GO:0048387),GO_Biological_Process_2023,0.0149896003256745,8963.738320936684,EZH2,1/6
Tip-like ECs,UDP-N-acetylglucosamine Biosynthetic Process (GO:0006048),GO_Biological_Process_2023,0.0149896003256745,6128.338526995007,GNPNAT1,1/8
Tip-like ECs,Constitutive Heterochromatin Formation (GO:0140719),GO_Biological_Process_2023,0.0149896003256745,6128.338526995007,EZH2,1/8
Tip-like ECs,Amino Sugar Biosynthetic Process (GO:0046349),GO_Biological_Process_2023,0.0149896003256745,5263.9961892645415,GNPNAT1,1/9
Tip-like ECs,UDP-N-acetylglucosamine Metabolic Process (GO:0006047),GO_Biological_Process_2023,0.0149896003256745,4600.934595868677,GNPNAT1,1/10
Tip-like ECs,Regulation Of Retinoic Acid Receptor Signaling Pathway (GO:0048385),GO_Biological_Process_2023,0.0154155780074817,3653.699524747979,EZH2,1/12
Tip-like ECs,Nucleotide-Sugar Biosynthetic Process (GO:0009226),GO_Biological_Process_2023,0.0168570155178666,2764.2762463526265,GNPNAT1,1/15
Tip-like ECs,Positive Regulation Of Cell Cycle Phase Transition (GO:1901989),GO_Biological_Process_2023,0.0169793461976877,2366.4626333406177,EZH2,1/17
Tip-like ECs,Regulation Of Extracellular Matrix Organization (GO:1903053),GO_Biological_Process_2023,0.0206655796508459,1629.2014564159526,ZNF469,1/23
Spp1+,B Cell Receptor Signaling Pathway (GO:0050853),GO_Biological_Process_2023,0.0027038367657088,803.8895642022711,IGHG1;IGKC;IGHA1,3/46
Spp1+,Antimicrobial Humoral Response (GO:0019730),GO_Biological_Process_2023,0.0138576446404456,280.0818212549987,CCL13;CXCL1;IGHA1,3/100
Spp1+,Neutrophil Chemotaxis (GO:0030593),GO_Biological_Process_2023,0.0211940731901336,173.5450943005154,CCL13;CXCL1,2/70
Spp1+,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),GO_Biological_Process_2023,0.0211940731901336,173.5450943005154,NDUFB8;NDUFC2,2/70
Spp1+,Aerobic Electron Transport Chain (GO:0019646),GO_Biological_Process_2023,0.0211940731901336,180.5438416371124,NDUFB8;NDUFC2,2/68
Spp1+,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),GO_Biological_Process_2023,0.0211940731901336,191.98101622282036,CCL13;CXCL1,2/65
Spp1+,Oxidative Phosphorylation (GO:0006119),GO_Biological_Process_2023,0.0211940731901336,200.30901302971847,NDUFB8;NDUFC2,2/63
Spp1+,Translation (GO:0006412),GO_Biological_Process_2023,0.0211940731901336,83.44498612690387,RPS17;MRPL12;RPS10,3/234
Spp1+,Cellular Response To Chemokine (GO:1990869),GO_Biological_Process_2023,0.0211940731901336,218.93925214748256,CCL13;CXCL1,2/59
Spp1+,Aerobic Respiration (GO:0009060),GO_Biological_Process_2023,0.0211940731901336,218.93925214748256,NDUFB8;NDUFC2,2/59
Mast cells,B Cell Receptor Signaling Pathway (GO:0050853),GO_Biological_Process_2023,4.477544736130391e-05,1442.4274834555008,IGHG1;IGKC;IGLC3;IGHA1,4/46
Mast cells,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),GO_Biological_Process_2023,0.0016418360015883,332.8197563291956,IGHG1;IGKC;IGLC3;IGHA1,4/134
Mast cells,Cytoplasmic Translation (GO:0002181),GO_Biological_Process_2023,0.0108893330212167,271.5588869264088,RPS17;RPS29;RPS10,3/93
Mast cells,Ribosome,KEGG_2021_Human,0.0182007890372071,128.80567733787137,RPS17;RPS29;RPS10,3/158
Mast cells,Coronavirus disease,KEGG_2021_Human,0.027349914351687,73.30186353139706,RPS17;RPS29;RPS10,3/232
Mast cells,Peptide Biosynthetic Process (GO:0043043),GO_Biological_Process_2023,0.0354308095493737,128.80567733787137,RPS17;RPS29;RPS10,3/158
Mast cells,Retina Homeostasis (GO:0001895),GO_Biological_Process_2023,0.0354308095493737,338.6455019929658,IGKC;IGHA1,2/39
Mast cells,Macromolecule Biosynthetic Process (GO:0009059),GO_Biological_Process_2023,0.0392758546588504,104.12019503521132,RPS17;RPS29;RPS10,3/183
Stromal 2,Regulation Of Protein Targeting (GO:1903533),GO_Biological_Process_2023,0.0456797194636463,4436.855317641398,PARL,1/5
Stromal 2,Proton Motive Force-Driven ATP Synthesis (GO:0015986),GO_Biological_Process_2023,0.0456797194636463,180.50838890404887,NDUFB8,1/60
Stromal 2,Aerobic Respiration (GO:0009060),GO_Biological_Process_2023,0.0456797194636463,184.44644096582127,NDUFB8,1/59
Stromal 2,Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000377),GO_Biological_Process_2023,0.0456797194636463,197.21169430337932,PARL,1/56
Stromal 2,Peptide Metabolic Process (GO:0006518),GO_Biological_Process_2023,0.0456797194636463,197.21169430337932,PARL,1/56
Stromal 2,Pattern Recognition Receptor Signaling Pathway (GO:0002221),GO_Biological_Process_2023,0.0456797194636463,197.21169430337932,LACC1,1/56
Stromal 2,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),GO_Biological_Process_2023,0.0456797194636463,211.60815123277547,NDUFB8,1/53
Stromal 2,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),GO_Biological_Process_2023,0.0456797194636463,211.60815123277547,NDUFB8,1/53
Stromal 2,NADH Dehydrogenase Complex Assembly (GO:0010257),GO_Biological_Process_2023,0.0456797194636463,211.60815123277547,NDUFB8,1/53
Stromal 2,Regulation Of Proteolysis (GO:0030162),GO_Biological_Process_2023,0.0456797194636463,216.82236865801656,PARL,1/52
Dendritic cells,IL-17 signaling pathway,KEGG_2021_Human,9.584053431829174e-05,854.3766169077289,CXCL8;JUND;CXCL1;PTGS2,4/94
Dendritic cells,Kaposi sarcoma-associated herpesvirus infection,KEGG_2021_Human,0.0008328938668845684,319.38461367188086,CXCL8;CXCL1;PTGS2;VEGFA,4/193
Dendritic cells,NF-kappa B signaling pathway,KEGG_2021_Human,0.0017358252148683,360.5622011335209,CXCL8;CXCL1;PTGS2,3/104
Dendritic cells,Rheumatoid arthritis,KEGG_2021_Human,0.0017358252148683,419.5596960451344,CXCL8;CXCL1;VEGFA,3/93
Dendritic cells,Cytokine-cytokine receptor interaction,KEGG_2021_Human,0.0017358252148683,174.45434410343694,IL1RN;CXCL8;TNFRSF9;CXCL1,4/295
Dendritic cells,B Cell Receptor Signaling Pathway (GO:0050853),GO_Biological_Process_2023,0.0030199158473711,1076.768024485912,IGHG3;IGHG1;IGKC,3/46
Dendritic cells,Induction Of Positive Chemotaxis (GO:0050930),GO_Biological_Process_2023,0.0057073492825913,3208.634562990342,CXCL8;VEGFA,2/10
Dendritic cells,Bladder cancer,KEGG_2021_Human,0.0073728451469698,472.6783914538256,CXCL8;VEGFA,2/41
Dendritic cells,Positive Regulation Of Positive Chemotaxis (GO:0050927),GO_Biological_Process_2023,0.0075855537695416,1658.6557887027404,CXCL8;VEGFA,2/16
Dendritic cells,Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090050),GO_Biological_Process_2023,0.0075855537695416,1658.6557887027404,PTGS2;VEGFA,2/16
Mature Enterocytes type 2,Antimicrobial Humoral Response (GO:0019730),GO_Biological_Process_2023,3.33103411960079e-07,686.6349997800381,IGHM;CCL13;REG1B;REG1A;RNASE6;IGHA1;S100A9;JCHAIN,8/100
Mature Enterocytes type 2,B Cell Receptor Signaling Pathway (GO:0050853),GO_Biological_Process_2023,1.2758153044004494e-06,1033.869470698855,IGHG3;IGHM;IGHG1;IGKC;IGLC3;IGHA1,6/46
Mature Enterocytes type 2,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),GO_Biological_Process_2023,0.0002558650636734599,394.7386240132848,CCL13;REG1B;REG1A;RNASE6;S100A9,5/65
Mature Enterocytes type 2,Defense Response To Bacterium (GO:0042742),GO_Biological_Process_2023,0.0003177844424297728,165.9323020674609,IGHM;NOS2;RNASE6;LCN2;IGHA1;S100A9;JCHAIN,7/204
Mature Enterocytes type 2,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),GO_Biological_Process_2023,0.0003177844424297728,213.02002780451264,IGHG3;IGHM;IGHG1;IGKC;IGLC3;IGHA1,6/134
Mature Enterocytes type 2,Retina Homeostasis (GO:0001895),GO_Biological_Process_2023,0.0004746736798602353,480.2031700149488,IGHG3;IGKC;IGHA1;JCHAIN,4/39
Mature Enterocytes type 2,Antibacterial Humoral Response (GO:0019731),GO_Biological_Process_2023,0.0010244707917557,344.6546554446435,IGHM;RNASE6;IGHA1;JCHAIN,4/49
Mature Enterocytes type 2,Cellular Response To Type II Interferon (GO:0071346),GO_Biological_Process_2023,0.0029335337170538,223.2659916482181,CCL13;CCL20;CCL18;AIF1,4/66
Mature Enterocytes type 2,Neutrophil Chemotaxis (GO:0030593),GO_Biological_Process_2023,0.0032873083834842,204.79780881956512,CCL13;CCL20;CCL18;S100A9,4/70
Mature Enterocytes type 2,Granulocyte Chemotaxis (GO:0071621),GO_Biological_Process_2023,0.0034881973634825,192.53612079055827,CCL13;CCL20;CCL18;S100A9,4/73
Stromal 3,Regulation Of DNA-templated Transcription (GO:0006355),GO_Biological_Process_2023,9.063033784897124e-07,40.97516582562576,WWC1;SCX;UBP1;JADE3;PRDM1;IKZF2;FGF2;IKZF4;ELK3;ELK4;RPS6KA3;SOX18;BASP1;SALL4;EP300;KMT5A;PITX1;ACVR1;MEF2C;WNT5A;DYRK1A;RFX1;POU3F1;MED6;SAP30;RUNX1;EID2;MAF;TBL1XR1;KAT6A;DGKQ;HOXB3;HOXB5;INO80B;SET;TSHZ3;TWIST1;MRPL12;NPAS2;GLIS2;ATXN1;ATXN7;NACC2;DVL1;HOXC4;ZNF787;ZBED6;PATZ1;ZNF268;ZBTB7A;WNT4;HEXIM1;ZBTB18;FZD1;WWTR1;EGR3;FZD2;JUND;FOXF2;PHF10;CBX4;SMURF2;TGFB3;CBX3;INSR;PBX3;IRF2BP2;NR2F2;POU6F1;SMAD7;TADA2B;HNRNPD;CREBRF;MAP3K10;MDM4;TCF4;TCF3;ZNF653;ZNF652;MXD4;TENM1;BNC2;BHLHE41;SUMO4;TCF20;GLI1;GLI2;MED13;SIX4;NKRF;TRPS1;ZNF280C;SPIN1;ARHGEF11;ZHX2;BATF3;KLF13;FOXD1;ATMIN;MSL2;AXIN1;ZFP91;COMMD7;TGFBR1;MSL1;MED22;KAT2B;AEBP2;TFEC;WAC;ZNF117;PLCB1;SOS1;YAP1;FOXC2;NFAT5;FOXC1;CEBPB;NFIX;FOXK1;HOXD11;HOXD10;ZBTB41;PURB;PURA;RXRA;SAP30L;ZNF626;METTL4;MSX1;HES5;RUNX1T1;MBD3;FBXL19;MBD2;ARID3A;WTIP;SOD2;GATAD2A;TBX2;RYBP;CTNNB1;CDK2AP1;ZNF697;TRIM33;LIMS1,146/1922
Stromal 3,Regulation Of Transcription By RNA Polymerase II (GO:0006357),GO_Biological_Process_2023,1.4910132885616482e-06,37.48412489823282,WWC1;SCX;UBP1;JADE3;PRDM1;IKZF2;GABPB1;FGF2;IKZF4;ELK3;ELK4;RPS6KA3;SOX18;SALL4;NFATC2IP;EP300;KMT5A;PITX1;IER5;ACVR1;MEF2C;HGF;ZBTB37;LMO2;WNT5A;ZBTB34;DICER1;RFX1;POU3F1;MED6;SAP30;RUNX1;MAF;TBL1XR1;DGKQ;HOXB3;ZFPM1;HOXB5;TSHZ3;TWIST1;PIK3R2;BHLHE22;NPAS2;GLIS2;ATXN1;ATXN7;NACC2;DVL1;HOXC4;ZNF787;ZBED6;PATZ1;ZNF268;ZBTB7A;HEXIM1;ZBTB18;WWTR1;EGR3;JUND;FOXF2;PHF10;CBX4;SMURF2;TGFB3;CBX3;PBX3;NR2F1;LIF;IRF2BP2;NR2F2;NR2F6;POU6F1;SMAD7;TADA2B;DAB2;AGO1;CREBRF;MDM4;TCF4;ATM;TCF3;ZNF653;ZNF652;MXD4;ZNF254;BMPR2;BHLHE41;TCF20;BMI1;GLI1;MYSM1;GLI2;IRF2BPL;FLCN;MED13;SIX4;NKRF;TRPS1;DACT1;ZHX2;RBM14;BATF3;KLF13;FOXD1;ATMIN;TET2;ZFP91;GREM1;KAT2B;AEBP2;TET3;TFEC;SOS1;TLR4;RHOQ;YAP1;FOXC2;NFAT5;FOXC1;CEBPB;NFIX;FOXK1;HOXD11;HOXD10;ZBTB41;PURB;PURA;RXRA;SAP30L;ZNF469;MSX1;SAMD1;HES5;MBD3;PRRX1;FBXL19;MBD2;ARID3A;SOD2;MEIS2;ACVR2A;GATAD2A;TBX2;VEGFA;CTNNB1;CDK2AP1;HDGF;ZNF697;SSBP3;TRIM33,150/2028
Stromal 3,Negative Regulation Of DNA-templated Transcription (GO:0045892),GO_Biological_Process_2023,1.4910132885616482e-06,43.47044320684208,ZNF254;WWC1;BHLHE41;SUMO4;PRDM1;BMI1;IKZF4;ELK3;GLI2;IRF2BPL;ELK4;FLCN;SIX4;NKRF;SOX18;BASP1;TRPS1;EP300;KMT5A;DACT1;MEF2C;ZHX2;BATF3;FOXD1;ZBTB37;WNT5A;ZBTB34;DICER1;COMMD7;SAP30;RUNX1;EID2;MAF;WDR82;TBL1XR1;KAT6A;TFEC;PLCB1;ZFPM1;YAP1;FOXC2;FOXC1;CEBPB;SET;NFIX;TSHZ3;TWIST1;FOXK1;GLIS2;PURA;ATXN1;RXRA;NACC2;SAP30L;ZNF469;SAMD1;ZBED6;PATZ1;ZNF268;ZBTB7A;HES5;RUNX1T1;WNT4;HEXIM1;MBD3;ZBTB18;JUND;CBX4;SMURF2;CBX3;MBD2;NR2F1;IRF2BP2;NR2F2;MEIS2;GATAD2A;NR2F6;TBX2;VEGFA;POU6F1;SMAD7;DAB2;MAP3K10;CTNNB1;MDM4;HDGF;TCF3;TRIM33;LIMS1;MXD4,90/1025
Stromal 3,Positive Regulation Of DNA-templated Transcription (GO:0045893),GO_Biological_Process_2023,6.5042791510574026e-06,36.56778532464776,SCX;UBP1;GABPB1;FGF2;ELK3;ELK4;RPS6KA3;SOX18;NFATC2IP;EP300;IER5;ACVR1;MEF2C;HGF;LMO2;WNT5A;DYRK1A;POU3F1;MED6;RUNX1;TBL1XR1;KAT6A;HOXB3;ZFPM1;INO80B;TWIST1;PIK3R2;BHLHE22;MRPL12;NPAS2;GLIS2;ATXN7;DVL1;HOXC4;ZNF268;WNT4;ZBTB18;FZD1;WWTR1;FZD2;JUND;FOXF2;TGFB3;NR2F1;LIF;NR2F2;TADA2B;DAB2;AGO1;HNRNPD;CREBRF;TCF4;ATM;TCF3;BMPR2;TCF20;GLI1;MYSM1;GLI2;IRF2BPL;FLCN;MED13;SIX4;NKRF;SPIN1;ARHGEF11;RBM14;ATMIN;MSL2;TET2;AXIN1;TGFBR1;MSL1;GREM1;MED22;KAT2B;TET3;TFEC;WAC;PLCB1;TLR4;RHOQ;YAP1;FOXC2;NFAT5;FOXC1;CEBPB;NFIX;FOXK1;RXRA;HES5;MBD3;PRRX1;MBD2;MEIS2;ACVR2A;GATAD2A;VEGFA;RYBP;CTNNB1;SSBP3,101/1243
Stromal 3,Hippo signaling pathway,KEGG_2021_Human,6.600788898931891e-06,71.50614647458923,YAP1;BMPR2;WWC1;PARD6G;SAV1;GLI2;PPP1CB;PPP2CB;RASSF2;DVL1;WNT4;FZD1;WWTR1;FZD2;TGFB3;WNT5A;AXIN1;FZD8;CSNK1E;AXIN2;WTIP;TGFBR1;SMAD7;DLG2;DLG4;CTNNB1,26/163
Stromal 3,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),GO_Biological_Process_2023,2.6671076535933545e-05,36.97734224490549,ZNF254;WWC1;BHLHE41;PRDM1;BMI1;GLI2;IRF2BPL;ELK4;FLCN;SOX18;TRPS1;EP300;KMT5A;DACT1;MEF2C;BATF3;ZHX2;ZBTB37;ZBTB34;DICER1;SAP30;RUNX1;MAF;TBL1XR1;TFEC;ZFPM1;YAP1;FOXC2;CEBPB;FOXC1;NFIX;TWIST1;GLIS2;PURA;ATXN1;RXRA;NACC2;SAP30L;ZNF469;SAMD1;PATZ1;ZBED6;ZBTB7A;ZNF268;HES5;HEXIM1;MBD3;ZBTB18;JUND;CBX4;SMURF2;CBX3;MBD2;NR2F1;IRF2BP2;NR2F2;MEIS2;NR2F6;POU6F1;GATAD2A;TBX2;VEGFA;SMAD7;DAB2;MDM4;HDGF;TCF3;TRIM33;MXD4,69/763
Stromal 3,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),GO_Biological_Process_2023,7.638159533984669e-05,36.75739421630465,SCX;GLI1;FGF2;GLI2;MED13;SIX4;SOX18;SPIN1;EP300;ACVR1;ARHGEF11;MEF2C;ATMIN;WNT5A;DYRK1A;MSL2;AXIN1;POU3F1;TGFBR1;MSL1;RUNX1;KAT2B;MED22;TBL1XR1;KAT6A;WAC;PLCB1;YAP1;INO80B;FOXC2;CEBPB;FOXC1;FOXK1;MRPL12;NPAS2;GLIS2;RXRA;ATXN7;HES5;WNT4;FZD1;MBD3;FZD2;FOXF2;TGFB3;MBD2;NR2F2;GATAD2A;TADA2B;RYBP;HNRNPD;CTNNB1;TCF4;TCF3,54/557
Stromal 3,Pathways in cancer,KEGG_2021_Human,0.000316782899376798,28.583099271582885,CXCL8;PTEN;GLI1;FGF2;GLI2;CASP3;EP300;PRKACA;IFNAR2;ARHGEF11;HGF;WNT5A;AXIN1;AXIN2;TGFBR1;RUNX1;ADCY9;COL4A4;PLCB1;SOS1;NOTCH3;PTGER3;PIK3R2;PTGS2;ADCY7;RASGRP1;MAPK9;RXRA;GNA11;DVL1;GNA12;HES5;RUNX1T1;WNT4;FZD1;JAG2;FZD2;EGLN2;TGFB3;FZD8;VEGFC;VEGFA;RAD51;GNAQ;GSTA1;FGF18;GNB1;GNAS;CTNNB1,49/531
Stromal 3,Positive Regulation Of Cell Differentiation (GO:0045597),GO_Biological_Process_2023,0.00034050524654482314,40.037937975585,YAP1;FOXC1;CEBPB;BMPR2;TWIST1;RPS6KA3;BLOC1S5;MAPK9;GJA1;BLOC1S6;RRAS;GCNT2;ZNF268;WNT4;ACVR1;MSR1;WWTR1;MEF2C;PHF10;TGFB3;HGF;PLA2G2A;AXIN2;TGFBR1;ACVR2A;SLC6A6;DAB2;RAPGEF2;CTNNB1;TCF4;TCF3;PLCB1;DDR2,33/283
Stromal 3,Signaling pathways regulating pluripotency of stem cells,KEGG_2021_Human,0.0005404905430839997,40.82812112774452,ACVR1;FZD1;FZD2;BMPR2;WNT5A;LIF;AXIN1;FZD8;PIK3R2;AXIN2;BMI1;FGF2;ACVR2A;KAT6A;DVL1;CTNNB1;TCF3;JARID2;SKIL;WNT4,20/143
Enteric glia cells,Chemokine-Mediated Signaling Pathway (GO:0070098),GO_Biological_Process_2023,3.6756498041206004e-09,1537.786405569555,CXCL10;FOXC1;CXCL8;CCL20;CCL19;CXCL3;CCL18;CXCL2,8/57
Enteric glia cells,Cellular Response To Chemokine (GO:1990869),GO_Biological_Process_2023,3.6756498041206004e-09,1460.6182978066763,CXCL10;FOXC1;CXCL8;CCL20;CCL19;CXCL3;CCL18;CXCL2,8/59
Enteric glia cells,Neutrophil Chemotaxis (GO:0030593),GO_Biological_Process_2023,4.6773392894316883e-07,804.3196016578949,CXCL10;CXCL8;CCL20;CCL19;CXCL3;CCL18;CXCL2,7/70
Enteric glia cells,Granulocyte Chemotaxis (GO:0071621),GO_Biological_Process_2023,4.733670009971307e-07,756.1608130303613,CXCL10;CXCL8;CCL20;CCL19;CXCL3;CCL18;CXCL2,7/73
Enteric glia cells,Neutrophil Migration (GO:1990266),GO_Biological_Process_2023,5.535659120874535e-07,699.0936539118225,CXCL10;CXCL8;CCL20;CCL19;CXCL3;CCL18;CXCL2,7/77
Enteric glia cells,Viral protein interaction with cytokine and cytokine receptor,KEGG_2021_Human,8.099612468314742e-07,475.6143966317513,CXCL10;CXCL8;CCL20;CCL19;CXCL3;CCL18;CXCL2,7/100
Enteric glia cells,Legionellosis,KEGG_2021_Human,8.099612468314742e-07,736.2576362099611,CXCL8;HSPA6;CXCL3;CXCL2;HSPA1B;HSPA1A,6/57
Enteric glia cells,IL-17 signaling pathway,KEGG_2021_Human,8.099612468314742e-07,521.1348747691145,CXCL10;CXCL8;CCL20;LCN2;CXCL3;PTGS2;CXCL2,7/94
Enteric glia cells,Cytokine-Mediated Signaling Pathway (GO:0019221),GO_Biological_Process_2023,1.089937430714998e-05,218.2822005502438,CXCL10;FOXC1;CXCL8;CCL20;CCL19;CXCL3;CCL18;CXCL2;DUOX2,9/257
Enteric glia cells,NF-kappa B signaling pathway,KEGG_2021_Human,2.0329638519317787e-05,303.7191034560485,CXCL8;BCL2A1;CCL19;CXCL3;PTGS2;CXCL2,6/104
