Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118)	2/19	1.448050e-04	2.085888e-02	0	0	1.381592e+02	1.221344e+03	MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023	Regulation Of Execution Phase Of Apoptosis (GO:1900117)	2/24	2.330601e-04	2.085888e-02	0	0	1.067326e+02	8.927345e+02	MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023	Metal Ion Transport (GO:0030001)	3/171	5.380516e-04	3.210375e-02	0	0	2.211272e+01	1.664548e+02	CHRNA7;SCN9A;SLC4A4
GO_Biological_Process_2023	Sensory Perception (GO:0007600)	2/51	1.060313e-03	4.744902e-02	0	0	4.785594e+01	3.277745e+02	CHRNA7;SCN9A
GO_Biological_Process_2023	Sodium Ion Transmembrane Transport (GO:0035725)	2/82	2.713813e-03	6.528532e-02	0	0	2.926618e+01	1.729456e+02	SCN9A;SLC4A4
GO_Biological_Process_2023	Vascular Transport (GO:0010232)	2/83	2.779249e-03	6.528532e-02	0	0	2.890341e+01	1.701132e+02	SLC28A2;SLC4A4
GO_Biological_Process_2023	Transport Across Blood-Brain Barrier (GO:0150104)	2/85	2.912345e-03	6.528532e-02	0	0	2.820411e+01	1.646781e+02	SLC28A2;SLC4A4
GO_Biological_Process_2023	Sodium Ion Transport (GO:0006814)	2/89	3.187393e-03	6.528532e-02	0	0	2.690196e+01	1.546473e+02	SCN9A;SLC4A4
GO_Biological_Process_2023	Response To cGMP (GO:0070305)	1/5	4.741392e-03	6.528532e-02	0	0	2.774583e+02	1.484797e+03	PDE3A
GO_Biological_Process_2023	Regulation Of Ribonuclease Activity (GO:0060700)	1/5	4.741392e-03	6.528532e-02	0	0	2.774583e+02	1.484797e+03	PDE3A
GO_Biological_Process_2023	Purine Nucleobase Transmembrane Transport (GO:1904823)	1/5	4.741392e-03	6.528532e-02	0	0	2.774583e+02	1.484797e+03	SLC28A2
GO_Biological_Process_2023	Uridine Transport (GO:0015862)	1/5	4.741392e-03	6.528532e-02	0	0	2.774583e+02	1.484797e+03	SLC28A2
GO_Biological_Process_2023	Pyrimidine Nucleoside Transport (GO:0015864)	1/5	4.741392e-03	6.528532e-02	0	0	2.774583e+02	1.484797e+03	SLC28A2
GO_Biological_Process_2023	Regulation Of Nuclease Activity (GO:0032069)	1/6	5.687116e-03	6.595145e-02	0	0	2.219556e+02	1.147411e+03	PDE3A
GO_Biological_Process_2023	Regulation Of CoA-transferase Activity (GO:1905918)	1/7	6.631989e-03	6.595145e-02	0	0	1.849537e+02	9.277001e+02	CHRNA7
GO_Biological_Process_2023	Ethanol Oxidation (GO:0006069)	1/7	6.631989e-03	6.595145e-02	0	0	1.849537e+02	9.277001e+02	ADH1C
GO_Biological_Process_2023	Positive Regulation Of CoA-transferase Activity (GO:1905920)	1/7	6.631989e-03	6.595145e-02	0	0	1.849537e+02	9.277001e+02	CHRNA7
GO_Biological_Process_2023	Postsynapse Organization (GO:0099173)	1/7	6.631989e-03	6.595145e-02	0	0	1.849537e+02	9.277001e+02	CHRNA7
GO_Biological_Process_2023	Negative Regulation Of cAMP-mediated Signaling (GO:0043951)	1/8	7.576012e-03	6.780531e-02	0	0	1.585238e+02	7.740350e+02	PDE3A
GO_Biological_Process_2023	Purine Nucleobase Transport (GO:0006863)	1/8	7.576012e-03	6.780531e-02	0	0	1.585238e+02	7.740350e+02	SLC28A2
GO_Biological_Process_2023	Positive Regulation Of Cellular Catabolic Process (GO:0031331)	2/146	8.342732e-03	6.903554e-02	0	0	1.620670e+01	7.757117e+01	SLC4A4;RNF152
GO_Biological_Process_2023	Neuron Projection Fasciculation (GO:0106030)	1/10	9.461511e-03	6.903554e-02	0	0	1.232840e+02	5.745677e+02	CNTN4
GO_Biological_Process_2023	Cellular Response To Acetylcholine (GO:1905145)	1/11	1.040299e-02	6.903554e-02	0	0	1.109500e+02	5.065602e+02	CHRNA7
GO_Biological_Process_2023	Negative Regulation Of Vascular Permeability (GO:0043116)	1/11	1.040299e-02	6.903554e-02	0	0	1.109500e+02	5.065602e+02	PDE3A
