Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Sodium Ion Transmembrane Transport (GO:0035725),2/82,0.0005867325726622637,0.0179588225285022,0,0,71.11071428571428,529.1306597001935,SCN9A;SLC4A4
GO_Biological_Process_2023,Sodium Ion Transport (GO:0006814),2/89,0.0006907239434039323,0.0179588225285022,0,0,65.36617405582923,475.7200012828067,SCN9A;SLC4A4
GO_Biological_Process_2023,Metal Ion Transport (GO:0030001),2/171,0.0025151300687134,0.031081348120567,0,0,33.51141166525782,200.5802341783647,SCN9A;SLC4A4
GO_Biological_Process_2023,Regulation Of Postsynaptic Neurotransmitter Receptor Activity (GO:0098962),1/9,0.0040434660343014,0.031081348120567,0,0,312.234375,1720.6153032705638,NPTX2
GO_Biological_Process_2023,Neuron Projection Fasciculation (GO:0106030),1/10,0.0044918441075108,0.031081348120567,0,0,277.52777777777777,1500.1741678966396,CNTN4
GO_Biological_Process_2023,Axonal Fasciculation (GO:0007413),1/12,0.0053880625223818,0.031081348120567,0,0,227.04545454545453,1185.9876925180256,CNTN4
GO_Biological_Process_2023,Dendrite Self-Avoidance (GO:0070593),1/12,0.0053880625223818,0.031081348120567,0,0,227.04545454545453,1185.9876925180256,CNTN4
GO_Biological_Process_2023,Sodium Ion Export Across Plasma Membrane (GO:0036376),1/12,0.0053880625223818,0.031081348120567,0,0,227.04545454545453,1185.9876925180256,SLC4A4
GO_Biological_Process_2023,Neuron Cell-Cell Adhesion (GO:0007158),1/14,0.0062835642580931,0.031081348120567,0,0,192.09615384615384,973.8925197668603,CNTN4
GO_Biological_Process_2023,Monoatomic Cation Transmembrane Transport (GO:0098655),2/281,0.0066345715680242,0.031081348120567,0,0,20.18637992831541,101.24400499196727,SCN9A;SLC4A4
GO_Biological_Process_2023,Inorganic Cation Transmembrane Transport (GO:0098662),2/284,0.0067724937261895,0.031081348120567,0,0,19.968591691995947,99.74083729230144,SCN9A;SLC4A4
GO_Biological_Process_2023,Positive Regulation Of Glycolytic Process (GO:0045821),1/18,0.0080724193100501,0.031081348120567,0,0,146.86764705882354,707.7995527019895,SLC4A4
GO_Biological_Process_2023,Regulation Of Nervous System Process (GO:0031644),1/18,0.0080724193100501,0.031081348120567,0,0,146.86764705882354,707.7995527019895,NPTX2
GO_Biological_Process_2023,Bicarbonate Transport (GO:0015701),1/19,0.0085191858003351,0.031081348120567,0,0,138.70138888888889,660.9723846479391,SLC4A4
GO_Biological_Process_2023,Sensory Perception Of Pain (GO:0019233),1/20,0.0089657734963174,0.031081348120567,0,0,131.39473684210526,619.439581424405,SCN9A
