Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Hepoxilin Biosynthetic Process (GO:0051122),2/7,0.0012848279487441,0.3019345679548731,0,0,50.5375796178344,336.4352607307951,GSTM2;GSTM1
GO_Biological_Process_2023,Hepoxilin Metabolic Process (GO:0051121),2/7,0.0012848279487441,0.3019345679548731,0,0,50.5375796178344,336.4352607307951,GSTM2;GSTM1
GO_Biological_Process_2023,Serine Family Amino Acid Biosynthetic Process (GO:0009070),2/10,0.0027103703976302,0.4246246956287328,0,0,31.581210191082803,186.6661108612652,SEPHS2;PSPH
GO_Biological_Process_2023,Cellular Response To ATP (GO:0071318),2/14,0.005367810392313,0.5045741768774241,0,0,21.049893842887474,110.03485107878144,P2RY12;PDXP
GO_Biological_Process_2023,Serine Family Amino Acid Metabolic Process (GO:0009069),2/14,0.005367810392313,0.5045741768774241,0,0,21.049893842887474,110.03485107878144,SEPHS2;PSPH
GO_Biological_Process_2023,Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118),2/19,0.0098278400220708,0.5216293939062373,0,0,14.85500187336081,68.66778245824908,MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023,Xenobiotic Catabolic Process (GO:0042178),2/19,0.0098278400220708,0.5216293939062373,0,0,14.85500187336081,68.66778245824908,GSTM2;GSTM1
GO_Biological_Process_2023,Signal Transduction In Response To DNA Damage (GO:0042770),3/57,0.0105416198947698,0.5216293939062373,0,0,7.046652421652421,32.07935000897507,ACER2;WNT1;ATRIP
GO_Biological_Process_2023,Response To ATP (GO:0033198),2/20,0.0108632827727134,0.5216293939062373,0,0,14.02901627742392,63.44435645442206,P2RY12;PDXP
GO_Biological_Process_2023,Regulation Of Execution Phase Of Apoptosis (GO:1900117),2/24,0.0154565657932863,0.5216293939062373,0,0,11.475969889982627,47.85159718407026,MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023,Long-Chain Fatty Acid Biosynthetic Process (GO:0042759),2/25,0.0167139038513236,0.5216293939062373,0,0,10.976460814178898,44.910346823690496,GSTM2;GSTM1
GO_Biological_Process_2023,Immunoglobulin Mediated Immune Response (GO:0016064),2/30,0.0236173566502385,0.5216293939062373,0,0,9.01410373066424,33.76478985279455,HLA-DRB5;FCER1A
GO_Biological_Process_2023,Cellular Nitrogen Compound Biosynthetic Process (GO:0044271),2/32,0.0266531210582315,0.5216293939062373,0,0,8.412314225053079,30.49336899436976,ACER2;SULT1A2
GO_Biological_Process_2023,Positive Regulation Of Microglial Cell Migration (GO:1904141),1/5,0.0391266191990589,0.5216293939062373,0,0,31.3876582278481,101.72590142076773,P2RY12
GO_Biological_Process_2023,Regulation Of T-Circle Formation (GO:1904429),1/5,0.0391266191990589,0.5216293939062373,0,0,31.3876582278481,101.72590142076773,RTEL1
GO_Biological_Process_2023,DNA Recombination (GO:0006310),2/42,0.04395209541644,0.5216293939062373,0,0,6.306050955414013,19.70423351381973,RTEL1;TREX1
GO_Biological_Process_2023,"Substrate-Dependent Cell Migration, Cell Extension (GO:0006930)",1/6,0.0467674525809784,0.5216293939062373,0,0,25.10886075949367,76.89758784588065,P2RY12
GO_Biological_Process_2023,Ethanol Catabolic Process (GO:0006068),1/6,0.0467674525809784,0.5216293939062373,0,0,25.10886075949367,76.89758784588065,SULT1A2
GO_Biological_Process_2023,Hemostasis (GO:0007599),1/6,0.0467674525809784,0.5216293939062373,0,0,25.10886075949367,76.89758784588065,P2RY12
GO_Biological_Process_2023,Regulation Of Microglial Cell Migration (GO:1904139),1/6,0.0467674525809784,0.5216293939062373,0,0,25.10886075949367,76.89758784588065,P2RY12
GO_Biological_Process_2023,"Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Independent Decay (GO:0031086)",1/6,0.0467674525809784,0.5216293939062373,0,0,25.10886075949367,76.89758784588065,EDC4
GO_Biological_Process_2023,Cellular Response To Caffeine (GO:0071313),1/6,0.0467674525809784,0.5216293939062373,0,0,25.10886075949367,76.89758784588065,GSTM2
GO_Biological_Process_2023,Response To Caffeine (GO:0031000),1/6,0.0467674525809784,0.5216293939062373,0,0,25.10886075949367,76.89758784588065,GSTM2
GO_Biological_Process_2023,Positive Regulation Of Glial Cell Migration (GO:1903977),1/7,0.0543479072707221,0.5216293939062373,0,0,20.92299578059072,60.93506941298273,P2RY12
GO_Biological_Process_2023,Positive Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043568),1/7,0.0543479072707221,0.5216293939062373,0,0,20.92299578059072,60.93506941298273,WNT1
GO_Biological_Process_2023,Regulation Of Cytoplasmic Translational Elongation (GO:1900247),1/7,0.0543479072707221,0.5216293939062373,0,0,20.92299578059072,60.93506941298273,DPH1
GO_Biological_Process_2023,Aldehyde Catabolic Process (GO:0046185),1/7,0.0543479072707221,0.5216293939062373,0,0,20.92299578059072,60.93506941298273,PDXP
GO_Biological_Process_2023,Positive Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060316),1/7,0.0543479072707221,0.5216293939062373,0,0,20.92299578059072,60.93506941298273,GSTM2
GO_Biological_Process_2023,Aromatic Compound Catabolic Process (GO:0019439),1/7,0.0543479072707221,0.5216293939062373,0,0,20.92299578059072,60.93506941298273,PDXP
GO_Biological_Process_2023,Regulation Of Protein Glycosylation (GO:0060049),1/7,0.0543479072707221,0.5216293939062373,0,0,20.92299578059072,60.93506941298273,ACER2
GO_Biological_Process_2023,"Endonucleolytic Cleavage In ITS1 To Separate SSU-rRNA From 5.8S rRNA And LSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)",1/7,0.0543479072707221,0.5216293939062373,0,0,20.92299578059072,60.93506941298273,LTB4R2
GO_Biological_Process_2023,CD40 Signaling Pathway (GO:0023035),1/8,0.0618684569512804,0.5216293939062373,0,0,17.933092224231466,49.90321931291774,RNF31
GO_Biological_Process_2023,Regulation Of Macrophage Migration (GO:1905521),1/8,0.0618684569512804,0.5216293939062373,0,0,17.933092224231466,49.90321931291774,P2RY12
GO_Biological_Process_2023,Multi-Pass Transmembrane Protein Insertion Into ER Membrane (GO:0160063),1/8,0.0618684569512804,0.5216293939062373,0,0,17.933092224231466,49.90321931291774,NOMO2
GO_Biological_Process_2023,Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279),2/51,0.0621659387821876,0.5216293939062373,0,0,5.145456908878201,14.293811920682296,GSTM2;LIME1
GO_Biological_Process_2023,Telomeric Loop Disassembly (GO:0090657),1/9,0.0693295717296231,0.5216293939062373,0,0,15.690664556962023,41.8765595579694,RTEL1
GO_Biological_Process_2023,Wnt Signaling Pathway Involved In Midbrain Dopaminergic Neuron Differentiation (GO:1904953),1/9,0.0693295717296231,0.5216293939062373,0,0,15.690664556962023,41.8765595579694,WNT1
GO_Biological_Process_2023,Amine Metabolic Process (GO:0009308),1/9,0.0693295717296231,0.5216293939062373,0,0,15.690664556962023,41.8765595579694,SULT1A2
GO_Biological_Process_2023,Amino Sugar Metabolic Process (GO:0006040),1/9,0.0693295717296231,0.5216293939062373,0,0,15.690664556962023,41.8765595579694,FN3K
GO_Biological_Process_2023,Primary Alcohol Catabolic Process (GO:0034310),1/9,0.0693295717296231,0.5216293939062373,0,0,15.690664556962023,41.8765595579694,SULT1A2
GO_Biological_Process_2023,Organic Hydroxy Compound Catabolic Process (GO:1901616),1/9,0.0693295717296231,0.5216293939062373,0,0,15.690664556962023,41.8765595579694,PDXP
GO_Biological_Process_2023,Regulation Of Sequestering Of Calcium Ion (GO:0051282),1/9,0.0693295717296231,0.5216293939062373,0,0,15.690664556962023,41.8765595579694,LIME1
GO_Biological_Process_2023,Cellular Response To Purine-Containing Compound (GO:0071415),1/9,0.0693295717296231,0.5216293939062373,0,0,15.690664556962023,41.8765595579694,GSTM2
GO_Biological_Process_2023,Organonitrogen Compound Biosynthetic Process (GO:1901566),3/123,0.0749661560716662,0.5216293939062373,0,0,3.160416666666667,8.18774998820265,ACER2;GSTM1;SULT1A2
GO_Biological_Process_2023,Positive Regulation Of Integrin Activation (GO:0033625),1/10,0.0767317181460946,0.5216293939062373,0,0,13.946554149085795,35.80694267122304,P2RY12
GO_Biological_Process_2023,Surfactant Homeostasis (GO:0043129),1/10,0.0767317181460946,0.5216293939062373,0,0,13.946554149085795,35.80694267122304,NAPSA
GO_Biological_Process_2023,L-serine Metabolic Process (GO:0006563),1/10,0.0767317181460946,0.5216293939062373,0,0,13.946554149085795,35.80694267122304,PSPH
GO_Biological_Process_2023,Regulation Of Glycoprotein Biosynthetic Process (GO:0010559),1/10,0.0767317181460946,0.5216293939062373,0,0,13.946554149085795,35.80694267122304,ACER2
GO_Biological_Process_2023,Positive Regulation Of Protein Depolymerization (GO:1901881),1/10,0.0767317181460946,0.5216293939062373,0,0,13.946554149085795,35.80694267122304,PDXP
GO_Biological_Process_2023,Mast Cell Activation Involved In Immune Response (GO:0002279),1/10,0.0767317181460946,0.5216293939062373,0,0,13.946554149085795,35.80694267122304,FCER1A
GO_Biological_Process_2023,Mast Cell Degranulation (GO:0043303),1/10,0.0767317181460946,0.5216293939062373,0,0,13.946554149085795,35.80694267122304,FCER1A
GO_Biological_Process_2023,Mesonephros Development (GO:0001823),1/10,0.0767317181460946,0.5216293939062373,0,0,13.946554149085795,35.80694267122304,ZBTB16
GO_Biological_Process_2023,Midbrain Dopaminergic Neuron Differentiation (GO:1904948),1/10,0.0767317181460946,0.5216293939062373,0,0,13.946554149085795,35.80694267122304,WNT1
GO_Biological_Process_2023,Positive Regulation Of Actin Filament Depolymerization (GO:0030836),1/10,0.0767317181460946,0.5216293939062373,0,0,13.946554149085795,35.80694267122304,PDXP
GO_Biological_Process_2023,Negative Regulation Of Adenylate Cyclase Activity (GO:0007194),1/10,0.0767317181460946,0.5216293939062373,0,0,13.946554149085795,35.80694267122304,LTB4R2
