Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Hepoxilin Biosynthetic Process (GO:0051122)	2/7	1.284828e-03	3.019346e-01	0	0	5.053758e+01	3.364353e+02	GSTM2;GSTM1
GO_Biological_Process_2023	Hepoxilin Metabolic Process (GO:0051121)	2/7	1.284828e-03	3.019346e-01	0	0	5.053758e+01	3.364353e+02	GSTM2;GSTM1
GO_Biological_Process_2023	Serine Family Amino Acid Biosynthetic Process (GO:0009070)	2/10	2.710370e-03	4.246247e-01	0	0	3.158121e+01	1.866661e+02	SEPHS2;PSPH
GO_Biological_Process_2023	Cellular Response To ATP (GO:0071318)	2/14	5.367810e-03	5.045742e-01	0	0	2.104989e+01	1.100349e+02	P2RY12;PDXP
GO_Biological_Process_2023	Serine Family Amino Acid Metabolic Process (GO:0009069)	2/14	5.367810e-03	5.045742e-01	0	0	2.104989e+01	1.100349e+02	SEPHS2;PSPH
GO_Biological_Process_2023	Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118)	2/19	9.827840e-03	5.216294e-01	0	0	1.485500e+01	6.866778e+01	MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023	Xenobiotic Catabolic Process (GO:0042178)	2/19	9.827840e-03	5.216294e-01	0	0	1.485500e+01	6.866778e+01	GSTM2;GSTM1
GO_Biological_Process_2023	Signal Transduction In Response To DNA Damage (GO:0042770)	3/57	1.054162e-02	5.216294e-01	0	0	7.046652e+00	3.207935e+01	ACER2;WNT1;ATRIP
GO_Biological_Process_2023	Response To ATP (GO:0033198)	2/20	1.086328e-02	5.216294e-01	0	0	1.402902e+01	6.344436e+01	P2RY12;PDXP
GO_Biological_Process_2023	Regulation Of Execution Phase Of Apoptosis (GO:1900117)	2/24	1.545657e-02	5.216294e-01	0	0	1.147597e+01	4.785160e+01	MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023	Long-Chain Fatty Acid Biosynthetic Process (GO:0042759)	2/25	1.671390e-02	5.216294e-01	0	0	1.097646e+01	4.491035e+01	GSTM2;GSTM1
GO_Biological_Process_2023	Immunoglobulin Mediated Immune Response (GO:0016064)	2/30	2.361736e-02	5.216294e-01	0	0	9.014104e+00	3.376479e+01	HLA-DRB5;FCER1A
GO_Biological_Process_2023	Cellular Nitrogen Compound Biosynthetic Process (GO:0044271)	2/32	2.665312e-02	5.216294e-01	0	0	8.412314e+00	3.049337e+01	ACER2;SULT1A2
GO_Biological_Process_2023	Positive Regulation Of Microglial Cell Migration (GO:1904141)	1/5	3.912662e-02	5.216294e-01	0	0	3.138766e+01	1.017259e+02	P2RY12
