Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Myelination (GO:0042552)	5/48	1.255480e-07	3.553008e-05	0	0	5.143928e+01	8.173998e+02	MPZ;PMP22;MAL;B4GALT6;GPM6B
GO_Biological_Process_2023	Nervous System Development (GO:0007399)	7/433	9.495985e-05	1.203702e-02	0	0	7.460858e+00	6.910289e+01	PMP22;LPAR1;MAL;GFRA1;L1CAM;GFRA2;GPM6B
GO_Biological_Process_2023	Axon Ensheathment In Central Nervous System (GO:0032291)	2/7	1.276010e-04	1.203702e-02	0	0	1.662083e+02	1.490324e+03	B4GALT6;GPM6B
GO_Biological_Process_2023	Central Nervous System Myelination (GO:0022010)	2/11	3.320639e-04	2.349352e-02	0	0	9.231944e+01	7.394957e+02	B4GALT6;GPM6B
GO_Biological_Process_2023	Oligodendrocyte Development (GO:0014003)	2/16	7.187392e-04	4.068064e-02	0	0	5.933333e+01	4.294554e+02	B4GALT6;GPM6B
GO_Biological_Process_2023	Cellular Response To Copper Ion (GO:0071280)	2/20	1.130759e-03	5.333413e-02	0	0	4.613889e+01	3.130462e+02	MT1M;MT3
GO_Biological_Process_2023	Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000116)	2/24	1.632125e-03	5.773642e-02	0	0	3.774242e+01	2.422261e+02	SOX2;MT3
GO_Biological_Process_2023	Response To Copper Ion (GO:0046688)	2/24	1.632125e-03	5.773642e-02	0	0	3.774242e+01	2.422261e+02	MT1M;MT3
GO_Biological_Process_2023	Activation Of Phospholipase C Activity (GO:0007202)	2/27	2.065729e-03	6.495571e-02	0	0	3.320833e+01	2.053029e+02	P2RY12;LPAR1
GO_Biological_Process_2023	Regulation Of Axon Extension (GO:0030516)	2/35	3.457376e-03	9.403127e-02	0	0	2.514773e+01	1.425183e+02	L1CAM;MT3
GO_Biological_Process_2023	Positive Regulation Of Phospholipase C Activity (GO:0010863)	2/36	3.654926e-03	9.403127e-02	0	0	2.440686e+01	1.369635e+02	P2RY12;LPAR1
GO_Biological_Process_2023	Negative Regulation Of Cell Projection Organization (GO:0031345)	2/50	6.950299e-03	1.428050e-01	0	0	1.727604e+01	8.584414e+01	LPAR1;MT3
GO_Biological_Process_2023	Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193)	2/52	7.499482e-03	1.428050e-01	0	0	1.658333e+01	8.114095e+01	P2RY12;LPAR1
GO_Biological_Process_2023	Negative Regulation Of Neuron Projection Development (GO:0010977)	2/54	8.067670e-03	1.428050e-01	0	0	1.594391e+01	7.684790e+01	LPAR1;MT3
GO_Biological_Process_2023	Positive Regulation Of Microglial Cell Migration (GO:1904141)	1/5	1.243878e-02	1.428050e-01	0	0	1.017653e+02	4.464379e+02	P2RY12
GO_Biological_Process_2023	Nucleoside Triphosphate Biosynthetic Process (GO:0009142)	1/5	1.243878e-02	1.428050e-01	0	0	1.017653e+02	4.464379e+02	AK5
GO_Biological_Process_2023	Regulation Of Collagen Fibril Organization (GO:1904026)	1/6	1.490828e-02	1.428050e-01	0	0	8.140816e+01	3.423896e+02	CHADL
GO_Biological_Process_2023	Substrate-Dependent Cell Migration, Cell Extension (GO:0006930)	1/6	1.490828e-02	1.428050e-01	0	0	8.140816e+01	3.423896e+02	P2RY12
GO_Biological_Process_2023	Pituitary Gland Development (GO:0021983)	1/6	1.490828e-02	1.428050e-01	0	0	8.140816e+01	3.423896e+02	SOX2
GO_Biological_Process_2023	Positive Regulation Of Necrotic Cell Death (GO:0010940)	1/6	1.490828e-02	1.428050e-01	0	0	8.140816e+01	3.423896e+02	MT3
GO_Biological_Process_2023	Hemostasis (GO:0007599)	1/6	1.490828e-02	1.428050e-01	0	0	8.140816e+01	3.423896e+02	P2RY12
GO_Biological_Process_2023	Regulation Of Microglial Cell Migration (GO:1904139)	1/6	1.490828e-02	1.428050e-01	0	0	8.140816e+01	3.423896e+02	P2RY12
GO_Biological_Process_2023	Regulation Of Cardiac Muscle Cell Membrane Potential (GO:0086036)	1/6	1.490828e-02	1.428050e-01	0	0	8.140816e+01	3.423896e+02	FXYD1
GO_Biological_Process_2023	Bleb Assembly (GO:0032060)	1/6	1.490828e-02	1.428050e-01	0	0	8.140816e+01	3.423896e+02	PMP22
GO_Biological_Process_2023	Positive Regulation Of Glial Cell Migration (GO:1903977)	1/7	1.737174e-02	1.428050e-01	0	0	6.783673e+01	2.749362e+02	P2RY12
GO_Biological_Process_2023	Cellular Response To Leptin Stimulus (GO:0044320)	1/7	1.737174e-02	1.428050e-01	0	0	6.783673e+01	2.749362e+02	MT3
GO_Biological_Process_2023	Hepoxilin Biosynthetic Process (GO:0051122)	1/7	1.737174e-02	1.428050e-01	0	0	6.783673e+01	2.749362e+02	GSTM1
GO_Biological_Process_2023	Hepoxilin Metabolic Process (GO:0051121)	1/7	1.737174e-02	1.428050e-01	0	0	6.783673e+01	2.749362e+02	GSTM1
