Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118)	2/19	3.474178e-03	3.728729e-01	0	0	2.571429e+01	1.456045e+02	MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023	Regulation Of Execution Phase Of Apoptosis (GO:1900117)	2/24	5.523470e-03	3.728729e-01	0	0	1.986513e+01	1.032739e+02	MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023	DNA Recombination (GO:0006310)	2/42	1.632334e-02	3.728729e-01	0	0	1.091593e+01	4.492080e+01	RTEL1;TREX1
GO_Biological_Process_2023	Regulation Of T-Circle Formation (GO:1904429)	1/5	2.303690e-02	3.728729e-01	0	0	5.408424e+01	2.039332e+02	RTEL1
GO_Biological_Process_2023	Signal Transduction In Response To DNA Damage (GO:0042770)	2/57	2.893164e-02	3.728729e-01	0	0	7.932867e+00	2.810471e+01	ACER2;WNT1
GO_Biological_Process_2023	Regulation Of Protein Glycosylation (GO:0060049)	1/7	3.210399e-02	3.728729e-01	0	0	3.605254e+01	1.239766e+02	ACER2
GO_Biological_Process_2023	Positive Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043568)	1/7	3.210399e-02	3.728729e-01	0	0	3.605254e+01	1.239766e+02	WNT1
GO_Biological_Process_2023	Hepoxilin Biosynthetic Process (GO:0051122)	1/7	3.210399e-02	3.728729e-01	0	0	3.605254e+01	1.239766e+02	GSTM1
GO_Biological_Process_2023	Hepoxilin Metabolic Process (GO:0051121)	1/7	3.210399e-02	3.728729e-01	0	0	3.605254e+01	1.239766e+02	GSTM1
GO_Biological_Process_2023	Aldehyde Catabolic Process (GO:0046185)	1/7	3.210399e-02	3.728729e-01	0	0	3.605254e+01	1.239766e+02	PDXP
GO_Biological_Process_2023	Aromatic Compound Catabolic Process (GO:0019439)	1/7	3.210399e-02	3.728729e-01	0	0	3.605254e+01	1.239766e+02	PDXP
GO_Biological_Process_2023	CD40 Signaling Pathway (GO:0023035)	1/8	3.660626e-02	3.728729e-01	0	0	3.090062e+01	1.022049e+02	RNF31
GO_Biological_Process_2023	Nucleic Acid Transport (GO:0050657)	1/8	3.660626e-02	3.728729e-01	0	0	3.090062e+01	1.022049e+02	RBFOX1
GO_Biological_Process_2023	Organic Hydroxy Compound Catabolic Process (GO:1901616)	1/9	4.108783e-02	3.728729e-01	0	0	2.703668e+01	8.630227e+01	PDXP
GO_Biological_Process_2023	Telomeric Loop Disassembly (GO:0090657)	1/9	4.108783e-02	3.728729e-01	0	0	2.703668e+01	8.630227e+01	RTEL1
GO_Biological_Process_2023	Wnt Signaling Pathway Involved In Midbrain Dopaminergic Neuron Differentiation (GO:1904953)	1/9	4.108783e-02	3.728729e-01	0	0	2.703668e+01	8.630227e+01	WNT1
GO_Biological_Process_2023	Midbrain Dopaminergic Neuron Differentiation (GO:1904948)	1/10	4.554876e-02	3.728729e-01	0	0	2.403140e+01	7.423232e+01	WNT1
GO_Biological_Process_2023	Regulation Of Glycoprotein Biosynthetic Process (GO:0010559)	1/10	4.554876e-02	3.728729e-01	0	0	2.403140e+01	7.423232e+01	ACER2
GO_Biological_Process_2023	Positive Regulation Of Protein Depolymerization (GO:1901881)	1/10	4.554876e-02	3.728729e-01	0	0	2.403140e+01	7.423232e+01	PDXP
GO_Biological_Process_2023	Positive Regulation Of Actin Filament Depolymerization (GO:0030836)	1/10	4.554876e-02	3.728729e-01	0	0	2.403140e+01	7.423232e+01	PDXP
GO_Biological_Process_2023	Serine Family Amino Acid Biosynthetic Process (GO:0009070)	1/10	4.554876e-02	3.728729e-01	0	0	2.403140e+01	7.423232e+01	SEPHS2
GO_Biological_Process_2023	snRNA Transcription By RNA Polymerase II (GO:0042795)	1/10	4.554876e-02	3.728729e-01	0	0	2.403140e+01	7.423232e+01	ELL3
GO_Biological_Process_2023	Pentose-Phosphate Shunt (GO:0006098)	1/11	4.998917e-02	3.728729e-01	0	0	2.162717e+01	6.479391e+01	RBKS
GO_Biological_Process_2023	Telomere Maintenance In Response To DNA Damage (GO:0043247)	1/11	4.998917e-02	3.728729e-01	0	0	2.162717e+01	6.479391e+01	RTEL1
GO_Biological_Process_2023	Positive Regulation Of Protein Maturation (GO:1903319)	1/11	4.998917e-02	3.728729e-01	0	0	2.162717e+01	6.479391e+01	ASTL
GO_Biological_Process_2023	Regulation Of Actin Filament Depolymerization (GO:0030834)	1/11	4.998917e-02	3.728729e-01	0	0	2.162717e+01	6.479391e+01	PDXP
GO_Biological_Process_2023	Organophosphate Catabolic Process (GO:0046434)	1/12	5.440914e-02	3.728729e-01	0	0	1.966008e+01	5.723488e+01	PDXP
GO_Biological_Process_2023	Mitochondrial Electron Transport, Ubiquinol To Cytochrome C (GO:0006122)	1/12	5.440914e-02	3.728729e-01	0	0	1.966008e+01	5.723488e+01	UQCRHL
GO_Biological_Process_2023	NADPH Regeneration (GO:0006740)	1/12	5.440914e-02	3.728729e-01	0	0	1.966008e+01	5.723488e+01	RBKS
GO_Biological_Process_2023	snRNA Transcription (GO:0009301)	1/12	5.440914e-02	3.728729e-01	0	0	1.966008e+01	5.723488e+01	ELL3
GO_Biological_Process_2023	Sphingoid Biosynthetic Process (GO:0046520)	1/13	5.880877e-02	3.728729e-01	0	0	1.802083e+01	5.106139e+01	ACER2
GO_Biological_Process_2023	Sphingosine Biosynthetic Process (GO:0046512)	1/13	5.880877e-02	3.728729e-01	0	0	1.802083e+01	5.106139e+01	ACER2
GO_Biological_Process_2023	Glomerular Filtration (GO:0003094)	1/13	5.880877e-02	3.728729e-01	0	0	1.802083e+01	5.106139e+01	IGKV3-20
GO_Biological_Process_2023	Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503)	1/14	6.318815e-02	3.728729e-01	0	0	1.663378e+01	4.593649e+01	HLA-DRB5
GO_Biological_Process_2023	Cellular Response To ATP (GO:0071318)	1/14	6.318815e-02	3.728729e-01	0	0	1.663378e+01	4.593649e+01	PDXP
GO_Biological_Process_2023	MHC Class II Protein Complex Assembly (GO:0002399)	1/14	6.318815e-02	3.728729e-01	0	0	1.663378e+01	4.593649e+01	HLA-DRB5
GO_Biological_Process_2023	Serine Family Amino Acid Metabolic Process (GO:0009069)	1/14	6.318815e-02	3.728729e-01	0	0	1.663378e+01	4.593649e+01	SEPHS2
GO_Biological_Process_2023	Sphingolipid Catabolic Process (GO:0030149)	1/15	6.754736e-02	3.728729e-01	0	0	1.544488e+01	4.162280e+01	ACER2
GO_Biological_Process_2023	Positive Regulation Of Isotype Switching (GO:0045830)	1/15	6.754736e-02	3.728729e-01	0	0	1.544488e+01	4.162280e+01	TNFSF13
GO_Biological_Process_2023	Regulation Of Telomere Maintenance In Response To DNA Damage (GO:1904505)	1/15	6.754736e-02	3.728729e-01	0	0	1.544488e+01	4.162280e+01	RTEL1
GO_Biological_Process_2023	Ceramide Catabolic Process (GO:0046514)	1/15	6.754736e-02	3.728729e-01	0	0	1.544488e+01	4.162280e+01	ACER2
GO_Biological_Process_2023	Renal Filtration (GO:0097205)	1/15	6.754736e-02	3.728729e-01	0	0	1.544488e+01	4.162280e+01	IGKV3-20
GO_Biological_Process_2023	Negative Regulation Of Telomere Maintenance (GO:0032205)	1/15	6.754736e-02	3.728729e-01	0	0	1.544488e+01	4.162280e+01	RTEL1
GO_Biological_Process_2023	Defense Response To Bacterium (GO:0042742)	3/204	6.972182e-02	3.728729e-01	0	0	3.267993e+00	8.703457e+00	RNF31;NLRP6;IGKV3-20
GO_Biological_Process_2023	Prostanoid Metabolic Process (GO:0006692)	1/16	7.188651e-02	3.728729e-01	0	0	1.441449e+01	3.794855e+01	GSTM1
GO_Biological_Process_2023	Synaptic Transmission, Cholinergic (GO:0007271)	1/16	7.188651e-02	3.728729e-01	0	0	1.441449e+01	3.794855e+01	CHRFAM7A
GO_Biological_Process_2023	Positive Regulation Of Telomere Capping (GO:1904355)	1/16	7.188651e-02	3.728729e-01	0	0	1.441449e+01	3.794855e+01	RTEL1
GO_Biological_Process_2023	Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904356)	1/17	7.620569e-02	3.728729e-01	0	0	1.351291e+01	3.478654e+01	RTEL1
GO_Biological_Process_2023	Diol Biosynthetic Process (GO:0034312)	1/17	7.620569e-02	3.728729e-01	0	0	1.351291e+01	3.478654e+01	ACER2
GO_Biological_Process_2023	Embryonic Axis Specification (GO:0000578)	1/17	7.620569e-02	3.728729e-01	0	0	1.351291e+01	3.478654e+01	WNT1
GO_Biological_Process_2023	Negative Regulation Of Cellular Senescence (GO:2000773)	1/17	7.620569e-02	3.728729e-01	0	0	1.351291e+01	3.478654e+01	WNT1
GO_Biological_Process_2023	Peptide Antigen Assembly With MHC Protein Complex (GO:0002501)	1/18	8.050498e-02	3.728729e-01	0	0	1.271739e+01	3.204066e+01	HLA-DRB5
GO_Biological_Process_2023	Glucose 6-Phosphate Metabolic Process (GO:0051156)	1/18	8.050498e-02	3.728729e-01	0	0	1.271739e+01	3.204066e+01	RBKS
GO_Biological_Process_2023	Sphingosine Metabolic Process (GO:0006670)	1/19	8.478447e-02	3.728729e-01	0	0	1.201027e+01	2.963705e+01	ACER2
GO_Biological_Process_2023	DNA Catabolic Process (GO:0006308)	1/19	8.478447e-02	3.728729e-01	0	0	1.201027e+01	2.963705e+01	TREX1
GO_Biological_Process_2023	Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043567)	1/19	8.478447e-02	3.728729e-01	0	0	1.201027e+01	2.963705e+01	WNT1
GO_Biological_Process_2023	Xenobiotic Catabolic Process (GO:0042178)	1/19	8.478447e-02	3.728729e-01	0	0	1.201027e+01	2.963705e+01	GSTM1
