Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Ammonium Transmembrane Transport (GO:0072488)	2/10	1.431117e-03	3.104043e-01	0	0	4.397566e+01	2.880098e+02	AQP8;RHCE
GO_Biological_Process_2023	Methylguanosine-Cap Decapping (GO:0110156)	2/11	1.742579e-03	3.104043e-01	0	0	3.908751e+01	2.482991e+02	EDC4;PATL2
GO_Biological_Process_2023	Positive Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002888)	2/12	2.083250e-03	3.104043e-01	0	0	3.517699e+01	2.171766e+02	TICAM2;CD177
GO_Biological_Process_2023	Sulfation (GO:0051923)	2/16	3.731271e-03	3.122648e-01	0	0	2.512137e+01	1.404537e+02	CHST5;SULT1A2
GO_Biological_Process_2023	Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118)	2/19	5.257599e-03	3.122648e-01	0	0	2.068506e+01	1.085569e+02	MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023	Organonitrogen Compound Biosynthetic Process (GO:1901566)	4/123	5.571600e-03	3.122648e-01	0	0	5.985616e+00	3.106578e+01	ACER2;GSTM1;TYW1B;SULT1A2
GO_Biological_Process_2023	Inorganic Cation Transmembrane Transport (GO:0098662)	6/284	6.022901e-03	3.122648e-01	0	0	3.882318e+00	1.984713e+01	KCNG1;SLC9A3;SCNN1B;AQP8;ATP6V0C;RHCE
GO_Biological_Process_2023	Sodium Ion Import Across Plasma Membrane (GO:0098719)	2/21	6.408525e-03	3.122648e-01	0	0	1.850582e+01	9.345673e+01	SLC9A3;SCNN1B
GO_Biological_Process_2023	Negative Regulation Of Myeloid Cell Differentiation (GO:0045638)	2/22	7.023047e-03	3.122648e-01	0	0	1.757965e+01	8.716970e+01	MEIS1;ZBTB16
GO_Biological_Process_2023	Regulation Of Execution Phase Of Apoptosis (GO:1900117)	2/24	8.328646e-03	3.122648e-01	0	0	1.597989e+01	7.651257e+01	MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023	Regulation Of Myeloid Cell Differentiation (GO:0045637)	2/26	9.734268e-03	3.122648e-01	0	0	1.464676e+01	6.784528e+01	MEIS1;ZBTB16
GO_Biological_Process_2023	Cellular Nitrogen Compound Biosynthetic Process (GO:0044271)	2/32	1.452723e-02	3.122648e-01	0	0	1.171386e+01	4.956992e+01	ACER2;SULT1A2
GO_Biological_Process_2023	Inorganic Cation Import Across Plasma Membrane (GO:0098659)	3/103	2.161358e-02	3.122648e-01	0	0	5.299554e+00	2.032078e+01	SLC9A3;AQP8;SCNN1B
GO_Biological_Process_2023	Glycosyl Compound Biosynthetic Process (GO:1901659)	1/5	2.842390e-02	3.122648e-01	0	0	4.359868e+01	1.552342e+02	TYW1B
GO_Biological_Process_2023	Wybutosine Biosynthetic Process (GO:0031591)	1/5	2.842390e-02	3.122648e-01	0	0	4.359868e+01	1.552342e+02	TYW1B
GO_Biological_Process_2023	Wybutosine Metabolic Process (GO:0031590)	1/5	2.842390e-02	3.122648e-01	0	0	4.359868e+01	1.552342e+02	TYW1B
GO_Biological_Process_2023	Ammonium Homeostasis (GO:0097272)	1/5	2.842390e-02	3.122648e-01	0	0	4.359868e+01	1.552342e+02	RHCE
GO_Biological_Process_2023	Protein Sulfation (GO:0006477)	1/5	2.842390e-02	3.122648e-01	0	0	4.359868e+01	1.552342e+02	CHST5
GO_Biological_Process_2023	Positive Regulation Of Lymphocyte Activation (GO:0051251)	2/47	2.994645e-02	3.122648e-01	0	0	7.803343e+00	2.737682e+01	HLA-DRB5;TICAM2
GO_Biological_Process_2023	Ethanol Catabolic Process (GO:0006068)	1/6	3.401184e-02	3.122648e-01	0	0	3.487719e+01	1.179214e+02	SULT1A2
GO_Biological_Process_2023	Glucan Catabolic Process (GO:0009251)	1/6	3.401184e-02	3.122648e-01	0	0	3.487719e+01	1.179214e+02	STBD1
GO_Biological_Process_2023	Glycogen Catabolic Process (GO:0005980)	1/6	3.401184e-02	3.122648e-01	0	0	3.487719e+01	1.179214e+02	STBD1
GO_Biological_Process_2023	Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Independent Decay (GO:0031086)	1/6	3.401184e-02	3.122648e-01	0	0	3.487719e+01	1.179214e+02	EDC4
GO_Biological_Process_2023	Negative Regulation Of CD4-positive, Alpha-Beta T Cell Proliferation (GO:2000562)	1/6	3.401184e-02	3.122648e-01	0	0	3.487719e+01	1.179214e+02	LGALS9B
GO_Biological_Process_2023	Regulation Of Cytoplasmic Translational Elongation (GO:1900247)	1/7	3.956792e-02	3.122648e-01	0	0	2.906287e+01	9.386540e+01	DPH1
GO_Biological_Process_2023	TRIF-dependent Toll-Like Receptor Signaling Pathway (GO:0035666)	1/7	3.956792e-02	3.122648e-01	0	0	2.906287e+01	9.386540e+01	TICAM2
GO_Biological_Process_2023	Hepoxilin Biosynthetic Process (GO:0051122)	1/7	3.956792e-02	3.122648e-01	0	0	2.906287e+01	9.386540e+01	GSTM1
GO_Biological_Process_2023	Hepoxilin Metabolic Process (GO:0051121)	1/7	3.956792e-02	3.122648e-01	0	0	2.906287e+01	9.386540e+01	GSTM1
GO_Biological_Process_2023	Histone Lysine Demethylation (GO:0070076)	1/7	3.956792e-02	3.122648e-01	0	0	2.906287e+01	9.386540e+01	UTY
