Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Rheumatoid arthritis	3/93	1.652410e-02	7.410098e-01	0	0	5.891369e+00	2.417191e+01	HLA-DRB5;TNFSF13;ATP6V0C
KEGG_2021_Human	Glycerophospholipid metabolism	3/98	1.897360e-02	7.410098e-01	0	0	5.579887e+00	2.212262e+01	PNPLA7;MBOAT1;PLB1
KEGG_2021_Human	Intestinal immune network for IgA production	2/48	3.113311e-02	7.410098e-01	0	0	7.633321e+00	2.648368e+01	HLA-DRB5;TNFSF13
KEGG_2021_Human	Selenocompound metabolism	1/17	9.341557e-02	7.410098e-01	0	0	1.089309e+01	2.582422e+01	SEPHS2
KEGG_2021_Human	Nitrogen metabolism	1/17	9.341557e-02	7.410098e-01	0	0	1.089309e+01	2.582422e+01	CA7
KEGG_2021_Human	Bile secretion	2/90	9.478457e-02	7.410098e-01	0	0	3.981698e+00	9.381471e+00	SLC9A3;AQP8
KEGG_2021_Human	Proximal tubule bicarbonate reclamation	1/23	1.242762e-01	7.410098e-01	0	0	7.919856e+00	1.651487e+01	SLC9A3
KEGG_2021_Human	Vitamin digestion and absorption	1/24	1.293174e-01	7.410098e-01	0	0	7.575133e+00	1.549483e+01	PLB1
KEGG_2021_Human	alpha-Linolenic acid metabolism	1/25	1.343298e-01	7.410098e-01	0	0	7.259137e+00	1.457241e+01	PLB1
KEGG_2021_Human	Collecting duct acid secretion	1/27	1.442690e-01	7.410098e-01	0	0	6.700067e+00	1.297184e+01	ATP6V0C
KEGG_2021_Human	Linoleic acid metabolism	1/29	1.540951e-01	7.410098e-01	0	0	6.220865e+00	1.163417e+01	PLB1
KEGG_2021_Human	Chemical carcinogenesis	3/239	1.589670e-01	7.410098e-01	0	0	2.230138e+00	4.101354e+00	GSTM1;CREB3L3;SULT1A2
KEGG_2021_Human	Herpes simplex virus 1 infection	5/498	1.594952e-01	7.410098e-01	0	0	1.787940e+00	3.282196e+00	HLA-DRB5;ZNF606;ZNF658;ZNF415;ZNF425
KEGG_2021_Human	Asthma	1/31	1.638093e-01	7.410098e-01	0	0	5.805556e+00	1.050255e+01	HLA-DRB5
KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	1/37	1.922933e-01	7.410098e-01	0	0	4.836501e+00	7.974100e+00	SCNN1B
KEGG_2021_Human	Allograft rejection	1/38	1.969462e-01	7.410098e-01	0	0	4.705548e+00	7.645689e+00	HLA-DRB5
KEGG_2021_Human	Graft-versus-host disease	1/42	2.152937e-01	7.410098e-01	0	0	4.245614e+00	6.520211e+00	HLA-DRB5
KEGG_2021_Human	Phagosome	2/152	2.176984e-01	7.410098e-01	0	0	2.328614e+00	3.550308e+00	HLA-DRB5;ATP6V0C
KEGG_2021_Human	Type I diabetes mellitus	1/43	2.198152e-01	7.410098e-01	0	0	4.144319e+00	6.278511e+00	HLA-DRB5
KEGG_2021_Human	Vasopressin-regulated water reabsorption	1/44	2.243109e-01	7.410098e-01	0	0	4.047736e+00	6.050240e+00	CREB3L3
KEGG_2021_Human	Necroptosis	2/159	2.325068e-01	7.410098e-01	0	0	2.224001e+00	3.244452e+00	RNF31;TICAM2
KEGG_2021_Human	Pyruvate metabolism	1/47	2.376446e-01	7.410098e-01	0	0	3.783181e+00	5.436351e+00	LDHD
KEGG_2021_Human	Hepatitis B	2/162	2.388740e-01	7.410098e-01	0	0	2.181969e+00	3.124185e+00	TICAM2;CREB3L3
KEGG_2021_Human	Sphingolipid metabolism	1/49	2.464072e-01	7.410098e-01	0	0	3.625183e+00	5.078046e+00	ACER2
KEGG_2021_Human	Cocaine addiction	1/49	2.464072e-01	7.410098e-01	0	0	3.625183e+00	5.078046e+00	CREB3L3
KEGG_2021_Human	Ether lipid metabolism	1/49	2.464072e-01	7.410098e-01	0	0	3.625183e+00	5.078046e+00	PLB1
