Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Hepoxilin Biosynthetic Process (GO:0051122)	3/7	5.759023e-07	7.745885e-05	0	0	3.052653e+02	4.385847e+03	GSTM2;GSTM1;ALOX15B
GO_Biological_Process_2023	Hepoxilin Metabolic Process (GO:0051121)	3/7	5.759023e-07	7.745885e-05	0	0	3.052653e+02	4.385847e+03	GSTM2;GSTM1;ALOX15B
GO_Biological_Process_2023	Long-Chain Fatty Acid Biosynthetic Process (GO:0042759)	3/25	3.661548e-05	3.283188e-03	0	0	5.545269e+01	5.664514e+02	GSTM2;GSTM1;ALOX15B
GO_Biological_Process_2023	Positive Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010744)	2/17	8.794461e-04	4.235222e-02	0	0	5.315467e+01	3.740078e+02	CD36;ALOX15B
GO_Biological_Process_2023	Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118)	2/19	1.102102e-03	4.235222e-02	0	0	4.689647e+01	3.193901e+02	MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023	Xenobiotic Catabolic Process (GO:0042178)	2/19	1.102102e-03	4.235222e-02	0	0	4.689647e+01	3.193901e+02	GSTM2;GSTM1
GO_Biological_Process_2023	Linoleic Acid Metabolic Process (GO:0043651)	2/19	1.102102e-03	4.235222e-02	0	0	4.689647e+01	3.193901e+02	GSTM2;ALOX15B
GO_Biological_Process_2023	Regulation Of Execution Phase Of Apoptosis (GO:1900117)	2/24	1.764109e-03	5.931817e-02	0	0	3.622909e+01	2.296964e+02	MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023	Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010743)	2/30	2.752822e-03	8.227879e-02	0	0	2.845714e+01	1.677585e+02	CD36;ALOX15B
GO_Biological_Process_2023	Unsaturated Fatty Acid Metabolic Process (GO:0033559)	2/49	7.211423e-03	1.664312e-01	0	0	1.693702e+01	8.353489e+01	GSTM2;ALOX15B
GO_Biological_Process_2023	Cholesterol Import (GO:0070508)	1/5	1.293374e-02	1.664312e-01	0	0	9.776471e+01	4.250727e+02	CD36
GO_Biological_Process_2023	Phagocytosis (GO:0006909)	2/69	1.391860e-02	1.664312e-01	0	0	1.186925e+01	5.073547e+01	SRPX;CD36
GO_Biological_Process_2023	Ethanol Catabolic Process (GO:0006068)	1/6	1.550074e-02	1.664312e-01	0	0	7.820784e+01	3.258817e+02	SULT1A2
