Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Response To Catecholamine (GO:0071869)	1/5	3.744697e-03	4.832596e-02	0	0	3.568036e+02	1.993609e+03	NR4A3
GO_Biological_Process_2023	Regulation Of Type B Pancreatic Cell Proliferation (GO:0061469)	1/5	3.744697e-03	4.832596e-02	0	0	3.568036e+02	1.993609e+03	NR4A3
GO_Biological_Process_2023	Positive Regulation Of Mast Cell Activation (GO:0033005)	1/6	4.492068e-03	4.832596e-02	0	0	2.854286e+02	1.542868e+03	NR4A3
GO_Biological_Process_2023	Cellular Response To Monoamine Stimulus (GO:0071868)	1/6	4.492068e-03	4.832596e-02	0	0	2.854286e+02	1.542868e+03	NR4A3
GO_Biological_Process_2023	Positive Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043568)	1/7	5.238917e-03	4.832596e-02	0	0	2.378452e+02	1.249078e+03	WNT1
GO_Biological_Process_2023	Cellular Response To Leptin Stimulus (GO:0044320)	1/7	5.238917e-03	4.832596e-02	0	0	2.378452e+02	1.249078e+03	NR4A3
GO_Biological_Process_2023	Positive Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904754)	1/7	5.238917e-03	4.832596e-02	0	0	2.378452e+02	1.249078e+03	NR4A3
GO_Biological_Process_2023	Response To Leptin (GO:0044321)	1/8	5.985243e-03	4.832596e-02	0	0	2.038571e+02	1.043434e+03	NR4A3
GO_Biological_Process_2023	Wnt Signaling Pathway Involved In Midbrain Dopaminergic Neuron Differentiation (GO:1904953)	1/9	6.731046e-03	4.832596e-02	0	0	1.783661e+02	8.920131e+02	WNT1
GO_Biological_Process_2023	Mast Cell Activation Involved In Immune Response (GO:0002279)	1/10	7.476328e-03	4.832596e-02	0	0	1.585397e+02	7.762124e+02	NR4A3
GO_Biological_Process_2023	Mast Cell Degranulation (GO:0043303)	1/10	7.476328e-03	4.832596e-02	0	0	1.585397e+02	7.762124e+02	NR4A3
GO_Biological_Process_2023	Midbrain Dopaminergic Neuron Differentiation (GO:1904948)	1/10	7.476328e-03	4.832596e-02	0	0	1.585397e+02	7.762124e+02	WNT1
GO_Biological_Process_2023	Pentose-Phosphate Shunt (GO:0006098)	1/11	8.221088e-03	4.832596e-02	0	0	1.426786e+02	6.850073e+02	RBKS
GO_Biological_Process_2023	Mast Cell Mediated Immunity (GO:0002448)	1/11	8.221088e-03	4.832596e-02	0	0	1.426786e+02	6.850073e+02	NR4A3
GO_Biological_Process_2023	Positive Regulation Of Behavior (GO:0048520)	1/11	8.221088e-03	4.832596e-02	0	0	1.426786e+02	6.850073e+02	NR4A3
GO_Biological_Process_2023	NADPH Regeneration (GO:0006740)	1/12	8.965327e-03	4.832596e-02	0	0	1.297013e+02	6.114626e+02	RBKS
GO_Biological_Process_2023	Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904752)	1/12	8.965327e-03	4.832596e-02	0	0	1.297013e+02	6.114626e+02	NR4A3
GO_Biological_Process_2023	Positive Regulation Of Fatty Acid Oxidation (GO:0046321)	1/12	8.965327e-03	4.832596e-02	0	0	1.297013e+02	6.114626e+02	NR4A3
GO_Biological_Process_2023	Regulation Of Feeding Behavior (GO:0060259)	1/14	1.045224e-02	4.832596e-02	0	0	1.097363e+02	5.005004e+02	NR4A3
GO_Biological_Process_2023	Positive Regulation Of Transmembrane Transport (GO:0034764)	1/15	1.119492e-02	4.832596e-02	0	0	1.018929e+02	4.577328e+02	NR4A3
GO_Biological_Process_2023	Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0048008)	1/15	1.119492e-02	4.832596e-02	0	0	1.018929e+02	4.577328e+02	NR4A3
GO_Biological_Process_2023	Positive Regulation Of Smooth Muscle Cell Migration (GO:0014911)	1/16	1.193707e-02	4.832596e-02	0	0	9.509524e+01	4.210918e+02	NR4A3
GO_Biological_Process_2023	Regulation Of Fatty Acid Oxidation (GO:0046320)	1/16	1.193707e-02	4.832596e-02	0	0	9.509524e+01	4.210918e+02	NR4A3
