Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Response To Catecholamine (GO:0071869),1/5,0.0037446970839379,0.0483259582342656,0,0,356.80357142857144,1993.609466758919,NR4A3
GO_Biological_Process_2023,Regulation Of Type B Pancreatic Cell Proliferation (GO:0061469),1/5,0.0037446970839379,0.0483259582342656,0,0,356.80357142857144,1993.609466758919,NR4A3
GO_Biological_Process_2023,Positive Regulation Of Mast Cell Activation (GO:0033005),1/6,0.0044920683932145,0.0483259582342656,0,0,285.42857142857144,1542.8675927558304,NR4A3
GO_Biological_Process_2023,Cellular Response To Monoamine Stimulus (GO:0071868),1/6,0.0044920683932145,0.0483259582342656,0,0,285.42857142857144,1542.8675927558304,NR4A3
GO_Biological_Process_2023,Positive Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043568),1/7,0.0052389168941443,0.0483259582342656,0,0,237.8452380952381,1249.0776854949,WNT1
GO_Biological_Process_2023,Cellular Response To Leptin Stimulus (GO:0044320),1/7,0.0052389168941443,0.0483259582342656,0,0,237.8452380952381,1249.0776854949,NR4A3
GO_Biological_Process_2023,Positive Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904754),1/7,0.0052389168941443,0.0483259582342656,0,0,237.8452380952381,1249.0776854949,NR4A3
GO_Biological_Process_2023,Response To Leptin (GO:0044321),1/8,0.0059852428364459,0.0483259582342656,0,0,203.8571428571429,1043.434298452164,NR4A3
GO_Biological_Process_2023,Wnt Signaling Pathway Involved In Midbrain Dopaminergic Neuron Differentiation (GO:1904953),1/9,0.0067310464938694,0.0483259582342656,0,0,178.36607142857142,892.013120036697,WNT1
GO_Biological_Process_2023,Mast Cell Activation Involved In Immune Response (GO:0002279),1/10,0.0074763281564485,0.0483259582342656,0,0,158.53968253968253,776.212425317664,NR4A3
GO_Biological_Process_2023,Mast Cell Degranulation (GO:0043303),1/10,0.0074763281564485,0.0483259582342656,0,0,158.53968253968253,776.212425317664,NR4A3
GO_Biological_Process_2023,Midbrain Dopaminergic Neuron Differentiation (GO:1904948),1/10,0.0074763281564485,0.0483259582342656,0,0,158.53968253968253,776.212425317664,WNT1
GO_Biological_Process_2023,Pentose-Phosphate Shunt (GO:0006098),1/11,0.0082210881236714,0.0483259582342656,0,0,142.67857142857142,685.0073410932765,RBKS
GO_Biological_Process_2023,Mast Cell Mediated Immunity (GO:0002448),1/11,0.0082210881236714,0.0483259582342656,0,0,142.67857142857142,685.0073410932765,NR4A3
GO_Biological_Process_2023,Positive Regulation Of Behavior (GO:0048520),1/11,0.0082210881236714,0.0483259582342656,0,0,142.67857142857142,685.0073410932765,NR4A3
GO_Biological_Process_2023,NADPH Regeneration (GO:0006740),1/12,0.0089653267055102,0.0483259582342656,0,0,129.7012987012987,611.4626002996463,RBKS
