Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Immunoglobulin Mediated Immune Response (GO:0016064)	3/30	8.356545e-04	1.412256e-01	0	0	1.822681e+01	1.291788e+02	HLA-DRB5;FCER1A;HLA-DQB2
GO_Biological_Process_2023	Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503)	2/14	3.304756e-03	1.714117e-01	0	0	2.713661e+01	1.550150e+02	HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023	MHC Class II Protein Complex Assembly (GO:0002399)	2/14	3.304756e-03	1.714117e-01	0	0	2.713661e+01	1.550150e+02	HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023	Peptide Antigen Assembly With MHC Protein Complex (GO:0002501)	2/18	5.467094e-03	1.714117e-01	0	0	2.034836e+01	1.059948e+02	HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023	Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118)	2/19	6.085623e-03	1.714117e-01	0	0	1.915043e+01	9.770218e+01	MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023	Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381)	2/19	6.085623e-03	1.714117e-01	0	0	1.915043e+01	9.770218e+01	HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023	Regulation Of Execution Phase Of Apoptosis (GO:1900117)	2/24	9.626088e-03	2.324013e-01	0	0	1.479434e+01	6.869422e+01	MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023	Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886)	2/26	1.124405e-02	2.375305e-01	0	0	1.356011e+01	6.085663e+01	HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023	Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495)	2/28	1.297279e-02	2.436001e-01	0	0	1.251576e+01	5.437976e+01	HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023	Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478)	2/31	1.576717e-02	2.664652e-01	0	0	1.121933e+01	4.655827e+01	HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023	Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039)	2/44	3.044898e-02	4.052254e-01	0	0	7.741608e+00	2.703139e+01	HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023	Positive Regulation Of Lymphocyte Activation (GO:0051251)	2/47	3.438020e-02	4.052254e-01	0	0	7.224408e+00	2.434824e+01	HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023	Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Independent Decay (GO:0031086)	1/6	3.663245e-02	4.052254e-01	0	0	3.231057e+01	1.068453e+02	EDC4
GO_Biological_Process_2023	Hepoxilin Metabolic Process (GO:0051121)	1/7	4.260710e-02	4.052254e-01	0	0	2.692412e+01	8.496537e+01	GSTM1
GO_Biological_Process_2023	Regulation Of Cytoplasmic Translational Elongation (GO:1900247)	1/7	4.260710e-02	4.052254e-01	0	0	2.692412e+01	8.496537e+01	DPH1
GO_Biological_Process_2023	Hepoxilin Biosynthetic Process (GO:0051122)	1/7	4.260710e-02	4.052254e-01	0	0	2.692412e+01	8.496537e+01	GSTM1
GO_Biological_Process_2023	Regulation Of Sequestering Of Calcium Ion (GO:0051282)	1/9	5.444637e-02	4.052254e-01	0	0	2.019106e+01	5.876686e+01	LIME1
GO_Biological_Process_2023	Regulation Of T Cell Activation (GO:0050863)	2/62	5.666280e-02	4.052254e-01	0	0	5.414208e+00	1.554223e+01	HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023	Mast Cell Activation Involved In Immune Response (GO:0002279)	1/10	6.031143e-02	4.052254e-01	0	0	1.794670e+01	5.039854e+01	FCER1A
GO_Biological_Process_2023	Mast Cell Degranulation (GO:0043303)	1/10	6.031143e-02	4.052254e-01	0	0	1.794670e+01	5.039854e+01	FCER1A
GO_Biological_Process_2023	Surfactant Homeostasis (GO:0043129)	1/10	6.031143e-02	4.052254e-01	0	0	1.794670e+01	5.039854e+01	NAPSA
GO_Biological_Process_2023	snRNA Transcription By RNA Polymerase II (GO:0042795)	1/10	6.031143e-02	4.052254e-01	0	0	1.794670e+01	5.039854e+01	ELL3
GO_Biological_Process_2023	Pentose-Phosphate Shunt (GO:0006098)	1/11	6.614040e-02	4.052254e-01	0	0	1.615122e+01	4.386632e+01	RBKS
GO_Biological_Process_2023	Mast Cell Mediated Immunity (GO:0002448)	1/11	6.614040e-02	4.052254e-01	0	0	1.615122e+01	4.386632e+01	FCER1A
GO_Biological_Process_2023	Methylguanosine-Cap Decapping (GO:0110156)	1/11	6.614040e-02	4.052254e-01	0	0	1.615122e+01	4.386632e+01	EDC4
GO_Biological_Process_2023	Cellular Response To Nitrogen Levels (GO:0043562)	1/11	6.614040e-02	4.052254e-01	0	0	1.615122e+01	4.386632e+01	MAP1LC3B2
GO_Biological_Process_2023	Cellular Response To Nitrogen Starvation (GO:0006995)	1/11	6.614040e-02	4.052254e-01	0	0	1.615122e+01	4.386632e+01	MAP1LC3B2
GO_Biological_Process_2023	Mitochondrial Electron Transport, Ubiquinol To Cytochrome C (GO:0006122)	1/12	7.193350e-02	4.052254e-01	0	0	1.468219e+01	3.864371e+01	UQCRHL
GO_Biological_Process_2023	NADPH Regeneration (GO:0006740)	1/12	7.193350e-02	4.052254e-01	0	0	1.468219e+01	3.864371e+01	RBKS
GO_Biological_Process_2023	snRNA Transcription (GO:0009301)	1/12	7.193350e-02	4.052254e-01	0	0	1.468219e+01	3.864371e+01	ELL3
GO_Biological_Process_2023	Regulation Of Rho Protein Signal Transduction (GO:0035023)	2/73	7.540202e-02	4.103054e-01	0	0	4.572847e+00	1.182045e+01	GPR174;ARHGEF18
GO_Biological_Process_2023	Glomerular Filtration (GO:0003094)	1/13	7.769096e-02	4.103054e-01	0	0	1.345799e+01	3.438540e+01	IGKV3-20
GO_Biological_Process_2023	Renal Filtration (GO:0097205)	1/15	8.909979e-02	4.302247e-01	0	0	1.153426e+01	2.788983e+01	IGKV3-20
GO_Biological_Process_2023	Positive Regulation Of Isotype Switching (GO:0045830)	1/15	8.909979e-02	4.302247e-01	0	0	1.153426e+01	2.788983e+01	TNFSF13
GO_Biological_Process_2023	Protein Localization To Cell-Cell Junction (GO:0150105)	1/15	8.909979e-02	4.302247e-01	0	0	1.153426e+01	2.788983e+01	ARHGEF18
GO_Biological_Process_2023	Prostanoid Metabolic Process (GO:0006692)	1/16	9.475160e-02	4.448061e-01	0	0	1.076477e+01	2.536714e+01	GSTM1
GO_Biological_Process_2023	Defense Response To Gram-positive Bacterium (GO:0050830)	2/85	9.772087e-02	4.463467e-01	0	0	3.909342e+00	9.091723e+00	TRAV27;NLRP6
GO_Biological_Process_2023	Glucose 6-Phosphate Metabolic Process (GO:0051156)	1/18	1.059511e-01	4.591213e-01	0	0	9.497370e+00	2.131948e+01	RBKS
GO_Biological_Process_2023	Regulation Of Cell Cycle G2/M Phase Transition (GO:1902749)	1/18	1.059511e-01	4.591213e-01	0	0	9.497370e+00	2.131948e+01	CDK3
GO_Biological_Process_2023	Xenobiotic Catabolic Process (GO:0042178)	1/19	1.114992e-01	4.595941e-01	0	0	8.969286e+00	1.967627e+01	GSTM1
GO_Biological_Process_2023	DNA Catabolic Process (GO:0006308)	1/19	1.114992e-01	4.595941e-01	0	0	8.969286e+00	1.967627e+01	TREX1
GO_Biological_Process_2023	Regulation Of Calcium Ion Transmembrane Transport (GO:1903169)	1/20	1.170131e-01	4.598887e-01	0	0	8.496791e+00	1.822960e+01	LIME1
GO_Biological_Process_2023	Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0000289)	1/20	1.170131e-01	4.598887e-01	0	0	8.496791e+00	1.822960e+01	NLRP6
GO_Biological_Process_2023	Defense Response To Bacterium (GO:0042742)	3/204	1.334783e-01	4.826152e-01	0	0	2.426915e+00	4.887362e+00	TRAV27;NLRP6;IGKV3-20
GO_Biological_Process_2023	Positive Regulation Of T Cell Activation (GO:0050870)	2/107	1.425111e-01	4.826152e-01	0	0	3.086807e+00	6.014136e+00	HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023	Negative Regulation Of Stress Fiber Assembly (GO:0051497)	1/25	1.440777e-01	4.826152e-01	0	0	6.724932e+00	1.302890e+01	ARHGEF18
GO_Biological_Process_2023	Mismatch Repair (GO:0006298)	1/25	1.440777e-01	4.826152e-01	0	0	6.724932e+00	1.302890e+01	TREX1
GO_Biological_Process_2023	Long-Chain Fatty Acid Biosynthetic Process (GO:0042759)	1/25	1.440777e-01	4.826152e-01	0	0	6.724932e+00	1.302890e+01	GSTM1
GO_Biological_Process_2023	Vesicle Cargo Loading (GO:0035459)	1/25	1.440777e-01	4.826152e-01	0	0	6.724932e+00	1.302890e+01	MIA2
GO_Biological_Process_2023	Acute Inflammatory Response (GO:0002526)	1/26	1.493911e-01	4.826152e-01	0	0	6.455610e+00	1.227333e+01	NLRP6
GO_Biological_Process_2023	DNA-templated Transcription Elongation (GO:0006354)	1/26	1.493911e-01	4.826152e-01	0	0	6.455610e+00	1.227333e+01	ELL3
GO_Biological_Process_2023	Nucleic Acid Phosphodiester Bond Hydrolysis (GO:0090305)	1/26	1.493911e-01	4.826152e-01	0	0	6.455610e+00	1.227333e+01	EDC4
GO_Biological_Process_2023	Negative Regulation Of Notch Signaling Pathway (GO:0045746)	1/27	1.546717e-01	4.826152e-01	0	0	6.207004e+00	1.158507e+01	CDK3
