Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Asthma	2/31	1.576717e-02	8.829618e-01	0	0	1.121933e+01	4.655827e+01	HLA-DRB5;FCER1A
KEGG_2021_Human	Intestinal immune network for IgA production	2/48	3.573227e-02	9.249916e-01	0	0	7.066999e+00	2.354513e+01	HLA-DRB5;TNFSF13
KEGG_2021_Human	Rheumatoid arthritis	2/93	1.135028e-01	9.249916e-01	0	0	3.564223e+00	7.755490e+00	HLA-DRB5;TNFSF13
KEGG_2021_Human	Pentose phosphate pathway	1/30	1.703193e-01	9.249916e-01	0	0	5.564059e+00	9.848833e+00	RBKS
KEGG_2021_Human	Allograft rejection	1/38	2.106555e-01	9.249916e-01	0	0	4.359262e+00	6.789686e+00	HLA-DRB5
KEGG_2021_Human	Ferroptosis	1/41	2.252748e-01	9.249916e-01	0	0	4.031707e+00	6.008996e+00	MAP1LC3B2
KEGG_2021_Human	Graft-versus-host disease	1/42	2.300879e-01	9.249916e-01	0	0	3.933175e+00	5.778989e+00	HLA-DRB5
KEGG_2021_Human	Type I diabetes mellitus	1/43	2.348714e-01	9.249916e-01	0	0	3.839334e+00	5.562109e+00	HLA-DRB5
KEGG_2021_Human	Autoimmune thyroid disease	1/53	2.811142e-01	9.249916e-01	0	0	3.099437e+00	3.933168e+00	HLA-DRB5
KEGG_2021_Human	Fanconi anemia pathway	1/54	2.855832e-01	9.249916e-01	0	0	3.040804e+00	3.810802e+00	ATRIP
KEGG_2021_Human	Glutathione metabolism	1/57	2.988253e-01	9.249916e-01	0	0	2.877468e+00	3.475683e+00	GSTM1
KEGG_2021_Human	Viral myocarditis	1/60	3.118239e-01	9.249916e-01	0	0	2.730743e+00	3.182180e+00	HLA-DRB5
KEGG_2021_Human	Cytosolic DNA-sensing pathway	1/63	3.245834e-01	9.249916e-01	0	0	2.598217e+00	2.923547e+00	TREX1
KEGG_2021_Human	Inflammatory bowel disease	1/65	3.329591e-01	9.249916e-01	0	0	2.516768e+00	2.767780e+00	HLA-DRB5
