Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Immunoglobulin Mediated Immune Response (GO:0016064),3/30,0.000835654521880821,0.1412256141978587,0,0,18.226813590449957,129.17880995874862,HLA-DRB5;FCER1A;HLA-DQB2
GO_Biological_Process_2023,Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503),2/14,0.0033047564595253,0.1714117242905316,0,0,27.136612021857925,155.01497890462775,HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023,MHC Class II Protein Complex Assembly (GO:0002399),2/14,0.0033047564595253,0.1714117242905316,0,0,27.136612021857925,155.01497890462775,HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023,Peptide Antigen Assembly With MHC Protein Complex (GO:0002501),2/18,0.0054670941396245,0.1714117242905316,0,0,20.348360655737704,105.99477424850924,HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023,Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118),2/19,0.0060856233475928,0.1714117242905316,0,0,19.15043394406943,97.70218406224468,MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381),2/19,0.0060856233475928,0.1714117242905316,0,0,19.15043394406943,97.70218406224468,HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023,Regulation Of Execution Phase Of Apoptosis (GO:1900117),2/24,0.0096260880933937,0.2324012696833637,0,0,14.794336810730254,68.69422391253094,MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),2/26,0.0112440495200817,0.2375305461117278,0,0,13.560109289617486,60.856634450440026,HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),2/28,0.0129727853808442,0.2436000810402976,0,0,12.515762925598992,54.37975771053149,HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),2/31,0.015767174190479,0.2664652438190962,0,0,11.219332956472584,46.5582693172924,HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039),2/44,0.0304489840055205,0.405225399874813,0,0,7.741608118657299,27.03139359382692,HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Activation (GO:0051251),2/47,0.0343801998894374,0.405225399874813,0,0,7.224408014571949,24.34823785570828,HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023,"Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Independent Decay (GO:0031086)",1/6,0.0366324477864724,0.405225399874813,0,0,32.31056910569106,106.84526455648567,EDC4
GO_Biological_Process_2023,Hepoxilin Metabolic Process (GO:0051121),1/7,0.0426071023827973,0.405225399874813,0,0,26.92411924119241,84.96536704450101,GSTM1
GO_Biological_Process_2023,Regulation Of Cytoplasmic Translational Elongation (GO:1900247),1/7,0.0426071023827973,0.405225399874813,0,0,26.92411924119241,84.96536704450101,DPH1
GO_Biological_Process_2023,Hepoxilin Biosynthetic Process (GO:0051122),1/7,0.0426071023827973,0.405225399874813,0,0,26.92411924119241,84.96536704450101,GSTM1
GO_Biological_Process_2023,Regulation Of Sequestering Of Calcium Ion (GO:0051282),1/9,0.054446368911387,0.405225399874813,0,0,20.191056910569102,58.76686098179612,LIME1
GO_Biological_Process_2023,Regulation Of T Cell Activation (GO:0050863),2/62,0.0566628048673928,0.405225399874813,0,0,5.414207650273224,15.542226335103033,HLA-DRB5;HLA-DQB2
GO_Biological_Process_2023,Mast Cell Activation Involved In Immune Response (GO:0002279),1/10,0.0603114275885761,0.405225399874813,0,0,17.946702800361336,50.39853526607874,FCER1A
GO_Biological_Process_2023,Mast Cell Degranulation (GO:0043303),1/10,0.0603114275885761,0.405225399874813,0,0,17.946702800361336,50.39853526607874,FCER1A
GO_Biological_Process_2023,Surfactant Homeostasis (GO:0043129),1/10,0.0603114275885761,0.405225399874813,0,0,17.946702800361336,50.39853526607874,NAPSA
GO_Biological_Process_2023,snRNA Transcription By RNA Polymerase II (GO:0042795),1/10,0.0603114275885761,0.405225399874813,0,0,17.946702800361336,50.39853526607874,ELL3
GO_Biological_Process_2023,Pentose-Phosphate Shunt (GO:0006098),1/11,0.0661403988818775,0.405225399874813,0,0,16.151219512195123,43.86631714557356,RBKS
GO_Biological_Process_2023,Mast Cell Mediated Immunity (GO:0002448),1/11,0.0661403988818775,0.405225399874813,0,0,16.151219512195123,43.86631714557356,FCER1A
GO_Biological_Process_2023,Methylguanosine-Cap Decapping (GO:0110156),1/11,0.0661403988818775,0.405225399874813,0,0,16.151219512195123,43.86631714557356,EDC4
GO_Biological_Process_2023,Cellular Response To Nitrogen Levels (GO:0043562),1/11,0.0661403988818775,0.405225399874813,0,0,16.151219512195123,43.86631714557356,MAP1LC3B2
