Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118)	2/19	2.137593e-04	1.048625e-02	0	0	1.118207e+02	9.449589e+02	MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023	Regulation Of Execution Phase Of Apoptosis (GO:1900117)	2/24	3.438115e-04	1.048625e-02	0	0	8.638528e+01	6.889587e+02	MTRNR2L12;MTRNR2L8
GO_Biological_Process_2023	Hepoxilin Metabolic Process (GO:0051121)	1/7	8.023390e-03	9.971862e-02	0	0	1.512955e+02	7.300602e+02	GSTM1
GO_Biological_Process_2023	Hepoxilin Biosynthetic Process (GO:0051122)	1/7	8.023390e-03	9.971862e-02	0	0	1.512955e+02	7.300602e+02	GSTM1
GO_Biological_Process_2023	Positive Regulation Of Chondrocyte Differentiation (GO:0032332)	1/10	1.144312e-02	9.971862e-02	0	0	1.008485e+02	4.508297e+02	ZBTB16
GO_Biological_Process_2023	Surfactant Homeostasis (GO:0043129)	1/10	1.144312e-02	9.971862e-02	0	0	1.008485e+02	4.508297e+02	NAPSA
GO_Biological_Process_2023	Mesonephros Development (GO:0001823)	1/10	1.144312e-02	9.971862e-02	0	0	1.008485e+02	4.508297e+02	ZBTB16
GO_Biological_Process_2023	Prostanoid Metabolic Process (GO:0006692)	1/16	1.824879e-02	1.058246e-01	0	0	6.049091e+01	2.421848e+02	GSTM1
GO_Biological_Process_2023	Regulation Of Cartilage Development (GO:0061035)	1/17	1.937870e-02	1.058246e-01	0	0	5.670739e+01	2.236302e+02	ZBTB16
GO_Biological_Process_2023	Positive Regulation Of Cartilage Development (GO:0061036)	1/17	1.937870e-02	1.058246e-01	0	0	5.670739e+01	2.236302e+02	ZBTB16
GO_Biological_Process_2023	Xenobiotic Catabolic Process (GO:0042178)	1/19	2.163480e-02	1.058246e-01	0	0	5.040152e+01	1.932118e+02	GSTM1
GO_Biological_Process_2023	DNA Catabolic Process (GO:0006308)	1/19	2.163480e-02	1.058246e-01	0	0	5.040152e+01	1.932118e+02	TREX1
GO_Biological_Process_2023	Negative Regulation Of Myeloid Cell Differentiation (GO:0045638)	1/22	2.500964e-02	1.058246e-01	0	0	4.319481e+01	1.593238e+02	ZBTB16
GO_Biological_Process_2023	Mismatch Repair (GO:0006298)	1/25	2.837334e-02	1.058246e-01	0	0	3.778977e+01	1.346187e+02	TREX1
GO_Biological_Process_2023	Regulation Of Chondrocyte Differentiation (GO:0032330)	1/25	2.837334e-02	1.058246e-01	0	0	3.778977e+01	1.346187e+02	ZBTB16
GO_Biological_Process_2023	Long-Chain Fatty Acid Biosynthetic Process (GO:0042759)	1/25	2.837334e-02	1.058246e-01	0	0	3.778977e+01	1.346187e+02	GSTM1
