Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118)	3/19	1.649703e-06	2.012638e-04	0	0	1.701051e+02	2.264935e+03	MTRNR2L12;MTRNR2L8;MTRNR2L1
GO_Biological_Process_2023	Regulation Of Execution Phase Of Apoptosis (GO:1900117)	3/24	3.431662e-06	2.093314e-04	0	0	1.295714e+02	1.630328e+03	MTRNR2L12;MTRNR2L8;MTRNR2L1
GO_Biological_Process_2023	Negative Regulation Of Immune Response (GO:0050777)	2/66	3.063747e-03	7.165971e-02	0	0	2.705299e+01	1.565859e+02	TREX1;HLA-G
GO_Biological_Process_2023	Protection From Natural Killer Cell Mediated Cytotoxicity (GO:0042270)	1/5	6.234939e-03	7.165971e-02	0	0	2.080312e+02	1.056297e+03	HLA-G
GO_Biological_Process_2023	Regulation Of T Cell Tolerance Induction (GO:0002664)	1/6	7.477447e-03	7.165971e-02	0	0	1.664167e+02	8.147533e+02	HLA-G
GO_Biological_Process_2023	Regulation Of Natural Killer Cell Cytokine Production (GO:0002727)	1/6	7.477447e-03	7.165971e-02	0	0	1.664167e+02	8.147533e+02	HLA-G
GO_Biological_Process_2023	Positive Regulation Of Natural Killer Cell Cytokine Production (GO:0002729)	1/6	7.477447e-03	7.165971e-02	0	0	1.664167e+02	8.147533e+02	HLA-G
GO_Biological_Process_2023	Negative Regulation Of T Cell Mediated Cytotoxicity (GO:0001915)	1/7	8.718464e-03	7.165971e-02	0	0	1.386736e+02	6.576336e+02	HLA-G
GO_Biological_Process_2023	Immune Response-Inhibiting Cell Surface Receptor Signaling Pathway (GO:0002767)	1/8	9.957992e-03	7.165971e-02	0	0	1.188571e+02	5.478577e+02	HLA-G
GO_Biological_Process_2023	Positive Regulation Of Macrophage Cytokine Production (GO:0060907)	1/8	9.957992e-03	7.165971e-02	0	0	1.188571e+02	5.478577e+02	HLA-G
GO_Biological_Process_2023	Surfactant Homeostasis (GO:0043129)	1/10	1.243259e-02	7.165971e-02	0	0	9.243519e+01	4.055533e+02	NAPSA
GO_Biological_Process_2023	Regulation Of Dendritic Cell Differentiation (GO:2001198)	1/10	1.243259e-02	7.165971e-02	0	0	9.243519e+01	4.055533e+02	HLA-G
GO_Biological_Process_2023	Positive Regulation Of Cellular Senescence (GO:2000774)	1/10	1.243259e-02	7.165971e-02	0	0	9.243519e+01	4.055533e+02	HLA-G
GO_Biological_Process_2023	Negative Regulation Of Natural Killer Cell Mediated Immunity (GO:0002716)	1/10	1.243259e-02	7.165971e-02	0	0	9.243519e+01	4.055533e+02	HLA-G
GO_Biological_Process_2023	Regulation Of Macrophage Cytokine Production (GO:0010935)	1/13	1.613335e-02	7.165971e-02	0	0	6.931597e+01	2.860578e+02	HLA-G
GO_Biological_Process_2023	Immune Response-Regulating Cell Surface Receptor Signaling Pathway (GO:0002768)	1/13	1.613335e-02	7.165971e-02	0	0	6.931597e+01	2.860578e+02	HLA-G
GO_Biological_Process_2023	Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway (GO:0002484)	1/13	1.613335e-02	7.165971e-02	0	0	6.931597e+01	2.860578e+02	HLA-G
GO_Biological_Process_2023	Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway, TAP-independent (GO:0002486)	1/13	1.613335e-02	7.165971e-02	0	0	6.931597e+01	2.860578e+02	HLA-G
GO_Biological_Process_2023	Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class Ib (GO:0002476)	1/13	1.613335e-02	7.165971e-02	0	0	6.931597e+01	2.860578e+02	HLA-G
GO_Biological_Process_2023	Antigen Processing And Presentation Of Peptide Antigen Via MHC Class Ib (GO:0002428)	1/13	1.613335e-02	7.165971e-02	0	0	6.931597e+01	2.860578e+02	HLA-G
GO_Biological_Process_2023	Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503)	1/14	1.736398e-02	7.165971e-02	0	0	6.398077e+01	2.593369e+02	HLA-DRB5
GO_Biological_Process_2023	Protein Homotrimerization (GO:0070207)	1/14	1.736398e-02	7.165971e-02	0	0	6.398077e+01	2.593369e+02	HLA-G
GO_Biological_Process_2023	Negative Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001911)	1/14	1.736398e-02	7.165971e-02	0	0	6.398077e+01	2.593369e+02	HLA-G
GO_Biological_Process_2023	Negative Regulation Of T Cell Mediated Immunity (GO:0002710)	1/14	1.736398e-02	7.165971e-02	0	0	6.398077e+01	2.593369e+02	HLA-G
