Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118),3/19,1.6497033774404446e-06,0.00020126381204773423,0,0,170.10511363636363,2264.9351389078965,MTRNR2L12;MTRNR2L8;MTRNR2L1
GO_Biological_Process_2023,Regulation Of Execution Phase Of Apoptosis (GO:1900117),3/24,3.4316620020442525e-06,0.0002093313821246994,0,0,129.57142857142858,1630.3280771364646,MTRNR2L12;MTRNR2L8;MTRNR2L1
GO_Biological_Process_2023,Negative Regulation Of Immune Response (GO:0050777),2/66,0.0030637473161426,0.0716597085418528,0,0,27.05298913043478,156.58585273655547,TREX1;HLA-G
GO_Biological_Process_2023,Protection From Natural Killer Cell Mediated Cytotoxicity (GO:0042270),1/5,0.0062349390704731,0.0716597085418528,0,0,208.03125,1056.2966607689368,HLA-G
GO_Biological_Process_2023,Regulation Of T Cell Tolerance Induction (GO:0002664),1/6,0.007477446810139,0.0716597085418528,0,0,166.41666666666666,814.7533474976135,HLA-G
GO_Biological_Process_2023,Regulation Of Natural Killer Cell Cytokine Production (GO:0002727),1/6,0.007477446810139,0.0716597085418528,0,0,166.41666666666666,814.7533474976135,HLA-G
GO_Biological_Process_2023,Positive Regulation Of Natural Killer Cell Cytokine Production (GO:0002729),1/6,0.007477446810139,0.0716597085418528,0,0,166.41666666666666,814.7533474976135,HLA-G
GO_Biological_Process_2023,Negative Regulation Of T Cell Mediated Cytotoxicity (GO:0001915),1/7,0.0087184638276748,0.0716597085418528,0,0,138.67361111111111,657.6335609979999,HLA-G
GO_Biological_Process_2023,Immune Response-Inhibiting Cell Surface Receptor Signaling Pathway (GO:0002767),1/8,0.0099579917015561,0.0716597085418528,0,0,118.85714285714286,547.8577209909951,HLA-G
GO_Biological_Process_2023,Positive Regulation Of Macrophage Cytokine Production (GO:0060907),1/8,0.0099579917015561,0.0716597085418528,0,0,118.85714285714286,547.8577209909951,HLA-G
GO_Biological_Process_2023,Surfactant Homeostasis (GO:0043129),1/10,0.0124325865055395,0.0716597085418528,0,0,92.4351851851852,405.55330287566494,NAPSA
GO_Biological_Process_2023,Regulation Of Dendritic Cell Differentiation (GO:2001198),1/10,0.0124325865055395,0.0716597085418528,0,0,92.4351851851852,405.55330287566494,HLA-G
GO_Biological_Process_2023,Positive Regulation Of Cellular Senescence (GO:2000774),1/10,0.0124325865055395,0.0716597085418528,0,0,92.4351851851852,405.55330287566494,HLA-G
GO_Biological_Process_2023,Negative Regulation Of Natural Killer Cell Mediated Immunity (GO:0002716),1/10,0.0124325865055395,0.0716597085418528,0,0,92.4351851851852,405.55330287566494,HLA-G
GO_Biological_Process_2023,Regulation Of Macrophage Cytokine Production (GO:0010935),1/13,0.016133351108423,0.0716597085418528,0,0,69.31597222222223,286.05777422638903,HLA-G
GO_Biological_Process_2023,Immune Response-Regulating Cell Surface Receptor Signaling Pathway (GO:0002768),1/13,0.016133351108423,0.0716597085418528,0,0,69.31597222222223,286.05777422638903,HLA-G
GO_Biological_Process_2023,Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway (GO:0002484),1/13,0.016133351108423,0.0716597085418528,0,0,69.31597222222223,286.05777422638903,HLA-G
GO_Biological_Process_2023,"Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway, TAP-independent (GO:0002486)",1/13,0.016133351108423,0.0716597085418528,0,0,69.31597222222223,286.05777422638903,HLA-G
GO_Biological_Process_2023,Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class Ib (GO:0002476),1/13,0.016133351108423,0.0716597085418528,0,0,69.31597222222223,286.05777422638903,HLA-G
GO_Biological_Process_2023,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class Ib (GO:0002428),1/13,0.016133351108423,0.0716597085418528,0,0,69.31597222222223,286.05777422638903,HLA-G
GO_Biological_Process_2023,Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503),1/14,0.0173639786153884,0.0716597085418528,0,0,63.98076923076923,259.3369252570107,HLA-DRB5
GO_Biological_Process_2023,Protein Homotrimerization (GO:0070207),1/14,0.0173639786153884,0.0716597085418528,0,0,63.98076923076923,259.3369252570107,HLA-G
GO_Biological_Process_2023,Negative Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001911),1/14,0.0173639786153884,0.0716597085418528,0,0,63.98076923076923,259.3369252570107,HLA-G
GO_Biological_Process_2023,Negative Regulation Of T Cell Mediated Immunity (GO:0002710),1/14,0.0173639786153884,0.0716597085418528,0,0,63.98076923076923,259.3369252570107,HLA-G
GO_Biological_Process_2023,MHC Class II Protein Complex Assembly (GO:0002399),1/14,0.0173639786153884,0.0716597085418528,0,0,63.98076923076923,259.3369252570107,HLA-DRB5
