,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
IGHV5-78,0.9531999999999999,0.046800000000000064,3.0139413391167715,3.935056e-06,2.573522e-05,1e-07,0.5,-7.6674533,-8.803649,4.5213137,-16.924774,3.8575745,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV7-9,0.9554,0.04459999999999997,3.0643960281814424,1.6001063e-07,1.3397671e-06,1e-07,0.5,-6.323688,-7.0287905,3.6524866,-14.378088,4.737818,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
MTRNR2L8,0.9528000000000001,0.04719999999999991,3.00501092408058,0.0009974136,0.00010066472,1e-07,0.5,-6.1785116,-8.01243,5.211885,-13.916133,10.0913315,0.18326655,0.0,0.09302325581395349,0.0,1.5954669,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV10-3,0.9498,0.05020000000000002,2.9402362207427024,8.408607e-08,1.3540365e-06,1e-07,0.5,-6.1184983,-6.557126,3.111829,-13.3859005,3.2674923,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
IGKV3-15,0.9544,0.045599999999999974,3.041174945442932,3.6000833e-06,1.9956453e-05,1e-07,0.5,-5.750043,-6.6017237,3.031799,-11.45775,2.8227797,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV9,0.9452,0.05479999999999996,2.8477061794568197,1.3742645e-06,8.707195e-06,1e-07,0.5,-5.567659,-6.435096,3.2008243,-11.898241,4.186783,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV5-1,0.9590000000000001,0.040999999999999925,3.1523187747042516,1.6015008e-06,5.748662e-06,1e-07,0.5,-5.38664,-6.4644775,3.6331825,-11.758135,5.484479,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV7-6,0.9491999999999999,0.05080000000000007,2.927722983661984,8.5098276e-07,5.2492683e-06,1e-07,0.5,-5.3228683,-6.254692,2.861102,-10.667961,3.3397102,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
IGHV5-51,0.9448,0.05520000000000003,2.840010141024949,1.5887465e-06,1.0097852e-05,1e-07,0.5,-5.2841015,-6.132018,2.7982416,-10.974284,3.6944246,0.00540026,0.0,0.011627906976744186,0.0,0.044137515,0.0,True,Tumor vs Normal,Tumor,Normal
IGLV2-14,0.9743999999999999,0.025600000000000067,3.639229165107915,5.2616288e-06,6.644983e-05,1e-07,0.5,-5.2100573,-5.4527264,2.539914,-11.718443,3.5126743,0.0,0.14274357,0.0,0.3333333333333333,0.0,1.1856813,True,Tumor vs Normal,Tumor,Normal
