Cell_Type,Scanpy_DEGs,scVI_DEGs,Overlap,Scanpy_only,scVI_only,Overlap_pct
CMS3,99,257,99,0,158,38.52140077821012
B Cells,91,264,91,0,173,34.46969696969697
Dendritic cells,86,1512,86,0,1426,5.6878306878306875
Plasma Cells,64,756,64,0,692,8.465608465608465
CD4+ T Cells,46,113,46,0,67,40.707964601769916
Gamma delta T cells,30,400,30,0,370,7.5
Spp1+,21,946,21,0,925,2.2198731501057085
Stromal 3,19,1340,19,0,1321,1.4179104477611941
Regulatory T Cells,18,148,18,0,130,12.162162162162163
Follicular helper T cells,15,115,15,0,100,13.043478260869565
Helper 17 T cells,9,92,9,0,83,9.782608695652174
CD8+ T cells,8,26,8,0,18,30.76923076923077
CMS2,7,441,7,0,434,1.5873015873015872
Pericytes,3,27,3,0,24,11.11111111111111
Mature Enterocytes type 2,2,12,2,0,10,16.666666666666664
Enteric glia cells,2,32,2,0,30,6.25
Stromal 2,1,3,1,0,2,33.33333333333333
Tip-like ECs,1,4,1,0,3,25.0
NK cells,0,6,0,0,6,0.0
Mast cells,0,3,0,0,3,0.0
